#OTU ID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
OTU_91	183	73	70	117	0	47	81	93	138	133	78	26	11	15	1	68	20	2
OTU_684	11	4	9	0	4	22	10	6	4	8	1	8	3	2	13	2	2	7
OTU_7	216	133	1238	369	1304	291	133	1215	838	534	195	221	802	925	549	215	583	859
OTU_60	1563	1193	1480	1640	2447	1905	496	460	709	778	744	673	1077	1089	912	1066	974	990
OTU_4	1434	400	535	759	1287	506	515	590	439	619	661	428	1123	1449	546	577	1112	922
OTU_2	1923	1228	2358	2218	2887	1821	641	495	1216	1264	949	636	1284	1495	837	1114	1490	1173
OTU_18	433	1024	312	438	310	479	414	404	310	513	672	412	785	611	807	406	681	439
OTU_682	9	12	16	5	12	11	0	8	2	4	2	4	11	3	4	4	4	7
OTU_163	25	47	27	32	18	28	42	48	41	36	44	64	53	29	41	34	32	39
OTU_1102	14	4	0	5	3	9	13	5	3	4	6	9	3	5	5	16	1	8
OTU_328	43	25	38	31	30	70	15	25	25	24	28	29	34	24	15	45	24	20
OTU_21	145	368	198	119	101	140	164	195	156	154	192	158	214	317	200	290	374	219
OTU_31	184	174	189	277	58	261	180	201	236	191	224	137	245	187	217	188	273	156
OTU_1	1109	1961	819	1378	1070	1088	1279	1649	1373	968	1252	1025	2341	2537	1719	2009	1454	1569
OTU_1586	15	20	11	4	12	13	10	6	8	6	6	10	6	4	17	11	1	18
OTU_74	77	88	89	81	117	76	88	69	56	62	108	66	71	78	81	72	86	73
OTU_1086	10	8	1	3	0	5	4	5	2	10	5	6	1	4	3	1	3	7
OTU_1632	5	0	3	8	7	3	1	4	0	6	0	5	0	0	0	2	3	4
OTU_42	98	280	265	125	181	119	89	118	100	106	157	100	149	203	149	173	56	151
OTU_57	376	391	394	381	902	451	660	493	308	506	416	220	590	582	639	523	395	589
OTU_172	31	25	7	13	11	20	99	50	53	76	38	146	7	6	18	9	10	18
OTU_272	22	8	5	24	10	10	16	15	22	33	14	28	13	18	34	27	17	20
OTU_219	17	26	38	43	16	21	22	31	16	29	24	24	26	14	33	34	26	18
OTU_1502	3	1	1	3	0	3	3	1	4	5	0	2	1	0	4	0	0	3
OTU_15	321	421	441	337	368	378	369	306	280	252	404	367	294	272	311	366	361	367
OTU_151	89	62	13	43	21	26	49	27	45	41	27	21	42	28	45	29	10	25
OTU_8	512	504	610	424	191	328	336	538	1579	787	513	521	645	767	554	1061	458	515
OTU_121	48	35	44	30	12	44	68	42	44	48	55	74	36	35	43	21	50	49
OTU_1390	2	6	16	10	1	0	0	9	7	5	4	6	2	0	3	3	0	2
OTU_25	115	131	1138	55	32	69	253	147	75	180	168	120	138	29	290	244	208	369
OTU_1941	4	0	0	1	1	0	6	1	1	1	0	2	0	1	1	1	0	5
OTU_695	3	3	13	7	14	5	4	5	7	7	5	2	8	8	9	2	11	4
OTU_280	23	17	22	40	25	18	26	17	13	16	15	14	17	16	16	25	15	22
OTU_1083	10	1	7	8	9	2	6	0	3	4	4	10	5	1	6	5	3	2
OTU_81	70	26	97	101	80	71	28	36	133	80	53	66	73	123	92	97	80	95
OTU_191	15	10	5	13	3	6	32	22	31	40	50	8	22	74	30	45	15	28
OTU_1698	15	0	0	0	0	0	1	2	0	2	1	2	9	0	0	0	0	0
OTU_2717	1	1	0	0	0	30	1	1	1	0	2	3	0	0	0	0	0	0
OTU_505	4	21	14	11	4	4	18	22	11	18	11	9	21	14	23	11	12	16
OTU_62	92	79	161	159	231	144	57	59	65	74	81	91	55	141	55	98	143	99
OTU_1599	3	1	2	4	1	3	2	0	2	1	2	3	1	0	6	4	3	2
OTU_742	19	29	68	57	25	24	31	32	38	15	21	27	34	36	45	26	27	32
OTU_22	199	205	313	241	227	218	259	156	147	172	184	222	156	176	233	166	163	205
OTU_1205	19	6	15	0	0	0	0	1	4	0	0	4	10	0	1	1	8	0
OTU_771	9	14	0	1	1	3	3	2	1	0	0	0	39	6	0	6	0	0
OTU_3	569	461	899	903	1226	856	608	457	1059	1038	838	675	1041	1796	1020	1200	1205	768
OTU_192	39	19	30	52	57	52	13	21	26	23	19	16	21	43	23	40	37	25
OTU_166	479	523	606	582	728	566	403	330	508	476	547	404	550	834	662	735	545	560
OTU_16	231	247	521	270	142	215	160	239	597	283	227	179	426	288	243	314	819	352
OTU_453	8	12	16	5	11	8	12	5	7	14	8	15	3	5	11	11	11	14
OTU_3217	3	5	3	3	5	1	4	0	1	2	2	4	4	1	2	1	2	2
OTU_141	85	57	75	78	75	81	5	19	17	33	17	10	34	44	22	20	25	27
OTU_812	2	6	6	3	3	5	3	11	6	6	4	9	9	4	11	5	3	2
OTU_45	105	258	239	107	200	79	103	90	102	55	107	99	187	136	123	272	81	96
OTU_1241	5	7	1	5	11	19	5	0	1	0	1	6	0	2	1	0	1	1
OTU_242	23	38	15	21	12	33	17	14	24	17	25	24	25	33	38	14	8	23
OTU_205	18	26	23	17	24	15	16	24	22	28	14	22	40	34	32	33	13	14
