unifrac	E1	E2	E5	E3	E6	N1	E7	S1	N2	E4	O1	O2
E1	0	0.816	0.802	0.812	0.810	0.846	0.761	0.698	0.768	0.894	0.801	0.827
E2	0.816	0	0.440	0.578	0.614	0.692	0.709	0.837	0.825	0.890	0.868	0.877
E5	0.802	0.440	0	0.553	0.570	0.644	0.678	0.825	0.869	0.876	0.783	0.846
E3	0.812	0.578	0.553	0	0.662	0.726	0.740	0.801	0.866	0.886	0.862	0.862
E6	0.810	0.614	0.570	0.662	0	0.787	0.734	0.784	0.833	0.797	0.801	0.818
N1	0.846	0.692	0.644	0.726	0.787	0	0.745	0.843	0.784	0.892	0.813	0.791
E7	0.761	0.709	0.678	0.740	0.734	0.745	0	0.624	0.766	0.833	0.786	0.810
S1	0.698	0.837	0.825	0.801	0.784	0.843	0.624	0	0.674	0.759	0.782	0.792
N2	0.768	0.825	0.869	0.866	0.833	0.784	0.766	0.674	0	0.851	0.910	0.946
E4	0.894	0.890	0.876	0.886	0.797	0.892	0.833	0.759	0.851	0	0.912	0.906
O1	0.801	0.868	0.783	0.862	0.801	0.813	0.786	0.782	0.910	0.912	0	0.535
O2	0.827	0.877	0.846	0.862	0.818	0.791	0.810	0.792	0.946	0.906	0.535	0
