unifrac_binary	E1	E2	E5	E3	E6	E4	E7	S1	N2	N1	O1	O2
E1	0	0.811	0.788	0.813	0.815	0.828	0.783	0.700	0.787	0.876	0.785	0.807
E2	0.811	0	0.462	0.611	0.625	0.845	0.717	0.825	0.820	0.741	0.862	0.864
E5	0.788	0.462	0	0.535	0.608	0.781	0.665	0.803	0.861	0.712	0.760	0.822
E3	0.813	0.611	0.535	0	0.629	0.804	0.699	0.768	0.840	0.765	0.840	0.830
E6	0.815	0.625	0.608	0.629	0	0.698	0.734	0.757	0.843	0.847	0.793	0.800
E4	0.828	0.845	0.781	0.804	0.698	0	0.762	0.662	0.807	0.827	0.827	0.836
E7	0.783	0.717	0.665	0.699	0.734	0.762	0	0.634	0.761	0.727	0.783	0.803
S1	0.700	0.825	0.803	0.768	0.757	0.662	0.634	0	0.680	0.827	0.786	0.798
N2	0.787	0.820	0.861	0.840	0.843	0.807	0.761	0.680	0	0.770	0.907	0.940
N1	0.876	0.741	0.712	0.765	0.847	0.827	0.727	0.827	0.770	0	0.824	0.766
O1	0.785	0.862	0.760	0.840	0.793	0.827	0.783	0.786	0.907	0.824	0	0.517
O2	0.807	0.864	0.822	0.830	0.800	0.836	0.803	0.798	0.940	0.766	0.517	0
