manhatten	E1	E3	E4	N1	E5	E6	O2	E2	O1	N2	S1	E7
E1	0	222.0	179.0	236.0	239.0	244.0	247.0	240.0	256.0	258.0	258.0	262.0
E3	222.0	0	155.0	212.0	207.0	216.0	221.0	220.0	234.0	234.0	234.0	236.0
E4	179.0	155.0	0	167.0	170.0	177.0	178.0	179.0	187.0	189.0	189.0	193.0
N1	236.0	212.0	167.0	0	227.0	234.0	235.0	236.0	248.0	244.0	246.0	246.0
E5	239.0	207.0	170.0	227.0	0	235.0	238.0	233.0	249.0	251.0	251.0	253.0
E6	244.0	216.0	177.0	234.0	235.0	0	245.0	242.0	256.0	256.0	256.0	260.0
O2	247.0	221.0	178.0	235.0	238.0	245.0	0	249.0	253.0	255.0	255.0	259.0
E2	240.0	220.0	179.0	236.0	233.0	242.0	249.0	0	258.0	260.0	260.0	264.0
O1	256.0	234.0	187.0	248.0	249.0	256.0	253.0	258.0	0	268.0	268.0	272.0
N2	258.0	234.0	189.0	244.0	251.0	256.0	255.0	260.0	268.0	0	264.0	268.0
S1	258.0	234.0	189.0	246.0	251.0	256.0	255.0	260.0	268.0	264.0	0	268.0
E7	262.0	236.0	193.0	246.0	253.0	260.0	259.0	264.0	272.0	268.0	268.0	0
