ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6	plaque1	plaque2	plaque3	plaque4	plaque5	plaque6
ASV_1	-24.714	16.433	0.0740099699862347	0.428896801676326	NotSig	0	2.751	0	0	0	0	0	0	8.849	1.425	0	0	6.234	0
ASV_2	-7.987	18.015	0.056204380768491	0.428896801676326	NotSig	0.02	5.13	0.069	0.053	0	0	0	0	0.069	4.038	0.134	26.485	0.052	0
ASV_10	5.773	15.094	0.00433691328645908	0.363306524436259	NotSig	2.226	0.041	0.343	3.318	2.429	1.951	3.497	1.815	0	0	0.067	0	0	0.177
ASV_3	-6.794	17.099	0.752553750197242	1	NotSig	0.021	2.34	0.069	0	0.058	0	0	0	0	0	0	0	14.039	0
ASV_4	4.542	15.362	0.0115189042202442	0.363306524436259	NotSig	2.196	0.094	0.275	4.213	3.528	1.328	3.682	0.151	0.035	0	0	0	0	0.531
ASV_5	0	-Inf	NA	NA	NotSig	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_7	23.898	16.458	0.0740099699862347	0.428896801676326	NotSig	1.563	0	0	9.005	0.174	0	0	0.202	0	0	0	0	0	0
ASV_8	23.786	15.338	0.00962171958575914	0.363306524436259	NotSig	1.446	0	0.687	1.843	0.925	1.079	4.142	0	0	0	0	0	0	0
ASV_9	5.556	16.094	0.0402534094922601	0.428896801676326	NotSig	1.388	0.029	0.206	0.158	0.925	0.042	6.995	0	0	0	0	0	0	0.177
ASV_6	-24.179	16.794	0.175734335644225	0.54686152721668	NotSig	0	1.9	0	0	0	0	0	0	0.035	0	11.365	0	0	0
ASV_14	6.591	15.923	0.461950454587791	0.72688362920569	NotSig	1.111	0.012	0	0	0	0	6.213	0.454	0.069	0	0	0	0	0
ASV_22	3.864	15.016	0.0438263654660942	0.428896801676326	NotSig	1.142	0.078	0.618	0	1.504	0.208	3.313	1.21	0.069	0	0.067	0	0.157	0.177
ASV_13	-4.897	16.518	0.056204380768491	0.428896801676326	NotSig	0.076	2.274	0.412	0	0	0	0.046	0	0	9.382	0.807	3.122	0.157	0.177
ASV_18	23.41	15.785	0.0740099699862347	0.428896801676326	NotSig	1.114	0	0	0	0.347	0	0.69	5.648	0	0	0	0	0	0
ASV_19	-3.223	15.836	0.0812622602542107	0.466374711024166	NotSig	0.147	1.373	0.824	0	0.058	0	0	0	0.311	0	5.851	1.511	0.21	0.354
ASV_17	23.35	15.886	0.0284406622664748	0.363306524436259	NotSig	1.069	0	0	6.056	0.231	0.083	0.046	0	0	0	0	0	0	0
ASV_23	23.435	16.009	0.175734335644225	0.54686152721668	NotSig	1.134	0	0	0.211	6.593	0	0	0	0	0	0	0	0	0
ASV_54	-17.595	10.214	0.404656761927286	0.679000329335616	NotSig	0	0.02	0	0	0	0	0	0	0	0.119	0	0	0	0
ASV_49	22.913	15.173	0.00962171958575914	0.363306524436259	NotSig	0.79	0	0.206	0.211	0.174	3.694	0	0.454	0	0	0	0	0	0
ASV_11	-24.267	16.886	0.404656761927286	0.679000329335616	NotSig	0	2.019	0	0	0	0	0	0	0	12.114	0	0	0	0
ASV_21	0	-Inf	NA	NA	NotSig	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_36	4.537	15.189	0.252951122873848	0.679000329335616	NotSig	0.685	0.029	0	0.316	0.058	3.736	0	0	0	0	0	0	0	0.177
ASV_12	23.405	16.024	0.404656761927286	0.679000329335616	NotSig	1.11	0	6.662	0	0	0	0	0	0	0	0	0	0	0
ASV_35	6.142	15.044	0.0608076790261674	0.428896801676326	NotSig	0.792	0.011	0	0	0.694	0.125	0.552	3.379	0	0	0.067	0	0	0
ASV_15	-22.29	14.909	0.404656761927286	0.679000329335616	NotSig	0	0.513	0	0	0	0	0	0	3.076	0	0	0	0	0
ASV_20	22.818	15.438	0.404656761927286	0.679000329335616	NotSig	0.74	0	0	0	0	0	0	4.438	0	0	0	0	0	0
ASV_24	-0.079	14.947	0.24578548520723	0.679000329335616	NotSig	0.527	0.556	3.159	0	0	0	0	0	0.138	0	0.538	0	0.891	1.77
ASV_16	-0.452	14.978	0.752553750197242	1	NotSig	0.393	0.538	2.129	0	0.231	0	0	0	0	0	3.228	0	0	0
ASV_38	6.636	14.964	0.182287175738893	0.54686152721668	NotSig	0.573	0.006	0	0	0.058	3.196	0.184	0	0.035	0	0	0	0	0
ASV_42	6.973	14.679	0.182287175738893	0.54686152721668	NotSig	0.724	0.006	0	0.158	1.562	0	0	2.622	0.035	0	0	0	0	0
ASV_53	0	-Inf	NA	NA	NotSig	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_207	2.473	14.041	0.127537709297487	0.54686152721668	NotSig	0.602	0.109	0.275	1.685	0.636	0.872	0.046	0.101	0.138	0	0.134	0.201	0	0.177
ASV_48	4.385	13.502	0.0100645617794572	0.363306524436259	NotSig	0.616	0.029	0.069	0.053	0.463	1.079	0.874	1.16	0	0	0	0	0	0.177
ASV_34	-2.42	13.387	0.0181009487394497	0.363306524436259	NotSig	0.123	0.658	0.687	0	0	0	0	0.05	1.072	0.356	1.009	0.101	0.524	0.885
ASV_63	0	-Inf	NA	NA	NotSig	0	0	0	0	0	0	0	0	0	0	0	0	0	0
