group	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
methanotrophy	3	3	8	1	0	3	5	2	1	2	2	1	3	0	5	0	3	4
acetoclastic_methanogenesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methanogenesis_by_disproportionation_of_methyl_groups	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methanogenesis_using_formate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methanogenesis_by_CO2_reduction_with_H2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methanogenesis_by_reduction_of_methyl_compounds_with_H2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hydrogenotrophic_methanogenesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methanogenesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methanol_oxidation	22	37	18	21	44	64	20	37	27	28	24	14	29	40	63	33	27	23
methylotrophy	25	40	26	22	44	67	25	39	28	30	26	15	32	40	68	33	30	27
aerobic_ammonia_oxidation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aerobic_nitrite_oxidation	5	6	3	5	3	6	7	6	9	7	10	14	8	8	8	35	12	16
nitrification	5	6	3	5	3	6	7	6	9	7	10	14	8	8	8	35	12	16
sulfate_respiration	2	0	2	1	0	0	1	2	0	3	0	2	0	1	3	1	1	1
sulfur_respiration	5	12	21	34	33	10	28	20	16	24	26	16	34	47	24	23	21	21
dark_sulfite_oxidation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sulfite_respiration	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
thiosulfate_respiration	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
respiration_of_sulfur_compounds	7	12	23	35	33	10	29	22	16	27	26	18	34	48	27	24	22	22
arsenate_detoxification	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arsenate_respiration	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dissimilatory_arsenate_reduction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arsenite_oxidation_detoxification	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arsenite_oxidation_energy_yielding	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dissimilatory_arsenite_oxidation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
anammox	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nitrate_denitrification	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nitrite_denitrification	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nitrous_oxide_denitrification	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denitrification	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chitinolysis	107	94	126	141	136	133	80	92	127	103	152	137	96	137	106	155	130	162
knallgas_bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dark_hydrogen_oxidation	47	22	28	45	125	50	23	40	28	70	67	37	29	30	39	47	29	38
nitrogen_fixation	213	279	236	194	202	248	309	200	179	171	243	243	196	179	217	230	221	244
nitrate_ammonification	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nitrite_ammonification	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nitrite_respiration	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cellulolysis	41	13	16	29	15	13	47	15	30	31	26	44	30	17	23	25	23	21
xylanolysis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dark_sulfide_oxidation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dark_sulfur_oxidation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dark_thiosulfate_oxidation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dark_oxidation_of_sulfur_compounds	36	36	85	119	77	46	44	53	22	24	44	29	43	24	30	57	73	49
manganese_oxidation	0	3	0	0	0	1	1	4	3	0	2	4	0	2	2	1	4	2
manganese_respiration	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ligninolysis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fermentation	34	19	49	47	39	24	62	37	37	45	47	67	78	68	56	36	37	67
aerobic_chemoheterotrophy	2908	3276	3672	3615	3056	3014	3149	4181	3880	3548	3431	3301	3150	2897	3078	3311	3475	3419
invertebrate_parasites	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
human_pathogens_septicemia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
human_pathogens_pneumonia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
human_pathogens_nosocomia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
human_pathogens_meningitis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
human_pathogens_gastroenteritis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
human_pathogens_diarrhea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
human_pathogens_all	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fish_parasites	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
human_gut	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
human_associated	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mammal_gut	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
animal_parasites_or_symbionts	0	0	6	0	1	1	1	0	0	0	0	0	0	2	0	3	2	1
plant_pathogen	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
oil_bioremediation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aromatic_hydrocarbon_degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aromatic_compound_degradation	170	247	249	189	181	233	158	293	182	149	255	182	172	134	233	189	176	183
aliphatic_non_methane_hydrocarbon_degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hydrocarbon_degradation	3	3	8	1	0	3	5	2	1	2	2	1	3	0	5	0	3	4
dark_iron_oxidation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iron_respiration	37	55	37	41	38	116	65	43	45	79	52	49	111	57	55	57	41	55
nitrate_respiration	78	56	65	66	65	75	79	56	54	87	89	75	46	51	77	82	54	51
nitrate_reduction	246	167	239	253	282	278	262	216	218	296	276	291	167	213	241	252	215	205
nitrogen_respiration	78	56	65	66	65	75	79	56	54	87	89	75	46	51	77	82	54	51
fumarate_respiration	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
intracellular_parasites	1	2	8	1	6	3	5	2	4	9	1	1	2	7	11	4	2	8
chlorate_reducers	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
predatory_or_exoparasitic	53	56	20	46	44	62	86	58	69	57	74	79	59	53	60	60	43	65
chloroplasts	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nonphotosynthetic_cyanobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
photosynthetic_cyanobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
anoxygenic_photoautotrophy_H2_oxidizing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
anoxygenic_photoautotrophy_S_oxidizing	13	8	16	10	7	8	10	11	9	6	7	17	4	7	6	5	7	16
anoxygenic_photoautotrophy_Fe_oxidizing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
anoxygenic_photoautotrophy	13	8	16	10	7	8	10	11	9	6	7	17	4	7	6	5	7	16
oxygenic_photoautotrophy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
photoautotrophy	13	8	16	10	7	8	10	11	9	6	7	17	4	7	6	5	7	16
aerobic_anoxygenic_phototrophy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
photoheterotrophy	8	6	11	0	0	3	4	1	2	1	1	1	1	2	0	3	4	2
phototrophy	21	14	27	10	7	11	14	12	11	7	8	18	5	9	6	8	11	18
plastic_degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ureolysis	88	75	77	113	96	108	80	66	94	72	90	63	92	79	67	98	122	70
reductive_acetogenesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chemoheterotrophy	3093	3441	3888	3853	3290	3246	3346	4355	4092	3751	3676	3540	3350	3157	3320	3558	3689	3680
