bray_curtis_binary	feces1	feces5	feces2	feces3	feces4	feces6	plaque1	saliva6	plaque6	saliva4	plaque3	saliva1	plaque2	saliva5	saliva3	plaque5	plaque4	saliva2
feces1	0	0.386	0.428	0.417	0.450	0.534	0.927	0.923	0.947	0.926	0.950	0.927	0.944	0.916	0.921	0.938	0.923	0.928
feces5	0.386	0	0.426	0.444	0.484	0.508	0.924	0.908	0.910	0.908	0.927	0.900	0.927	0.902	0.907	0.925	0.918	0.907
feces2	0.428	0.426	0	0.287	0.547	0.450	0.963	0.954	0.963	0.955	0.964	0.943	0.961	0.950	0.952	0.963	0.966	0.958
feces3	0.417	0.444	0.287	0	0.520	0.475	0.968	0.954	0.962	0.962	0.963	0.960	0.969	0.957	0.964	0.962	0.953	0.959
feces4	0.450	0.484	0.547	0.520	0	0.491	0.916	0.907	0.929	0.906	0.920	0.907	0.941	0.892	0.875	0.890	0.917	0.896
feces6	0.534	0.508	0.450	0.475	0.491	0	0.900	0.885	0.913	0.890	0.915	0.884	0.928	0.878	0.895	0.917	0.902	0.883
plaque1	0.927	0.924	0.963	0.968	0.916	0.900	0	0.185	0.283	0.246	0.411	0.288	0.255	0.284	0.312	0.465	0.404	0.359
saliva6	0.923	0.908	0.954	0.954	0.907	0.885	0.185	0	0.266	0.217	0.377	0.255	0.260	0.266	0.270	0.443	0.384	0.329
plaque6	0.947	0.910	0.963	0.962	0.929	0.913	0.283	0.266	0	0.148	0.363	0.306	0.349	0.348	0.361	0.475	0.350	0.319
saliva4	0.926	0.908	0.955	0.962	0.906	0.890	0.246	0.217	0.148	0	0.365	0.242	0.343	0.259	0.303	0.500	0.365	0.301
plaque3	0.950	0.927	0.964	0.963	0.920	0.915	0.411	0.377	0.363	0.365	0	0.202	0.413	0.410	0.432	0.534	0.410	0.396
saliva1	0.927	0.900	0.943	0.960	0.907	0.884	0.288	0.255	0.306	0.242	0.202	0	0.366	0.282	0.331	0.517	0.412	0.350
plaque2	0.944	0.927	0.961	0.969	0.941	0.928	0.255	0.260	0.349	0.343	0.413	0.366	0	0.430	0.335	0.431	0.438	0.436
saliva5	0.916	0.902	0.950	0.957	0.892	0.878	0.284	0.266	0.348	0.259	0.410	0.282	0.430	0	0.364	0.572	0.443	0.348
saliva3	0.921	0.907	0.952	0.964	0.875	0.895	0.312	0.270	0.361	0.303	0.432	0.331	0.335	0.364	0	0.279	0.446	0.384
plaque5	0.938	0.925	0.963	0.962	0.890	0.917	0.465	0.443	0.475	0.500	0.534	0.517	0.431	0.572	0.279	0	0.501	0.514
plaque4	0.923	0.918	0.966	0.953	0.917	0.902	0.404	0.384	0.350	0.365	0.410	0.412	0.438	0.443	0.446	0.501	0	0.130
saliva2	0.928	0.907	0.958	0.959	0.896	0.883	0.359	0.329	0.319	0.301	0.396	0.350	0.436	0.348	0.384	0.514	0.130	0
