unifrac_binary	feces1	feces2	feces3	feces4	feces5	feces6	plaque1	plaque2	plaque3	plaque4	plaque5	plaque6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6
feces1	0	0.327	0.292	0.295	0.213	0.404	0.871	0.881	0.880	0.855	0.857	0.871	0.855	0.865	0.856	0.865	0.871	0.859
feces2	0.327	0	0.152	0.463	0.301	0.362	0.864	0.847	0.869	0.855	0.878	0.857	0.849	0.870	0.851	0.860	0.870	0.853
feces3	0.292	0.152	0	0.424	0.296	0.376	0.890	0.885	0.895	0.881	0.891	0.889	0.883	0.894	0.881	0.894	0.900	0.881
feces4	0.295	0.463	0.424	0	0.297	0.341	0.852	0.872	0.848	0.824	0.810	0.854	0.831	0.831	0.824	0.842	0.840	0.843
feces5	0.213	0.301	0.296	0.297	0	0.399	0.861	0.857	0.864	0.845	0.854	0.849	0.834	0.858	0.841	0.845	0.859	0.847
feces6	0.404	0.362	0.376	0.341	0.399	0	0.853	0.876	0.858	0.834	0.824	0.853	0.825	0.832	0.826	0.838	0.843	0.839
plaque1	0.871	0.864	0.890	0.852	0.861	0.853	0	0.173	0.205	0.200	0.276	0.182	0.172	0.201	0.166	0.171	0.217	0.113
plaque2	0.881	0.847	0.885	0.872	0.857	0.876	0.173	0	0.258	0.241	0.287	0.275	0.228	0.276	0.196	0.260	0.317	0.183
plaque3	0.880	0.869	0.895	0.848	0.864	0.858	0.205	0.258	0	0.202	0.303	0.224	0.145	0.204	0.218	0.190	0.218	0.210
plaque4	0.855	0.855	0.881	0.824	0.845	0.834	0.200	0.241	0.202	0	0.257	0.189	0.204	0.0954	0.189	0.187	0.249	0.179
plaque5	0.857	0.878	0.891	0.810	0.854	0.824	0.276	0.287	0.303	0.257	0	0.287	0.306	0.277	0.189	0.313	0.371	0.245
plaque6	0.871	0.857	0.889	0.854	0.849	0.853	0.182	0.275	0.224	0.189	0.287	0	0.192	0.179	0.190	0.111	0.220	0.185
saliva1	0.855	0.849	0.883	0.831	0.834	0.825	0.172	0.228	0.145	0.204	0.306	0.192	0	0.176	0.181	0.131	0.164	0.145
saliva2	0.865	0.870	0.894	0.831	0.858	0.832	0.201	0.276	0.204	0.0954	0.277	0.179	0.176	0	0.171	0.152	0.191	0.170
saliva3	0.856	0.851	0.881	0.824	0.841	0.826	0.166	0.196	0.218	0.189	0.189	0.190	0.181	0.171	0	0.175	0.238	0.129
saliva4	0.865	0.860	0.894	0.842	0.845	0.838	0.171	0.260	0.190	0.187	0.313	0.111	0.131	0.152	0.175	0	0.165	0.151
saliva5	0.871	0.870	0.900	0.840	0.859	0.843	0.217	0.317	0.218	0.249	0.371	0.220	0.164	0.191	0.238	0.165	0	0.208
saliva6	0.859	0.853	0.881	0.843	0.847	0.839	0.113	0.183	0.210	0.179	0.245	0.185	0.145	0.170	0.129	0.151	0.208	0
