Species	feces1	feces2	feces3	feces4	feces5	feces6	plaque1	plaque2	plaque3	plaque4	plaque5	plaque6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6	All
uncultured bacterium	41.3	49.5	41.3	30.3	46.8	18	18.3	5.81	10.4	16.5	16.8	21.7	15.6	26.9	16.8	18.3	16.2	25.4	26.3
uncultured organism	11	25.1	21.1	10.1	27.2	37.3	3.67	6.73	4.89	3.36	4.28	2.75	7.95	20.8	11.9	19.6	22.9	18	13.1
Unassigned	8.56	6.42	7.95	2.75	4.89	0.612	7.95	22.9	15.3	20.2	7.65	7.65	19.6	15.3	16.8	21.4	17.4	8.87	11.7
gut metagenome	20.2	3.06	10.1	5.2	0.306	15.9	0	0	0	0	0	0	0	0	0	0	0	0	1.9
Filifactor alocis	0	0	0	0	0	0	6.73	0	11	3.36	8.26	3.36	7.34	0	0.306	0	0	0	1.5
Porphyromonas pasteri	0	0	0	0	0	0	0	0	0	0	0	0	0	8.56	2.75	3.36	0.306	2.45	1.1
uncultured Prevotella sp.	0	0	0	0	0	0	0.612	0	0.306	0	0.612	5.81	0.612	0	0.612	0.612	0	0	0.9
uncultured Treponema sp.	0	0	0	0	0	0	1.83	0	1.22	0.306	1.22	0.917	1.83	0	0	0	0	0	0.9
Prevotella nigrescens	0	0	0	0	0	0	1.22	0.612	1.83	0.306	2.45	0	0	0	0	0.612	0.306	0	0.8
unidentified	0.612	0	2.45	0	0	0.306	0.306	0	3.67	0.306	1.53	4.28	0.306	0.306	0	0.612	0	0	0.8
uncultured Synergistetes bacterium	0	0	0	0	0	0	0.306	0	5.81	0	2.45	0.306	0	0	0	0	0	0	0.7
Treponema denticola	0	0	0	0	0	0	0.612	0	0.612	0.612	0	1.22	2.45	0	0	0	0	0	0.7
Fusobacterium periodonticum	0	0	0	0	0	0	0	0	0	0	0	0	0	0.612	1.22	0.917	0	2.75	0.7
Porphyromonas endodontalis	0	0	0	0	0	0	1.53	0	1.53	0	0	0.917	4.59	0	0.306	0	0	0.306	0.6
Prevotella melaninogenica	0	0	0	0	0	0	0	0	0.612	0.306	0	1.22	0	0.612	1.53	0	0.917	3.06	0.6
uncultured Bacteroidetes bacterium	0	0	0	0	0	0	0.917	0	0	0	0	0	0.612	0.917	0.612	0.306	0	0	0.6
Peptostreptococcus stomatis	0	0	0	0	0	0	0	0.917	0.306	1.22	0.612	0.306	0.917	0	0.306	0	0.306	0	0.6
Fusobacterium nucleatum	0	0	0	0	0	0	0.612	0.306	1.53	2.45	0	0	0.306	0	0	0	0.306	0.306	0.6
Leptotrichia sp. oral taxon 215 str. W9775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.306	0.612	1.83	0.6
Porphyromonas gingivalis	0	0	0	0	0	0	0	3.06	13.8	0	12.5	5.81	1.83	0	0.612	0	0	0	0.6
Prevotella intermedia	0	0	0	0	0	0	1.83	0	2.14	0.306	0.917	1.83	0.612	0	0.917	0	0.306	0.612	0.6
Catonella morbi	0	0	0	0	0	0	2.14	0.306	0	1.22	1.22	0.917	0.612	0	0	0	0	0	0.5
uncultured Candidatus Saccharibacteria bacterium	0	0	0	0	0	0	2.75	0.306	0	0	0.612	1.22	0	0	0	0	0.612	0	0.5
Veillonella sp. oral taxon 158	0	0	0	0	0	0	0	0	0	0	0	0	0	0.306	0.612	2.75	1.22	0.306	0.5
Prevotella melaninogenica ATCC 25845	0	0	0	0	0	0	0	0	0	0	0	0.306	0	0.917	2.14	0	0.306	0	0.5
Neisseria sp. R-22841	0	0	0	0	0	0	0	0	0	0	0	0	1.22	3.98	4.89	1.53	0	0	0.5
Streptococcus oralis	0	0	0	0	0	0	0	2.75	0	0	0	0	0	0.612	0.917	0.612	1.83	1.22	0.5
Bacteroidetes oral taxon 274 str. F0058	0	0	0	0	0	0	0.612	0	0	0	0	0.917	1.22	0.306	0	0	0.306	0	0.4
Parvimonas micra ATCC 33270	0	0	0	0	0	0	1.22	20.8	0.306	6.12	0	0	0	0	0	0	0	0	0.4
Prevotella multiformis	0	0	0	0	0	0	0.917	0	0	0	2.14	0	0	0	0	0	0	0	0.4
Prevotella pallens	0	0	0	0	0	0	0	0	0	0	0	1.22	0	0.306	0.917	0	0.612	0.917	0.4
Eubacterium saphenum ATCC 49989	0	0	0	0	0	0	0	0	0	0	0.612	1.53	2.75	0	0	0	0	0	0.4
Bifidobacterium longum	0	1.22	0	5.2	0.612	3.98	0	0	0	0	0	0	0	0	0	0	0	0	0.4
Streptococcus anginosus	0	0	0	0	0	0	0.917	10.1	0	27.2	0.306	1.22	1.53	0	0	0	0	0	0.4
Fusobacterium nucleatum subsp. vincentii	0	0	0	0	0	0	2.45	0	1.22	0.306	0	0	0	0	0	0	0	0	0.4
Campylobacter gracilis	0	0	0	0	0	0	0	0	0	0	0.917	0	0.612	0	0	0	0	0	0.4
Gemella sanguinis	0	0	0	0	0	0	0	0	0	0	0	0.612	2.14	5.2	5.2	3.36	7.34	0.917	0.4
Veillonella parvula	0	0	0	0	0	0	0.612	0.612	0	0.306	0	0	0	0.917	0.917	0.917	0.306	0.612	0.4
Eubacterium brachy ATCC 33089	0	0	0	0	0	0	1.22	2.14	0.306	0.612	0.306	0	0	0	0	0	0	0.306	0.3
Streptococcus rubneri	0	0	0	0	0	0	0	0	0.306	0	0	0	0	0	1.53	1.83	4.28	0	0.3
Fusobacterium nucleatum subsp. animalis	0	0	0	0	0	0	1.22	0.306	0.306	0.306	0.306	0	0.306	0	0	0	0	0	0.3
Leptotrichia sp. oral clone EX103	0	0	0	0	0	0	0.612	0	0	0	2.75	2.45	0	0	0	0	0	0	0.3
Streptococcus mitis	0	0	0	0	0	0	0	0	0	0	0	0.306	0.917	0.306	0.306	0	0.306	0.306	0.3
uncultured Selenomonas sp.	0	0	0	0	0	0	1.22	0	0	0.306	0.917	0	0.306	0	0.306	0	0.612	0	0.3
Streptococcus cristatus	0	0	0	0	0	0	0.306	0.306	0.306	0	0	1.53	0.612	0.306	1.22	0.917	0	1.22	0.3
Solobacterium moorei	0	0	0	0	0	0	0	0.612	0.612	0.612	0	0.306	0.306	0.612	0.306	0	0	0.612	0.3
uncultured Porphyromonas sp.	0	0	0	0	0	0	0	0	0	0	0	0	0.306	0.306	0.612	0	0	0	0.3
uncultured Neisseria sp.	0	0	0	0	0	0	0	0	0	0	0	0	0.612	0.306	0.306	2.14	6.73	3.06	0.3
Alloprevotella tannerae	0	0	0	0	0	0	0.612	0	0	0	0.612	0	0.306	0	0.612	0	0	0	0.3
Peptostreptococcus stomatis DSM 17678	0	0	0	0	0	0	0	0.306	0	0	0.306	1.53	0	0	0	0	0	0	0.2
Peptostreptococcaceae bacterium canine oral taxon 139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.306	0.2
Streptococcus australis	0	0	0	0	0.306	0	0	0	0	0	0	0	0	0	0	2.75	0.917	0.306	0.2
Treponema sp. canine oral taxon 395	0	0	0	0	0	0	0.612	0	0	0	0	0.306	0	0	0	0	0	0	0.2
Alloprevotella rava	0	0	0	0	0	0	0	0	0	0	1.83	0	0	0	0	0	0	1.53	0.2
Fusobacterium periodonticum ATCC 33693	0	0	0	0	0	0	0	0	0	0.306	0	0	0	0	0	2.14	0.306	0.612	0.2
Rothia mucilaginosa	0	0	0	0	0	0	0	0	0	0	0	0.306	0	0.306	1.22	3.06	0	0.612	0.2
Firmicutes oral clone AO068	0	0	0	0	0	0	0.612	0	0	2.75	0.612	0	0	0	0	0	0	0	0.2
Blautia hansenii	0	0	0	0	0	7.03	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Tannerella forsythia 92A2	0	0	0	0	0	0	1.53	0.306	0	0	1.22	3.36	0	0	0	0	0	0.917	0.2
Granulicatella adiacens ATCC 49175	0	0	0	0	0	0	0	0	0	0	0	0	0	0.306	0.612	0	0.612	0	0.2
uncultured Peptostreptococcus sp.	0	0	0	0	0	0	0.306	0	0	0	1.83	1.22	0	0	0	0	0	0	0.2
Campylobacter rectus	0	0	0	0	0	0	0.612	0	2.14	0	0	0	1.83	0	0	0	0	0	0.2
human gut metagenome	0	5.5	1.83	3.36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
metagenome	0	0.917	0	0	0	2.14	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Veillonella tobetsuensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.306	1.22	0	0	0.2
Mycoplasmataceae genomosp. P1 oral clone MB1_G23	0	0	0	0	0	0	0	0	0	0	0.306	0.306	0	0	0	0	0	0	0.2
Mogibacterium diversum	0	0	0	0	0	0	0	0	0	0	0	0.306	0	0	0	0	0	0	0.2
Peptostreptococcaceae bacterium oral taxon 113 str. W5053	0	0	0	0	0	0	0	1.53	0	0	0	0.612	0.612	0	0	0	0	0	0.2
Peptococcus sp. oral clone MCE10_265	0	0	0	0	0	0	0	0	0	1.83	0	0.612	0	0	0	0	0	0	0.2
Tannerella sp. oral taxon BU063 isolate Cell 5	0	0	0	0	0	0	0	0.306	0	0	0	0	0	0	0	0	0	0.612	0.2
Sneathia amnii	0	0	0	0	0	0	0	0	0	0	1.53	0	0	0	0	0	0	0	0.2
Selenomonas sputigena	0	0	0	0	0	0	0.306	0	0	0	0	0	0	0	0	0	0	0.306	0.2
Streptococcus gordonii str. Challis substr. CH1	0	0	0	0	0	0	0.306	0	0.306	2.45	0	0.306	0	0	0.612	0	0.306	0	0.2
Prevotella pleuritidis	0	0	0	0	0	0	3.06	0.306	0	0	0	0	0	0	0	0	0	0	0.2
Prevotella shahii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.22	0.2
SR1 bacterium human oral taxon HOT-345	0	0	0	0	0	0	0	0	0	0	0.306	0	0	0	0	0.306	0	0	0.2
Schaalia cardiffensis	0	0	0	0	0	0	0	0	0	0	0	1.22	0.612	0	0	0	0	0	0.2
Ruminococcus sp. UNK.MGS-30	0.917	0	0	0	0.917	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Rothia mucilaginosa DY-18	0	0	0	0	0	0	0	0	0	0	0	0	0	2.75	1.83	0	0	2.14	0.2
