OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species	All1	All2	feces1	feces2	plaque1	plaque2	saliva1	saliva2	feces_prevalence1	feces_prevalence2	plaque_prevalence1	plaque_prevalence2	saliva_prevalence1	saliva_prevalence2
ASV_1	Bacteria	Thermodesulfobacteriota	Desulfobulbia	Desulfobulbales	Desulfobulbaceae	Desulfobulbus	Desulfobulbus sp. ORNL	0.917097	0.917097	0	0	2.751292	2.751292	0	0	0	0	0.5	0.5	0	0
ASV_2	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus anginosus	1.716709	1.716709	0	0	5.12990289	5.12990289	0.02022344	0.02022344	0	0	0.833333	0.833333	0.333333	0.333333
ASV_10	Bacteria	Bacillota	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	uncultured organism	0.755458	0.755458	0	0	0.04070677	0.04070677	2.22566818	2.22566818	0	0	0.333333	0.333333	1	1
ASV_3	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Porphyromonas gingivalis	0.78696	0.78696	0	0	2.33979396	2.33979396	0.02108637	0.02108637	0	0	0.166667	0.166667	0.333333	0.333333
ASV_4	Bacteria	Bacillota	Bacilli	Staphylococcales	Gemellaceae	Gemella	Gemella sanguinis	0.763458	0.763458	0	0	0.09425661	0.09425661	2.19611732	2.19611732	0	0	0.333333	0.333333	1	1
ASV_5	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	uncultured bacterium	1.032512	1.032512	3.097537	3.097537	0	0	0	0	0.5	0.5	0	0	0	0
ASV_7	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	uncultured bacterium	0.521109	0.521109	0	0	0	0	1.563327	1.563327	0	0	0	0	0.5	0.5
ASV_8	Bacteria	Bacillota	Bacilli	Staphylococcales	Gemellaceae	Gemella	Gemella sanguinis	0.482017	0.482017	0	0	0	0	1.446051	1.446051	0	0	0	0	0.833333	0.833333
ASV_9	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	uncultured Neisseria sp.	0.472381	0.472381	0	0	0.02949853	0.02949853	1.38764352	1.38764352	0	0	0.166667	0.166667	0.833333	0.833333
ASV_6	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Porphyromonas gingivalis	0.633318	0.633318	0	0	1.899955	1.899955	0	0	0	0	0.333333	0.333333	0	0
