SampleID	Group	ExperimentAccession	OrganismName	Instrument	Submitter	StudyAccession	StudyTitle	SampleAccession	LibraryName	LibraryStrategy	LibrarySource	LibrarySelection
feces1	feces	SRX19321598	humanmetagenome	SequelII	FISABIO	SRP421661	Effectofperiodontitisontheoralandintestinalmicrobiota.	SRS16719748	V11F-R	AMPLICON	METAGENOMIC	PCR
feces2	feces	SRX19321587	humanmetagenome	SequelII	FISABIO	SRP421661	Effectofperiodontitisontheoralandintestinalmicrobiota.	SRS16719751	V44F	AMPLICON	METAGENOMIC	PCR
feces3	feces	SRX19321588	humanmetagenome	SequelII	FISABIO	SRP421661	Effectofperiodontitisontheoralandintestinalmicrobiota.	SRS16719751	V45F	AMPLICON	METAGENOMIC	PCR
feces4	feces	SRX19321589	humanmetagenome	SequelII	FISABIO	SRP421661	Effectofperiodontitisontheoralandintestinalmicrobiota.	SRS16719751	V46F	AMPLICON	METAGENOMIC	PCR
feces5	feces	SRX19321590	humanmetagenome	SequelII	FISABIO	SRP421661	Effectofperiodontitisontheoralandintestinalmicrobiota.	SRS16719751	V47F	AMPLICON	METAGENOMIC	PCR
feces6	feces	SRX19321591	humanmetagenome	SequelII	FISABIO	SRP421661	Effectofperiodontitisontheoralandintestinalmicrobiota.	SRS16719748	V6H	AMPLICON	METAGENOMIC	PCR
saliva1	saliva	SRX19321592	humanmetagenome	SequelII	FISABIO	SRP421661	Effectofperiodontitisontheoralandintestinalmicrobiota.	SRS16719750	V1S	AMPLICON	METAGENOMIC	PCR
saliva2	saliva	SRX19321571	humanmetagenome	SequelII	FISABIO	SRP421661	Effectofperiodontitisontheoralandintestinalmicrobiota.	SRS16719752	V28S-R	AMPLICON	METAGENOMIC	PCR
saliva3	saliva	SRX19321572	humanmetagenome	SequelII	FISABIO	SRP421661	Effectofperiodontitisontheoralandintestinalmicrobiota.	SRS16719752	V29S	AMPLICON	METAGENOMIC	PCR
saliva4	saliva	SRX19321573	humanmetagenome	SequelII	FISABIO	SRP421661	Effectofperiodontitisontheoralandintestinalmicrobiota.	SRS16719752	V31S	AMPLICON	METAGENOMIC	PCR
saliva5	saliva	SRX19321574	humanmetagenome	SequelII	FISABIO	SRP421661	Effectofperiodontitisontheoralandintestinalmicrobiota.	SRS16719752	V32S	AMPLICON	METAGENOMIC	PCR
saliva6	saliva	SRX19321575	humanmetagenome	SequelII	FISABIO	SRP421661	Effectofperiodontitisontheoralandintestinalmicrobiota.	SRS16719752	V33S	AMPLICON	METAGENOMIC	PCR
plaque1	plaque	SRX19321596	humanmetagenome	SequelII	FISABIO	SRP421661	Effectofperiodontitisontheoralandintestinalmicrobiota.	SRS16719753	V10G-R	AMPLICON	METAGENOMIC	PCR
plaque2	plaque	SRX19321597	humanmetagenome	SequelII	FISABIO	SRP421661	Effectofperiodontitisontheoralandintestinalmicrobiota.	SRS16719753	V11G	AMPLICON	METAGENOMIC	PCR
plaque3	plaque	SRX19321599	humanmetagenome	SequelII	FISABIO	SRP421661	Effectofperiodontitisontheoralandintestinalmicrobiota.	SRS16719753	V12G-R	AMPLICON	METAGENOMIC	PCR
plaque4	plaque	SRX19321593	humanmetagenome	SequelII	FISABIO	SRP421661	Effectofperiodontitisontheoralandintestinalmicrobiota.	SRS16719753	V7G	AMPLICON	METAGENOMIC	PCR
plaque5	plaque	SRX19321594	humanmetagenome	SequelII	FISABIO	SRP421661	Effectofperiodontitisontheoralandintestinalmicrobiota.	SRS16719753	V8G-R	AMPLICON	METAGENOMIC	PCR
plaque6	plaque	SRX19321595	humanmetagenome	SequelII	FISABIO	SRP421661	Effectofperiodontitisontheoralandintestinalmicrobiota.	SRS16719753	V9G	AMPLICON	METAGENOMIC	PCR
