var	estimate	estimate1	estimate2	statistic	p.value	parameter	conf.low	conf.high	method	alternative
Streptococcus	-12.5783333333333	0.102	12.6803333333333	-2.14809698976347	0.0844346424644252	5.00121387681658	-27.6294576608931	2.47279099422647	Welch Two Sample t-test	two.sided
Incertae Sedis	11.9188333333333	16.3016666666667	4.38283333333333	2.56352114943364	0.0419803443824705	6.1170776848711	0.594736910128006	23.2429297565387	Welch Two Sample t-test	two.sided
Prevotella	-9.16333333333333	0	9.16333333333333	-8.97852203085174	0.000285906280343771	5	-11.7868272825165	-6.53983938415015	Welch Two Sample t-test	two.sided
Fusobacterium	-6.98266666666667	0	6.98266666666667	-3.00726126144732	0.0298492843896693	5	-12.9513918744652	-1.01394145886817	Welch Two Sample t-test	two.sided
Porphyromonas	-8.16333333333333	0	8.16333333333333	-3.79590116699457	0.0126815576989947	5	-13.6915374307877	-2.63512923587899	Welch Two Sample t-test	two.sided
Veillonella	-0.8155	0	0.8155	-2.90349762071836	0.033653371164693	5	-1.53749455994139	-0.0935054400586138	Welch Two Sample t-test	two.sided
Treponema	-3.31333333333333	0	3.31333333333333	-3.49120687435388	0.0174478788896388	5	-5.75294656411654	-0.873720102550131	Welch Two Sample t-test	two.sided
Faecalibacterium	17.219	17.27	0.051	2.91342234315746	0.0332611580975712	5.00074466978067	2.02694715386318	32.4110528461368	Welch Two Sample t-test	two.sided
Selenomonas	-3.87433333333333	0	3.87433333333333	-2.59040846973988	0.0488127094279797	5	-7.71901304628494	-0.029653620381722	Welch Two Sample t-test	two.sided
Fretibacterium	-4.226	0	4.226	-2.67487499122802	0.0440900537112031	5	-8.28722860807479	-0.164771391925206	Welch Two Sample t-test	two.sided
Neisseria	-0.102	0	0.102	-1.58113883008419	0.174687814264119	5	-0.267829427654334	0.0638294276543337	Welch Two Sample t-test	two.sided
Alloprevotella	-1.52816666666667	0	1.52816666666667	-2.88853566272239	0.0342452438773675	5	-2.88812130591661	-0.16821202741672	Welch Two Sample t-test	two.sided
Filifactor	-6.62333333333333	0	6.62333333333333	-2.69783440136056	0.0428949337974241	5	-12.9342545483066	-0.312412118360031	Welch Two Sample t-test	two.sided
Gemella	-1.06966666666667	0	1.06966666666667	-1.8149193165249	0.129251477375139	5	-2.5847013453343	0.445368012000962	Welch Two Sample t-test	two.sided
Hoylesella	-1.93666666666667	0	1.93666666666667	-2.9361473629585	0.0324009759777077	5	-3.63220832027066	-0.241125013062673	Welch Two Sample t-test	two.sided
Peptostreptococcus	-1.2735	0	1.2735	-3.14023428262616	0.0256595830041407	5	-2.31598144343712	-0.231018556562882	Welch Two Sample t-test	two.sided
Parvimonas	-6.07466666666667	0	6.07466666666667	-1.64810080125542	0.160247595512193	5	-15.5494680738281	3.40013474049475	Welch Two Sample t-test	two.sided
Bacteroides	7.63733333333333	7.63733333333333	0	1.64299342421555	0.161306061392311	5	-4.31182607899965	19.5864927456663	Welch Two Sample t-test	two.sided
Leptotrichia	-1.78383333333333	0.051	1.83483333333333	-2.83771059119922	0.0358062333676808	5.06625474413694	-3.39340948218145	-0.174257184485217	Welch Two Sample t-test	two.sided
Campylobacter	-0.866	0	0.866	-2.37080903599602	0.0638885587071279	5	-1.80497223937558	0.0729722393755812	Welch Two Sample t-test	two.sided
Capnocytophaga	-0.509666666666667	0	0.509666666666667	-1.53624961515573	0.185076960147417	5	-1.36248372363292	0.343150390299582	Welch Two Sample t-test	two.sided
Tannerella	-1.325	0	1.325	-2.89590127508023	0.0339524347215117	5	-2.50115229549693	-0.148847704503065	Welch Two Sample t-test	two.sided
Catonella	-1.42766666666667	0	1.42766666666667	-2.94303933672258	0.032143308014328	5	-2.67465441667197	-0.180678916661366	Welch Two Sample t-test	two.sided
Bifidobacterium	5.251	5.251	0	3.17191655403912	0.0247616246596406	5	0.995489179030331	9.50651082096967	Welch Two Sample t-test	two.sided
Agathobacter	4.7935	4.7935	0	1.53437368914802	0.185524009197068	5	-3.2371929897662	12.8241929897662	Welch Two Sample t-test	two.sided
Coprococcus	2.29266666666667	2.29266666666667	0	1.95295428239249	0.108259899846784	5	-0.725062596960699	5.31039593029403	Welch Two Sample t-test	two.sided
Granulicatella	-0.204	0.051	0.255	-1.90692517849118	0.0943633683731608	7.70700636942675	-0.452334880896076	0.0443348808960761	Welch Two Sample t-test	two.sided
UCG-002	2.8555	2.8555	0	1.69333729559284	0.151169685431899	5	-1.47931058426086	7.19031058426086	Welch Two Sample t-test	two.sided
Oribacterium	-0.713166666666667	0	0.713166666666667	-1.6323560258697	0.163532921285765	5	-1.83623862527196	0.409905291938622	Welch Two Sample t-test	two.sided
