Genus	feces1	feces2	feces3	feces4	feces5	feces6	plaque1	plaque2	plaque3	plaque4	plaque5	plaque6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6	All
Streptococcus	0	0.306	0	0	0.306	0	3.98	27.5	2.45	33.9	0.612	8.26	10.7	30.3	31.8	33.6	45.3	23.5	13.5
Incertae Sedis	12.5	10.7	17.1	37.6	7.65	15.9	6.12	0.917	1.83	0	7.03	9.17	2.14	2.45	3.06	1.22	1.83	4.59	7.5
Prevotella	0	0	0	0	0	0	8.56	6.12	11.9	8.87	7.03	12.5	3.06	4.28	8.26	7.34	2.75	16.5	6.1
Fusobacterium	0	0	0	0	0	0	7.34	2.14	17.1	9.48	6.12	0.306	7.03	1.83	3.06	5.2	1.22	7.03	5.4
Porphyromonas	0	0	0	0	0	0	1.83	4.59	15.3	4.89	14.1	9.17	15.3	13.5	10.1	7.95	0.917	3.36	4.7
Segatella	0	10.1	28.7	0.612	0	0	1.83	3.36	2.45	12.8	1.83	2.14	0.612	0	0.917	0.917	0	0.612	4.6
Veillonella	0	0	0	0	0	0	0.917	0.612	0.306	1.83	0.306	0.612	1.53	4.59	3.67	10.1	7.95	7.65	3.8
Treponema	0	0	0	0	0	0	6.73	0	2.45	0.917	4.28	3.67	7.03	0	0	0	0	0	3.6
Faecalibacterium	16.2	44.3	11.3	6.12	20.5	5.2	0	0	0	0	0	0	0	0	0	0	0	0	3.1
Selenomonas	0	0	0	0	0	0	10.4	2.14	0.306	2.45	5.81	2.45	3.36	0	0.917	0	1.53	0.612	2.4
Fretibacterium	0	0	0	0	0	0	3.06	1.83	11.9	0.306	5.5	3.36	1.22	0	0.306	0	0	0	2.1
Neisseria	0	0	0	0	0	0	0.306	0.306	0	0.306	0	0.306	2.75	5.81	7.03	7.03	7.34	3.06	1.9
Alloprevotella	0	0	0	0	0	0	0.917	2.75	1.22	1.53	3.36	0	0.612	0.306	1.22	0.306	0	1.53	1.8
Filifactor	0	0	0	0	0	0	6.73	0	16.8	3.36	9.79	3.36	7.34	0	0.306	0	0	0	1.7
Haemophilus	0	0	0	0	0	0	0	0	0	0	0	0.306	0.306	5.2	0.612	8.26	3.98	0.306	1.6
Gemella	0	0	0	0	0	0	0.612	1.83	0.306	0.612	0	3.67	3.67	6.73	7.03	3.98	9.17	1.53	1.6
Hoylesella	0	0	0	0	0	0	4.59	0.917	0.917	0.306	3.06	1.83	1.83	0.612	2.14	1.22	0.612	2.14	1.4
Peptostreptococcus	0	0	0	0	0	0	0	2.75	0.612	1.22	0.917	2.14	1.22	0	0.306	0	0.306	0	1.3
Parvimonas	0	0	0	0	0	0	2.45	23.9	0.306	6.12	2.45	0.612	1.83	0	0	0.917	0	0.306	1.3
Bacteroides	23.5	0.612	0.612	0	21.1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1
Leptotrichia	0	0	0	0	0	0.306	0.917	3.67	0.612	0	3.36	2.45	0.306	0	0	0	0.917	1.22	1.1
Ruminococcus	13.5	0	1.22	0	3.06	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Pseudoleptotrichia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.612	0.917	3.06	0.9
Capnocytophaga	0	0	0	0	0	0	2.14	0.306	0	0	0.306	0.306	1.83	0.306	1.83	0.917	0.917	1.22	0.9
