Phylum	E1	E2	E3	E4	E5	E6	E7	N1	N2	O1	O2	S1	All
Pseudomonadota	48.9	57.6	43.2	9.35	61.9	49.6	47.5	36.7	43.2	64.7	37.4	34.5	46.9
Cyanobacteriota	25.9	5.76	6.47	83.5	2.16	15.8	11.5	10.1	41.7	1.44	2.16	36.7	17.4
Bacteroidota	3.6	23	33.1	2.88	16.5	24.5	10.8	15.8	2.88	7.91	9.35	7.19	13.1
Campylobacterota	0.719	1.44	1.44	0.719	2.88	0.719	4.32	12.9	0.719	7.91	30.2	2.16	4.4
Bacillota	0	3.6	2.88	1.44	4.32	2.88	2.88	5.04	0.719	7.91	9.35	5.04	4.0
Actinomycetota	3.6	2.88	7.91	0.719	3.6	2.16	3.6	1.44	2.88	0.719	0.719	4.32	3.6
Unassigned	0	0	0.719	0	1.44	3.6	0	2.16	3.6	0.719	0.719	1.44	2.0
Patescibacteria	0.719	0	0	0	0	0	2.16	0	0	2.16	2.16	1.44	1.6
Verrucomicrobiota	0	0.719	0.719	0.719	2.88	0	3.6	4.32	0.719	2.16	1.44	0	1.5
Bdellovibrionota	15.1	1.44	0	0	0.719	0	2.88	2.88	1.44	0.719	0	0	1.5
Thermodesulfobacteriota	0.719	1.44	1.44	0	0.719	0	2.16	0.719	0	2.16	0	2.16	1.0
Planctomycetota	0.719	0.719	0.719	0	0.719	0	5.04	2.88	0.719	0.719	0	0.719	0.9
Candidatus Kapabacteria	0	0	0	0	0	0	0	3.6	0	0.719	1.44	0	0.4
Spirochaetota	0	0	0	0	0	0	0	0	0	0	2.88	0.719	0.3
SAR324 cladeMarine group B	0	0	0	0	0.719	0	1.44	0	0	0	0	1.44	0.2
Chloroflexota	0	0.719	0	0	0	0	0	0	0	0	0.719	0.719	0.2
Balneolota	0	0.719	0	0	0	0.719	0	1.44	0	0	0	0	0.2
Acidobacteriota	0	0	0.719	0	0	0	0.719	0	0.719	0	0.719	0	0.2
Sva0485	0	0	0	0	0	0	0.719	0	0	0	0	0.719	0.1
Myxococcota	0	0	0	0.719	0.719	0	0	0	0	0	0	0	0.1
Fermentibacterota	0	0	0.719	0	0.719	0	0	0	0	0	0	0	0.1
Fusobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Cloacimonadota	0	0	0	0	0	0	0	0	0	0	0.719	0	0.1
Deinococcota	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Sumerlaeota	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Rhodothermota	0	0	0	0	0	0	0.719	0	0	0	0	0	0.0
Elusimicrobiota	0	0	0	0	0	0	0	0	0.719	0	0	0	0.0
Entotheonellaeota	0	0	0	0	0	0	0	0	0	0	0	0.719	0.0
Candidatus Eremiobacterota	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Dependentiae	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Latescibacterota	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Margulisbacteria	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Gemmatimonadota	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Ignavibacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0.0
