Species	E1	E2	E3	E4	E5	E6	E7	N1	N2	O1	O2	S1	All
uncultured bacterium	50.4	47.5	58.3	8.63	54.7	41	43.9	58.3	37.4	33.1	49.6	48.9	39.9
Unassigned	7.91	12.2	6.47	3.6	11.5	21.6	18	11.5	16.5	18.7	8.63	15.8	15.1
Chaetoceros calcitrans	0	0	0	79.9	0	0	0.719	0	0	0	0	0	3.8
uncultured organism	2.88	1.44	4.32	0.719	2.16	1.44	2.88	0	1.44	7.19	7.91	1.44	3.7
marine metagenome	0	3.6	0.719	0	0	6.47	0	0	0	5.04	0.719	0	3.0
uncultured marine bacterium	0.719	7.91	4.32	0	5.76	2.16	1.44	4.32	1.44	1.44	0	0	2.6
uncultured Bacteroidetes bacterium	0	4.32	1.44	1.44	3.6	4.32	1.44	0.719	0	2.16	1.44	0	2.0
Picochlorum sp. SENEW3	13.7	0	0	0	0	0	0	0	0	0	0	0	1.0
uncultured gamma proteobacterium	0.719	0	0.719	0	0	1.44	0.719	0	0.719	0.719	0.719	0	0.9
uncultured beta proteobacterium	0	5.04	2.88	0	5.76	0	0.719	6.47	3.6	0	0	0	0.8
metagenome	0	0	0	0	0	0	2.88	3.6	2.16	0	0	2.88	0.8
uncultured Flexibacteraceae bacterium	0	0	0	0.719	1.44	3.6	0	0	0	0	0	0	0.7
uncultured delta proteobacterium	0.719	0	0	0	0.719	0	2.16	0	0	0.719	0	1.44	0.7
Thalassiosira pseudonana	0	0	0.719	0	1.44	0	0	0	0	0	0	6.47	0.7
Lentibacter algarum	0	0	0	0	0	0	0	0	0	2.16	1.44	0	0.6
uncultured Alphaproteobacteria bacterium	0	0	0	0	0	0	0.719	0	1.44	2.88	0	0	0.6
Picochlorum sp. 'soloecismus'	7.91	0	0	0	0	0	0	0	0	0	0	0	0.6
uncultured Rhodobacteraceae bacterium	0	0	0	0	0	0	0	0	0	2.16	2.88	0.719	0.6
Seohaeicola saemankumensis	0.719	1.44	0.719	2.16	0.719	0	0	0	0	0	1.44	0.719	0.5
uncultured Epsilonproteobacteria bacterium	0.719	0.719	0	0	0	0	0.719	2.16	0.719	0.719	1.44	0	0.5
Marivivens donghaensis	0	0	0	0.719	0	0	0	0	0	0	2.88	0	0.5
uncultured Sphingobacteriia bacterium	0	0	0	0	0	2.16	0	0	0	0	0	0	0.4
uncultured gamma proteobacterium CHAB-III-7	0	2.16	0	0	0.719	0	0	0	0	0	0.719	0	0.4
uncultured Flavobacteriales bacterium	0	0	0	0	0	2.16	0	0	0	0	1.44	0	0.4
Roseobacter sp. WM2	0.719	0	0.719	0	0.719	0.719	0	0	0	0	0	0	0.4
Alteromonas macleodii	0	0	0.719	0	0	0.719	0	0	0	0	0	0	0.4
uncultured actinobacterium	0	0	0.719	0	0	0	0	1.44	0.719	0	0	0	0.3
uncultured Alcaligenaceae bacterium	0	0.719	1.44	0	0	0	0	0	0	0	0	0	0.3
uncultured cyanobacterium	3.6	0.719	0	0	0	0	0.719	0	0	0	0	0	0.3
Roseovarius litoreus	0	0	0	0	0	0	0	0	0	1.44	0.719	0	0.3
Roseobacter sp. AI-2	0	0	0	0	0	0	0	0	0	1.44	0	0	0.3
Thiomicrospira sp. ALE3	0	0	0	0	0	1.44	0	0	0	0	0	0	0.3
Rhodobacteraceae bacterium DG1236	0	0	0	0	0	0	0	0	0	2.88	0.719	0	0.3
Yoonia rosea	0	0	0	0	0	0	0	0	0	2.88	0	0	0.3
Rhodobacteraceae bacterium LSUCC0246	0.719	0	0	0	0	1.44	0	0	0	0.719	0	0	0.2
Rheinheimera perlucida	0	2.88	0	0	0	0	0	0	0	0	0	0	0.2
epsilon proteobacterium AN-BI3A	0	0	0	0	0	0	0	0	0	0	2.88	0	0.2
