Genus	E1	E2	E3	E4	E5	E6	E7	N1	N2	O1	O2	S1	All
Incertae_Sedis	67.6	35.3	48.9	86.3	38.1	28.8	42.4	41.7	51.1	28.8	22.3	50.4	42.3
Unassigned	2.16	5.04	1.44	1.44	2.88	5.76	5.04	3.6	6.47	10.1	1.44	5.76	6
Litorivicinus	1.44	12.9	10.8	0.719	13.7	17.3	0	7.91	0	1.44	1.44	0	3.7
Saccharedens	0.719	5.76	2.16	0	0.719	8.63	0	0	2.16	2.16	0.719	1.44	3
Arcobacter	0	0	0.719	0.719	1.44	1.44	2.16	8.63	0	2.88	19.4	0	1.9
Candidatus_Aquiluna	2.16	1.44	4.32	0	1.44	1.44	0	0	0.719	0	0.719	2.16	1.7
Sulfurimonas	0	0	2.16	0.719	0.719	1.44	0.719	3.6	0	4.32	5.76	0	1.7
Lentibacter	0	0	0	0	0	0	0	0	0	4.32	8.63	0	1.6
Roseicyclus	0	0	0	0	0	0.719	0	0	0	5.76	0.719	0	1.4
Roseibacterium	2.16	0	0.719	0.719	1.44	0.719	0.719	0	0	2.16	0	0	1.3
Marivita	1.44	0	0	0	1.44	0.719	0	0	0	6.47	0.719	0	1.1
Yoonia	0	0	0	0	0	0	0	0	0	5.04	0	0	0.9
Polynucleobacter	0	0	0	0	0	0	0.719	1.44	12.2	0	0	2.16	0.8
Thiomicrospira	0	0	0	0	0	2.88	0	0	0	0	0	0	0.8
Hydrogenophaga	0	2.16	0	0.719	0	0.719	1.44	1.44	0	0	0	2.16	0.8
Kerstersia	2.16	2.88	0	0.719	5.04	0	0	0	0	0	0	0	0.8
Glaciecola	0	0	0	0	0	2.88	0	0	0	0	0	0	0.7
Roseivirga	0	0	1.44	0	0.719	1.44	0	0	0	1.44	0.719	0	0.7
Algoriphagus	0	0.719	0.719	0.719	0.719	1.44	0	0.719	0	0	0	0	0.6
Seohaeicola	0.719	2.16	0	0	0.719	0	0	0	0	0	1.44	0	0.6
Roseovarius	0	0	0.719	0	0	1.44	0	0	0	1.44	0.719	0	0.6
Nodularia_PCC_9350	0	0	0	0	0	3.6	0	0	3.6	0	0	0	0.6
Methylotenera	0	2.88	0	0	1.44	0.719	0	0	0	0.719	0	0	0.6
Cyanobium_PCC_6307	2.88	1.44	0	0	0	0	0	1.44	1.44	0	0	0.719	0.5
Alteromonas	0	0.719	0	0	1.44	2.88	0	0	0	1.44	0.719	0	0.5
Marivivens	0	0	0	1.44	0	0	0	0	0	0	2.88	0	0.5
Allochromatium	0	0	0	0	0	0	0	0	0	0.719	2.16	0	0.4
Arsukibacterium	0	4.32	0	0	0	0	0	0	0	0	0	0	0.4
Coxiella	0	0	0	0	0	0.719	0	0	0	0.719	1.44	0	0.4
Candidatus_Limnoluna	0	0.719	0.719	0	0	0	0	0	0.719	0	0	2.16	0.4
Sulfurospirillum	0	0.719	0	0	0	0	0	0	0	0.719	4.32	0	0.4
Limnohabitans	0	0	0	0	0	0	0	0	4.32	0	0	0	0.4
Tropicimonas_Psychromarinibacter	0	0.719	0	0	0.719	0	0	0	0	2.16	0	0	0.4
Izimaplasma	0	0.719	2.16	0	0.719	0.719	0	1.44	0	0	0.719	0	0.3
Thiohalocapsa	0	0	0	0	0	0	0	0	0	0	2.16	0	0.3
OM43_clade	0	0	2.16	0.719	5.76	0	0	7.19	0	0	0	0	0.3
Clostridium	0	0	0	0	0	0	0	0	0	1.44	0.719	2.16	0.3
Pseudidiomarina	0	1.44	0	0	0	0	0	0	0	0	0	0	0.3
Dinghuibacter	0	0	0	0	0	0	0.719	2.88	1.44	0	0	2.16	0.3
