Genus	E1	E2	E3	E4	E5	E6	E7	N1	N2	O1	O2	S1	All
Incertae Sedis	67.6	35.3	48.9	86.3	38.1	28.8	42.4	41.7	51.1	28.8	22.3	50.4	42.3
Unassigned	2.16	5.04	1.44	1.44	2.88	5.76	5.04	3.6	6.47	10.1	1.44	5.76	6.0
Litorivicinus	1.44	12.9	10.8	0.719	13.7	17.3	0	7.91	0	1.44	1.44	0	3.7
Saccharedens	0.719	5.76	2.16	0	0.719	8.63	0	0	2.16	2.16	0.719	1.44	3.0
Arcobacter	0	0	0.719	0.719	1.44	1.44	2.16	8.63	0	2.88	19.4	0	1.9
Candidatus Aquiluna	2.16	1.44	4.32	0	1.44	1.44	0	0	0.719	0	0.719	2.16	1.7
Sulfurimonas	0	0	2.16	0.719	0.719	1.44	0.719	3.6	0	4.32	5.76	0	1.7
Lentibacter	0	0	0	0	0	0	0	0	0	4.32	8.63	0	1.6
Roseicyclus	0	0	0	0	0	0.719	0	0	0	5.76	0.719	0	1.4
Roseibacterium	2.16	0	0.719	0.719	1.44	0.719	0.719	0	0	2.16	0	0	1.3
Marivita	1.44	0	0	0	1.44	0.719	0	0	0	6.47	0.719	0	1.1
Yoonia	0	0	0	0	0	0	0	0	0	5.04	0	0	0.9
Polynucleobacter	0	0	0	0	0	0	0.719	1.44	12.2	0	0	2.16	0.8
Thiomicrospira	0	0	0	0	0	2.88	0	0	0	0	0	0	0.8
Hydrogenophaga	0	2.16	0	0.719	0	0.719	1.44	1.44	0	0	0	2.16	0.8
Kerstersia	2.16	2.88	0	0.719	5.04	0	0	0	0	0	0	0	0.8
Glaciecola	0	0	0	0	0	2.88	0	0	0	0	0	0	0.7
Roseivirga	0	0	1.44	0	0.719	1.44	0	0	0	1.44	0.719	0	0.7
Algoriphagus	0	0.719	0.719	0.719	0.719	1.44	0	0.719	0	0	0	0	0.6
Seohaeicola	0.719	2.16	0	0	0.719	0	0	0	0	0	1.44	0	0.6
Roseovarius	0	0	0.719	0	0	1.44	0	0	0	1.44	0.719	0	0.6
Nodularia PCC-9350	0	0	0	0	0	3.6	0	0	3.6	0	0	0	0.6
Methylotenera	0	2.88	0	0	1.44	0.719	0	0	0	0.719	0	0	0.6
Cyanobium PCC-6307	2.88	1.44	0	0	0	0	0	1.44	1.44	0	0	0.719	0.5
Alteromonas	0	0.719	0	0	1.44	2.88	0	0	0	1.44	0.719	0	0.5
Marivivens	0	0	0	1.44	0	0	0	0	0	0	2.88	0	0.5
Allochromatium	0	0	0	0	0	0	0	0	0	0.719	2.16	0	0.4
Arsukibacterium	0	4.32	0	0	0	0	0	0	0	0	0	0	0.4
Coxiella	0	0	0	0	0	0.719	0	0	0	0.719	1.44	0	0.4
Candidatus Limnoluna	0	0.719	0.719	0	0	0	0	0	0.719	0	0	2.16	0.4
Sulfurospirillum	0	0.719	0	0	0	0	0	0	0	0.719	4.32	0	0.4
Limnohabitans	0	0	0	0	0	0	0	0	4.32	0	0	0	0.4
Tropicimonas-Psychromarinibacter	0	0.719	0	0	0.719	0	0	0	0	2.16	0	0	0.4
Izimaplasma	0	0.719	2.16	0	0.719	0.719	0	1.44	0	0	0.719	0	0.3
Thiohalocapsa	0	0	0	0	0	0	0	0	0	0	2.16	0	0.3
OM43 clade	0	0	2.16	0.719	5.76	0	0	7.19	0	0	0	0	0.3
Clostridium	0	0	0	0	0	0	0	0	0	1.44	0.719	2.16	0.3
Pseudidiomarina	0	1.44	0	0	0	0	0	0	0	0	0	0	0.3
Dinghuibacter	0	0	0	0	0	0	0.719	2.88	1.44	0	0	2.16	0.3
Mesohalobacter	0	0	0	0	0	0	0	0	0	0.719	0	0	0.3
Sulfurovum	0.719	0.719	0	0	0.719	0	1.44	0	0	0	0	0	0.3
Fusibacter	0	0	0	0.719	0	0	0	0.719	0	0	0.719	0	0.3
Nodosilinea PCC-7104	0	0	0	0	0	0	0.719	0	0	0.719	0	0	0.3
Qipengyuania	0	0	0	0	0.719	0	0.719	0	0	2.16	0	0	0.2
Hoeflea	0	0	0	0	0.719	0	1.44	0	0	0	0	0	0.2
Planktothrix NIVA-CYA 15	0	0	0	0	0	0	0.719	0	2.88	0	0	0	0.2
Legionella	0	0	0	0.719	0.719	0	0	0	0	0	0	0	0.2
CL500-29 marine group	0.719	0.719	0	0	0	0	0.719	0	1.44	0	0	0	0.2
NS3a marine group	1.44	5.76	9.35	0	2.16	0	0	0	0	0	0	0	0.2
Polaribacter	0	0	0.719	0	0	0	0	0	0	0	0	0	0.2
Phormidium MBIC10003	0	0	0	0.719	0	0	0	0	0	0	0.719	0	0.2
RS62 marine group	0	0	0.719	0	0	0	0	1.44	0	0	0	0	0.2
Rheinheimera	0	0	0	0	2.88	0	0	0	0	0	0	0	0.2
Thiobacillus	0	0.719	0	0	0	0	1.44	0	0	0	0	2.16	0.2
Pirellula	0	0	0	0	0	0	2.16	0	0	0	0	0	0.2
Natranaerovirga	0	0	0	0	0	0	0	0	0	0.719	1.44	1.44	0.2
Candidatus Nitrosoarchaeum	0	0	0	0	0.719	0	1.44	0	0	0	0	0.719	0.2
Candidatus Megaira	0.719	0	0	0	0	0	0	0.719	0.719	0	0.719	0	0.2
Winogradskyella	0	0	0	0	0	0.719	0	0	0	0	0	0	0.2
Fuscovulum	0	0	0	0	0	0	0	0	0	0	0	2.88	0.2
Limnobacter	0	0	0	0	0	0	0.719	0	0	0	0	0	0.2
Candidatus Competibacter	1.44	0	0	0	0	0	0	0	0	0	0	0	0.2
Aestuariicoccus	1.44	0	0	0	0	0	0.719	0	0	0.719	0.719	0	0.2
Psychroflexus	0	0	0	0	0	0.719	0	0	0	0	0	0	0.2
Flavimaricola	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Halochromatium	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Defluviitaleaceae UCG-011	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Lentimonas	0	0	0	0	0	0.719	0.719	0	0	0	0	0	0.2
Thiomicrorhabdus	0	0	0	0	0	0	0.719	0	0	0	1.44	0	0.2
Salinarimonas	1.44	0	0	0	0	0	3.6	0	0	0	0	0	0.2
Roseibaca	0	0	0	0	0	0	0	0	0	0.719	0	0	0.2
Vicingus	0	0	0.719	0	0.719	3.6	0	0	0	0	0	0	0.2
Verruc-01	0	0	0	0	0.719	0	0	0.719	0	0	0	0	0.2
Tabrizicola	0	0	0	0	0	0	0	0	0	0	0	1.44	0.1
Mesoflavibacter	0	0	0	0	0	0	0	0	0	0	1.44	0	0.1
Synechocystis PCC-6803	2.16	0	0	0	0	0	0	0	0.719	0	0	0	0.1
Aeromonas	0	0	0	0	0.719	0	0	0	0	0	0	0	0.1
Peredibacter	0	0	0	0	0	0	0	0.719	0	0	0	0	0.1
Luteolibacter	0	0	0	0	0	0	0.719	0	0	0	0	1.44	0.1
Owenweeksia	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Erythrobacter	0.719	0	0	0	0	0	0	0	0	0	0	0	0.1
Fluviicola	0	0	0	0.719	0.719	0	0	0	0	0	0	0	0.1
Alcanivorax	0	0	0	0	0	0	0.719	0	0	0	0	0	0.1
Acholeplasma	0	0	0	0	0	0.719	0	0.719	0	0	0.719	0	0.1
Cypionkella	0	0	0	0	0	0	0.719	0	0	0	0	0.719	0.1
Chachezhania	0	0	0.719	0	0	0.719	0	0	0	0.719	0	0	0.1
hgcI clade	0	0	0.719	0	0	0	0	0.719	0	0	0	0	0.1
Pleomorphochaeta	0	0	0	0	0	0	0	0	0	0	2.16	0	0.1
Thiocapsa	0	0.719	0	0	0.719	0	0.719	0	0	0	0	0.719	0.1
Brumimicrobium	0	0	0	0	0	0.719	0	0	0	0	0	0	0.1
Woeseia	0	0	0	0	0.719	0	0	0	0	0	0	0	0.1
Psychroserpens	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Snowella 0TU37S04	0	0	0	0	0	0	0	0	0.719	0	0	0.719	0.1
Filomicrobium	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Sulfuricurvum	0	0	0	0	0	0	0	0.719	0.719	0	0	0.719	0.1
Gaetbulibacter	0	0	0.719	0	0	0	0	0	0	0	0	0	0.1
Lunatibacter	0	0	0	0	0	0	2.16	0	0	0	0	0	0.1
Novosphingobium	0	0	0	0	0	0	0	0.719	0	0	0	2.16	0.1
Lewinella	0	0.719	0	0	0	0	0	0	0	0	0	0	0.1
Marinoscillum	0	0	0	0	0	0	0	0	0	0	0.719	0	0.1
Roseimarinus	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Pseudohongiella	0	0	0	0	0	0.719	0	0	0	0	0	0	0.1
Neptunomonas	0	0	0	0	0	0	0	0	0	0.719	0	0	0.1
Anaerovorax	0	0	0	0	0	0	0	0	0	0.719	0	0.719	0.1
Synechococcus CC9902	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Vibrio	0	0.719	0	0	0.719	0	0	0	0	0	0	0	0.1
Arthrospira PCC-7345	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Candidatus Thiobios	0	0	0	0	0	0	0	0	0	0	0	0	0.1
966-1	0	0	0	0	0	0	0.719	0	0	0	0	0	0.1
SM1A02	0	0	0	0	0	0.719	0	0	0	0	0	0	0.1
Acetivibrio	0	0	0	0	0.719	0	0	0	0	0	0.719	0	0.1
Rhodovulum	0.719	0	0	0	0	0	0	0	0	0	0	0	0.1
Arenimonas	0	0	0	0	0	0	1.44	0	0	0	0	0.719	0.1
NS10 marine group	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Crocinitomix	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Lautropia	0	0	0	0	0	0	1.44	0	0	0	0	0	0.1
Roseibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Altererythrobacter	0	0	0	0	0.719	0	0.719	0	0	0	0.719	0	0.1
JTB255 marine benthic group	0	0	0.719	0	0	0	0.719	0	0	0	0	0	0.1
Marinobacter	0	0	0	0	0	0	0	0	0	0	0	0	0.1
CK06-06-Mud-MAS4B-21	0	0	0	0	0	0	0	1.44	0	0	0	0	0.1
Marichromatium	0.719	0	0	0	0	0	0	0	0	0	0.719	0	0.1
Francisella	0	0	0	0.719	0	0.719	0	0	0	0	0	0	0.1
Pseudomonas	0	0.719	0	0	0	0	0	0	0	0	0	0	0.1
Comamonas	0	0	0	0	0	0	1.44	0	0	0	0	0	0.1
Candidatus Hepatincola	0	0	0	0	0	0	0	0	0	0.719	0	0	0.1
Planococcus	0	0	0	0	0.719	0	0	0	0	0	0	0	0.1
Tangfeifania	0	0	0.719	0	0	0	0	0	0	0	0	0	0.1
Flavobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0.1
