file               format  type  num_seqs     sum_len  min_len  avg_len  max_len
seq/feces1.fastq   FASTQ   DNA     25,986  38,640,830      573    1,487    3,066
seq/feces2.fastq   FASTQ   DNA     23,837  35,376,050      416  1,484.1    3,058
seq/feces3.fastq   FASTQ   DNA     31,720  47,256,431    1,282  1,489.8    2,256
seq/feces4.fastq   FASTQ   DNA     16,281  24,257,207      415  1,489.9    2,163
seq/feces5.fastq   FASTQ   DNA     18,391  27,331,760      440  1,486.1    3,053
seq/feces6.fastq   FASTQ   DNA     14,341  21,427,363      256  1,494.1    3,079
seq/plaque1.fastq  FASTQ   DNA     38,445  57,569,989      316  1,497.5    3,042
seq/plaque2.fastq  FASTQ   DNA     13,252  19,908,310      459  1,502.3    3,046
seq/plaque3.fastq  FASTQ   DNA     31,398  46,963,111      859  1,495.7    3,171
seq/plaque4.fastq  FASTQ   DNA     13,491  20,279,835      323  1,503.2    3,058
seq/plaque5.fastq  FASTQ   DNA     31,488  47,089,041      546  1,495.5    3,037
seq/plaque6.fastq  FASTQ   DNA     12,913  19,355,278      552  1,498.9    3,051
seq/saliva1.fastq  FASTQ   DNA     19,138  28,667,838      486    1,498    3,745
seq/saliva2.fastq  FASTQ   DNA     29,114  43,736,539      705  1,502.3    3,054
seq/saliva3.fastq  FASTQ   DNA     26,367  39,554,227      223  1,500.1    3,033
seq/saliva4.fastq  FASTQ   DNA     28,812  43,229,087      492  1,500.4    3,035
seq/saliva5.fastq  FASTQ   DNA     31,284  47,048,651      124  1,503.9    3,073
seq/saliva6.fastq  FASTQ   DNA     32,420  48,540,392      550  1,497.2    3,080
