Class	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Bacteria|Armatimonadetes|Unassigned	0	1	2	1	0	3	6	5	4	1	2	3	3	1	5	3	2	1
Bacteria|Bacteroidetes|Chitinophagia	18	9	8	10	6	9	61	36	57	48	35	28	44	64	41	45	31	21
Bacteria|Bacteroidetes|Cytophagia	113	77	33	38	51	19	165	95	149	249	118	86	138	132	164	170	79	107
Bacteria|Bacteroidetes|Flavobacteriia	177	215	923	314	581	226	169	762	743	542	240	224	455	534	327	229	453	526
Bacteria|Bacteroidetes|Sphingobacteriia	14	7	8	14	22	3	6	7	13	11	11	12	13	31	10	8	17	18
Bacteria|Bacteroidetes|Unassigned	2	0	1	2	0	1	3	2	4	3	1	1	4	2	1	1	0	2
Bacteria|Campilobacterota|Campylobacteria	7	1	1	1	4	3	11	13	7	10	4	2	2	8	10	5	8	5
Bacteria|Candidatus_Saccharibacteria|Unassigned	0	0	2	2	17	1	0	10	0	2	2	0	0	0	4	1	0	6
Bacteria|Chlamydiae|Chlamydiia	2	1	0	0	1	3	5	2	4	8	1	0	0	1	10	1	0	7
Bacteria|Chloroflexi|Chloroflexia	199	294	82	242	227	128	169	335	192	203	248	214	542	137	243	232	217	242
Bacteria|Chloroflexi|Ktedonobacteria	0	0	1	0	5	4	2	3	1	1	11	1	1	5	5	0	18	0
Bacteria|Chloroflexi|Thermomicrobia	4	5	0	3	1	5	5	2	1	7	1	2	7	2	3	5	3	5
Bacteria|Chloroflexi|Unassigned	6	9	2	3	2	3	5	13	4	5	7	2	5	4	3	5	6	8
Bacteria|Firmicutes|Bacilli	263	219	266	508	113	247	618	339	374	403	260	561	134	130	178	174	118	189
Bacteria|Firmicutes|Clostridia	0	52	4	2	2	1	6	1	10	1	2	8	0	2	0	1	1	22
Bacteria|Firmicutes|Unassigned	1	1	1	3	0	2	1	3	1	3	2	2	0	0	1	0	3	1
Bacteria|Gemmatimonadetes|Gemmatimonadetes	16	21	13	14	7	13	22	21	17	14	17	16	9	15	13	17	12	20
Bacteria|Ignavibacteriae|Ignavibacteria	2	2	0	2	0	5	1	1	0	7	0	0	0	0	1	0	0	3
Bacteria|Nitrospirae|Nitrospira	5	6	3	7	3	6	10	6	9	7	11	15	9	9	9	38	13	19
Bacteria|Planctomycetes|Phycisphaerae	4	5	0	2	0	1	4	1	0	0	2	5	2	1	1	4	1	3
Bacteria|Planctomycetes|Planctomycetacia	3	21	13	3	1	6	53	66	30	16	26	40	22	19	25	16	11	9
Bacteria|Proteobacteria|Alphaproteobacteria	1843	1924	2770	2357	2787	2410	2002	1676	1293	1572	1962	1855	1464	1705	1649	1840	1810	1816
Bacteria|Proteobacteria|Betaproteobacteria	3865	2778	3870	4230	5793	4419	2445	2054	3023	3101	3029	2463	3444	4449	3143	3374	3615	3251
Bacteria|Proteobacteria|Deltaproteobacteria	526	571	396	411	416	689	653	444	402	566	551	575	527	450	606	433	474	527
Bacteria|Proteobacteria|Gammaproteobacteria	857	775	836	846	892	892	1169	984	936	1020	1193	1182	780	900	1095	1036	977	1215
Bacteria|Proteobacteria|Oligoflexia	9	16	38	22	73	28	18	21	15	36	26	8	28	71	16	21	37	11
Bacteria|Proteobacteria|Unassigned	40	50	10	27	40	50	43	31	29	25	18	26	81	29	32	22	42	41
Bacteria|Spirochaetes|Spirochaetia	7	3	12	13	16	10	12	13	14	23	18	10	11	21	15	19	7	24
Bacteria|Unassigned|Unassigned	50	76	68	62	65	59	58	59	62	41	48	51	57	62	64	53	73	50
Bacteria|Verrucomicrobia|Opitutae	1	1	2	2	3	3	3	3	11	9	17	24	15	10	16	9	7	6
Bacteria|Verrucomicrobia|Spartobacteria	3	1	3	0	2	2	13	3	7	1	5	8	4	2	3	8	2	3
Bacteria|Verrucomicrobia|Subdivision3	7	3	5	1	2	5	4	4	7	6	8	4	3	2	8	4	1	4
Bacteria|Verrucomicrobia|Verrucomicrobiae	0	0	3	0	1	1	2	2	7	1	8	7	3	6	1	3	3	1
Bacteria|Acidobacteria|Acidobacteria_Gp10|Unassigned	27	29	19	16	17	21	40	25	40	18	35	36	13	14	69	31	6	23
Bacteria|Acidobacteria|Acidobacteria_Gp17|Unassigned	1	5	3	0	3	5	20	6	3	2	14	11	9	9	11	2	3	5
Bacteria|Acidobacteria|Acidobacteria_Gp3|Unassigned	1	4	1	1	0	1	4	2	5	2	2	0	0	2	3	0	1	1
Bacteria|Acidobacteria|Acidobacteria_Gp6|Unassigned	1	5	0	1	0	0	12	2	5	3	10	11	3	1	6	7	0	2
Bacteria|Acidobacteria|Vicinamibacteria|Vicinamibacterales	1	2	1	0	1	2	14	7	5	3	12	17	12	4	9	3	4	4
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales	45	89	81	63	59	61	137	109	83	90	107	111	89	94	111	67	85	78
Bacteria|Actinobacteria|Actinobacteria|Cryptosporangiales	1	0	1	0	0	5	0	1	0	1	1	4	1	0	0	3	5	1
Bacteria|Actinobacteria|Actinobacteria|Frankiales	4	5	1	5	1	2	5	6	3	6	6	8	6	1	4	3	6	3
Bacteria|Actinobacteria|Actinobacteria|Geodermatophilales	5	28	12	9	4	10	16	25	13	9	11	36	7	5	12	17	22	8
Bacteria|Actinobacteria|Actinobacteria|Glycomycetales	8	19	9	4	5	8	2	3	9	3	2	4	9	5	3	7	8	4
Bacteria|Actinobacteria|Actinobacteria|Kineosporiales	49	116	51	101	23	34	96	66	69	91	77	62	144	142	107	99	118	74
Bacteria|Actinobacteria|Actinobacteria|Micrococcales	154	220	149	160	96	152	169	189	145	149	227	185	157	122	184	176	133	186
Bacteria|Actinobacteria|Actinobacteria|Micromonosporales	561	882	594	531	310	538	567	765	795	558	650	555	659	545	637	556	661	696
Bacteria|Actinobacteria|Actinobacteria|Mycobacteriales	64	75	82	30	25	28	49	46	36	47	38	40	57	24	81	47	38	30
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales	324	535	536	382	361	415	326	470	346	301	437	337	350	329	411	424	424	379
Bacteria|Actinobacteria|Actinobacteria|Pseudonocardiales	638	1366	1165	1180	718	671	686	723	550	687	822	634	1150	777	893	1000	1182	1018
Bacteria|Actinobacteria|Actinobacteria|Sporichthyales	42	51	60	42	20	45	28	33	57	34	39	21	70	43	43	39	82	76
Bacteria|Actinobacteria|Actinobacteria|Streptomycetales	360	364	437	300	163	237	290	414	983	574	375	357	531	463	406	794	575	423
Bacteria|Actinobacteria|Actinobacteria|Streptosporangiales	117	164	54	219	51	91	93	145	62	106	132	77	155	183	104	123	210	124
Bacteria|Actinobacteria|Actinobacteria|Unassigned	36	46	22	16	9	23	33	48	16	35	38	44	34	28	29	35	19	23
Bacteria|Actinobacteria|Rubrobacteria|Rubrobacterales	2	15	6	6	1	6	13	9	4	6	4	15	10	5	7	8	14	6
Bacteria|Actinobacteria|Thermoleophilia|Gaiellales	46	83	52	66	41	68	69	96	56	70	80	87	87	65	77	62	58	64
Bacteria|Actinobacteria|Thermoleophilia|Solirubrobacterales	90	128	67	92	69	121	171	136	90	96	115	167	93	62	84	67	126	91
Bacteria|Actinobacteria|Thermoleophilia|Unassigned	8	2	2	10	4	4	7	15	7	8	9	4	6	1	8	4	4	7
Bacteria|Actinobacteria|Unassigned|Unassigned	18	22	9	9	7	17	23	19	20	27	9	23	19	9	30	20	17	25
Bacteria|Armatimonadetes|Unassigned|Unassigned	0	1	2	1	0	3	6	5	4	1	2	3	3	1	5	3	2	1
Bacteria|Bacteroidetes|Chitinophagia|Chitinophagales	18	9	8	10	6	9	61	36	57	48	35	28	44	64	41	45	31	21
Bacteria|Bacteroidetes|Cytophagia|Cytophagales	113	77	33	38	51	19	165	95	149	249	118	86	138	132	164	170	79	107
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales	177	215	923	314	581	226	169	762	743	542	240	224	455	534	327	229	453	526
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales	14	7	8	14	22	3	6	7	13	11	11	12	13	31	10	8	17	18
Bacteria|Bacteroidetes|Unassigned|Unassigned	2	0	1	2	0	1	3	2	4	3	1	1	4	2	1	1	0	2
Bacteria|Campilobacterota|Campylobacteria|Campylobacterales	7	1	1	1	4	3	11	13	7	10	4	2	2	8	10	5	8	5
Bacteria|Candidatus_Saccharibacteria|Unassigned|Unassigned	0	0	2	2	17	1	0	10	0	2	2	0	0	0	4	1	0	6
Bacteria|Chlamydiae|Chlamydiia|Chlamydiales	2	1	0	0	1	3	5	2	4	8	1	0	0	1	10	1	0	7
Bacteria|Chloroflexi|Chloroflexia|Chloroflexales	114	174	41	100	103	59	90	137	132	90	101	103	143	82	124	101	64	108
Bacteria|Chloroflexi|Chloroflexia|Herpetosiphonales	78	101	38	135	102	63	69	192	57	97	140	101	385	46	115	92	149	130
Bacteria|Chloroflexi|Chloroflexia|Kallotenuales	2	4	0	0	13	1	1	0	0	1	1	1	0	0	0	1	0	1
Bacteria|Chloroflexi|Chloroflexia|Unassigned	5	15	3	7	9	5	9	6	3	15	6	9	14	9	4	38	4	3
Bacteria|Chloroflexi|Ktedonobacteria|Ktedonobacterales	0	0	1	0	5	4	2	3	1	1	11	1	1	5	5	0	18	0
Bacteria|Chloroflexi|Thermomicrobia|Thermomicrobiales	4	5	0	3	1	5	5	2	1	7	1	2	7	2	3	5	3	5
Bacteria|Chloroflexi|Unassigned|Unassigned	6	9	2	3	2	3	5	13	4	5	7	2	5	4	3	5	6	8
Bacteria|Firmicutes|Bacilli|Bacillales	159	167	158	423	71	189	545	286	261	309	189	506	85	64	114	101	65	111
Bacteria|Firmicutes|Bacilli|Lactobacillales	14	7	47	12	7	11	20	5	7	14	16	14	18	18	18	9	10	28
Bacteria|Firmicutes|Bacilli|Unassigned	90	45	61	73	35	47	53	48	106	80	55	41	31	48	46	64	43	50
Bacteria|Firmicutes|Clostridia|Clostridiales	0	52	4	2	2	1	6	1	10	1	2	8	0	2	0	1	1	22
Bacteria|Firmicutes|Unassigned|Unassigned	1	1	1	3	0	2	1	3	1	3	2	2	0	0	1	0	3	1
Bacteria|Gemmatimonadetes|Gemmatimonadetes|Gemmatimonadales	16	21	13	14	7	13	22	21	17	14	17	16	9	15	13	17	12	20
Bacteria|Ignavibacteriae|Ignavibacteria|Ignavibacteriales	2	2	0	2	0	5	1	1	0	7	0	0	0	0	1	0	0	3
Bacteria|Nitrospirae|Nitrospira|Nitrospirales	5	6	3	7	3	6	10	6	9	7	11	15	9	9	9	38	13	19
Bacteria|Planctomycetes|Phycisphaerae|Phycisphaerales	4	5	0	2	0	1	4	1	0	0	2	5	2	1	1	4	1	3
Bacteria|Planctomycetes|Planctomycetacia|Pirellulales	3	21	13	3	1	6	53	66	30	16	26	40	22	19	25	16	11	9
Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales	166	140	161	147	200	184	135	132	72	100	161	127	127	143	107	131	127	154
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales	1326	1377	2002	1725	2030	1740	1432	1209	919	1159	1424	1317	1047	1194	1216	1230	1335	1321
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales	98	120	84	74	40	83	189	114	128	100	115	134	107	91	111	141	63	92
Bacteria|Proteobacteria|Alphaproteobacteria|Sneathiellales	15	14	21	7	12	11	16	12	9	9	16	20	21	21	19	36	20	24
Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales	220	247	458	391	496	360	206	186	142	174	228	220	140	214	167	261	252	201
Bacteria|Proteobacteria|Alphaproteobacteria|Unassigned	18	26	44	13	9	32	24	23	23	30	18	37	22	42	29	41	13	24
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales	3793	2683	3797	4174	5713	4306	2350	1983	2950	3021	2936	2379	3379	4369	3022	3301	3551	3169
Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales	24	14	16	13	9	15	30	11	7	29	27	25	9	12	28	17	13	20
Bacteria|Proteobacteria|Betaproteobacteria|Nitrosomonadales	35	64	49	32	61	76	39	51	45	38	51	38	44	53	78	43	45	47
Bacteria|Proteobacteria|Betaproteobacteria|Rhodocyclales	12	13	4	8	6	17	19	7	15	9	12	15	8	15	13	9	4	8
Bacteria|Proteobacteria|Betaproteobacteria|Unassigned	1	4	4	3	4	5	7	2	6	4	3	6	4	0	2	4	2	7
Bacteria|Proteobacteria|Deltaproteobacteria|Bdellovibrionales	14	17	13	14	27	17	9	11	13	11	13	7	10	18	9	9	4	10
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfobacterales	0	0	2	1	2	1	7	1	1	0	0	1	0	2	1	1	2	0
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfovibrionales	1	1	1	0	4	1	2	2	1	3	2	0	2	1	3	2	2	0
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfuromonadales	60	92	75	72	78	159	119	64	63	112	93	76	149	98	100	88	73	89
Bacteria|Proteobacteria|Deltaproteobacteria|Myxococcales	383	391	265	279	270	431	448	320	284	381	384	416	324	285	416	301	349	342
Bacteria|Proteobacteria|Deltaproteobacteria|Syntrophobacterales	2	0	2	1	0	0	1	2	0	3	1	2	0	1	3	1	1	1
Bacteria|Proteobacteria|Deltaproteobacteria|Unassigned	66	70	38	44	35	80	67	44	40	56	58	73	42	45	74	31	43	85
Bacteria|Proteobacteria|Gammaproteobacteria|Acidiferrobacterales	2	2	1	0	0	0	3	6	1	4	4	2	0	1	5	7	0	2
Bacteria|Proteobacteria|Gammaproteobacteria|Cellvibrionales	13	3	7	6	5	3	12	30	69	42	5	4	34	10	8	5	4	10
Bacteria|Proteobacteria|Gammaproteobacteria|Chromatiales	16	10	23	20	15	10	11	17	13	10	11	21	11	12	11	12	13	25
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales	0	0	1	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|Gammaproteobacteria_incertae_sedis	149	135	145	115	146	125	231	141	138	153	184	199	139	156	234	175	168	230
Bacteria|Proteobacteria|Gammaproteobacteria|Nevskiales	392	394	319	316	164	327	539	350	412	331	462	465	329	405	495	484	377	536
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales	46	33	36	42	186	46	98	245	57	256	150	225	37	37	64	44	126	77
Bacteria|Proteobacteria|Gammaproteobacteria|Unassigned	15	15	15	20	29	15	22	14	15	22	19	11	29	26	17	15	23	21
Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales	224	183	289	327	347	366	179	181	231	202	358	255	201	253	261	294	266	314
Bacteria|Proteobacteria|Oligoflexia|Bacteriovoracales	9	16	38	22	73	28	18	21	15	36	26	8	28	71	16	21	37	11
Bacteria|Proteobacteria|Unassigned|Unassigned	40	50	10	27	40	50	43	31	29	25	18	26	81	29	32	22	42	41
Bacteria|Spirochaetes|Spirochaetia|Spirochaetales	7	3	12	13	16	10	12	13	14	23	18	10	11	21	15	19	7	24
Bacteria|Unassigned|Unassigned|Unassigned	50	76	68	62	65	59	58	59	62	41	48	51	57	62	64	53	73	50
Bacteria|Verrucomicrobia|Opitutae|Opitutales	1	1	2	2	3	3	3	3	11	9	17	24	15	10	16	9	7	6
Bacteria|Verrucomicrobia|Spartobacteria|Unassigned	3	1	3	0	2	2	13	3	7	1	5	8	4	2	3	8	2	3
Bacteria|Verrucomicrobia|Subdivision3|Unassigned	7	3	5	1	2	5	4	4	7	6	8	4	3	2	8	4	1	4
Bacteria|Verrucomicrobia|Verrucomicrobiae|Verrucomicrobiales	0	0	3	0	1	1	2	2	7	1	8	7	3	6	1	3	3	1
Bacteria|Acidobacteria|Acidobacteria_Gp10|Unassigned|Unassigned	27	29	19	16	17	21	40	25	40	18	35	36	13	14	69	31	6	23
Bacteria|Acidobacteria|Acidobacteria_Gp17|Unassigned|Unassigned	1	5	3	0	3	5	20	6	3	2	14	11	9	9	11	2	3	5
Bacteria|Acidobacteria|Acidobacteria_Gp3|Unassigned|Unassigned	1	4	1	1	0	1	4	2	5	2	2	0	0	2	3	0	1	1
Bacteria|Acidobacteria|Acidobacteria_Gp6|Unassigned|Unassigned	1	5	0	1	0	0	12	2	5	3	10	11	3	1	6	7	0	2
Bacteria|Acidobacteria|Vicinamibacteria|Vicinamibacterales|Vicinamibacteraceae	1	2	1	0	1	2	14	7	5	3	12	17	12	4	9	3	4	4
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales|Acidimicrobiaceae	1	3	5	2	0	0	1	5	3	3	2	1	3	1	4	1	1	2
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales|Acidimicrobiales_incertae_sedis	0	1	2	0	1	0	4	4	4	0	7	5	2	0	8	0	3	5
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales|Iamiaceae	24	63	50	41	40	45	83	72	56	60	65	65	60	72	71	42	56	54
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales|Ilumatobacteraceae	16	16	13	12	12	12	37	11	14	18	25	32	16	17	13	16	12	13
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales|Unassigned	4	6	11	8	6	4	12	17	6	9	8	8	8	4	15	8	13	4
Bacteria|Actinobacteria|Actinobacteria|Cryptosporangiales|Cryptosporangiaceae	1	0	1	0	0	5	0	1	0	1	1	4	1	0	0	3	5	1
Bacteria|Actinobacteria|Actinobacteria|Frankiales|Frankiaceae	4	5	1	5	1	2	5	6	3	6	6	8	6	1	4	3	6	3
Bacteria|Actinobacteria|Actinobacteria|Geodermatophilales|Geodermatophilaceae	5	28	12	9	4	10	16	25	13	9	11	36	7	5	12	17	22	8
Bacteria|Actinobacteria|Actinobacteria|Glycomycetales|Glycomycetaceae	8	19	9	4	5	8	2	3	9	3	2	4	9	5	3	7	8	4
Bacteria|Actinobacteria|Actinobacteria|Kineosporiales|Kineosporiaceae	49	116	51	101	23	34	96	66	69	91	77	62	144	142	107	99	118	74
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Cellulomonadaceae	8	1	1	3	0	5	16	5	10	7	7	10	21	3	10	2	6	14
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Intrasporangiaceae	2	9	7	2	2	2	0	2	2	1	0	3	1	2	2	5	0	1
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Microbacteriaceae	98	151	113	118	77	79	108	123	97	105	129	108	93	77	126	118	97	128
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Micrococcaceae	13	17	13	8	5	11	14	38	18	20	31	23	16	10	17	28	15	21
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Promicromonosporaceae	33	42	15	29	12	55	31	21	18	16	60	41	26	30	29	23	15	22
Bacteria|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae	561	882	594	531	310	538	567	765	795	558	650	555	659	545	637	556	661	696
Bacteria|Actinobacteria|Actinobacteria|Mycobacteriales|Mycobacteriaceae	54	62	57	29	15	23	43	34	30	34	26	33	37	20	58	34	34	22
Bacteria|Actinobacteria|Actinobacteria|Mycobacteriales|Nocardiaceae	10	13	25	1	10	5	6	12	6	13	12	7	20	4	23	13	4	8
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Actinopolymorphaceae	21	6	4	4	4	11	18	12	13	21	14	13	13	7	11	24	8	9
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Kribbellaceae	47	121	75	44	38	48	77	72	63	55	82	73	76	111	68	104	141	74
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae	232	375	445	312	308	334	200	357	240	208	324	224	237	191	301	275	259	271
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae	6	3	0	3	0	4	6	2	2	2	0	1	1	2	3	0	0	2
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Unassigned	18	30	12	19	11	18	25	27	28	15	17	26	23	18	28	21	16	23
Bacteria|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae	638	1366	1165	1180	718	671	686	723	550	687	822	634	1150	777	893	1000	1182	1018
Bacteria|Actinobacteria|Actinobacteria|Sporichthyales|Sporichthyaceae	42	51	60	42	20	45	28	33	57	34	39	21	70	43	43	39	82	76
Bacteria|Actinobacteria|Actinobacteria|Streptomycetales|Streptomycetaceae	360	364	437	300	163	237	290	414	983	574	375	357	531	463	406	794	575	423
Bacteria|Actinobacteria|Actinobacteria|Streptosporangiales|Streptosporangiaceae	10	49	27	45	5	16	30	35	18	17	36	7	15	34	26	8	45	39
Bacteria|Actinobacteria|Actinobacteria|Streptosporangiales|Thermomonosporaceae	107	115	27	174	46	75	63	110	44	89	96	70	140	149	78	115	165	85
Bacteria|Actinobacteria|Actinobacteria|Unassigned|Unassigned	36	46	22	16	9	23	33	48	16	35	38	44	34	28	29	35	19	23
Bacteria|Actinobacteria|Rubrobacteria|Rubrobacterales|Rubrobacteraceae	2	15	6	6	1	6	13	9	4	6	4	15	10	5	7	8	14	6
Bacteria|Actinobacteria|Thermoleophilia|Gaiellales|Gaiellaceae	46	83	52	66	41	68	69	96	56	70	80	87	87	65	77	62	58	64
Bacteria|Actinobacteria|Thermoleophilia|Solirubrobacterales|Baekduiaceae	14	32	23	26	17	18	35	56	19	25	23	34	39	18	28	19	28	21
Bacteria|Actinobacteria|Thermoleophilia|Solirubrobacterales|Conexibacteraceae	10	16	4	14	10	23	19	12	12	11	10	13	7	6	8	8	15	21
Bacteria|Actinobacteria|Thermoleophilia|Solirubrobacterales|Parviterribacteraceae	1	8	2	6	4	4	2	2	1	2	2	4	5	0	3	3	4	2
Bacteria|Actinobacteria|Thermoleophilia|Solirubrobacterales|Patulibacteraceae	2	0	1	1	1	0	4	0	0	0	0	0	0	4	0	0	7	2
Bacteria|Actinobacteria|Thermoleophilia|Solirubrobacterales|Solirubrobacteraceae	61	53	29	32	34	72	103	54	49	49	70	103	34	24	38	29	56	35
Bacteria|Actinobacteria|Thermoleophilia|Solirubrobacterales|Unassigned	2	19	8	13	3	4	8	12	9	9	10	13	8	10	7	8	16	10
Bacteria|Actinobacteria|Thermoleophilia|Unassigned|Unassigned	8	2	2	10	4	4	7	15	7	8	9	4	6	1	8	4	4	7
Bacteria|Actinobacteria|Unassigned|Unassigned|Unassigned	18	22	9	9	7	17	23	19	20	27	9	23	19	9	30	20	17	25
Bacteria|Armatimonadetes|Unassigned|Unassigned|Unassigned	0	1	2	1	0	3	6	5	4	1	2	3	3	1	5	3	2	1
Bacteria|Bacteroidetes|Chitinophagia|Chitinophagales|Chitinophagaceae	18	9	8	10	6	9	61	36	57	48	35	28	44	64	41	45	31	21
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Cyclobacteriaceae	8	4	8	6	2	5	11	8	34	15	10	8	16	15	14	12	12	11
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Cytophagaceae	7	8	2	2	1	1	21	17	16	21	12	18	12	16	22	9	10	16
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Fulvivirgaceae	96	65	23	29	48	13	123	62	94	210	93	57	109	98	124	138	52	74
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Unassigned	2	0	0	1	0	0	10	8	5	3	3	3	1	3	4	11	5	6
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Cryomorphaceae	5	5	5	4	4	1	8	8	17	14	10	14	10	25	18	14	15	8
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae	172	207	917	308	576	224	159	742	719	521	224	208	443	509	303	189	435	516
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Weeksellaceae	0	3	1	2	1	1	2	12	7	7	6	2	2	0	6	26	3	2
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Sphingobacteriaceae	14	7	8	14	22	3	6	7	13	11	11	12	13	31	10	8	17	18
Bacteria|Bacteroidetes|Unassigned|Unassigned|Unassigned	2	0	1	2	0	1	3	2	4	3	1	1	4	2	1	1	0	2
Bacteria|Campilobacterota|Campylobacteria|Campylobacterales|Unassigned	7	1	1	1	4	3	11	13	7	10	4	2	2	8	10	5	8	5
Bacteria|Candidatus_Saccharibacteria|Unassigned|Unassigned|Unassigned	0	0	2	2	17	1	0	10	0	2	2	0	0	0	4	1	0	6
Bacteria|Chlamydiae|Chlamydiia|Chlamydiales|Chlamydiaceae	2	1	0	0	1	3	5	2	4	8	1	0	0	1	10	1	0	7
