jaccard	feces1	feces2	feces3	feces4	feces5	feces6	plaque1	plaque2	plaque3	plaque4	plaque5	plaque6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6
feces1	0	0.893	0.831	0.835	0.831	0.935	0.996	0.992	0.997	0.996	0.998	0.995	0.996	0.994	0.992	0.989	0.995	0.991
feces2	0.893	0	0.842	0.914	0.895	0.943	0.999	0.999	0.999	0.999	0.999	0.999	0.999	0.999	0.999	0.999	0.999	0.999
feces3	0.831	0.842	0	0.815	0.836	0.943	0.998	0.993	0.997	0.997	0.999	0.995	0.997	0.997	0.996	0.993	0.999	0.994
feces4	0.835	0.914	0.815	0	0.850	0.904	0.997	0.998	0.998	0.998	0.997	0.998	0.996	0.994	0.990	0.992	0.992	0.996
feces5	0.831	0.895	0.836	0.850	0	0.899	0.996	0.992	0.997	0.996	0.999	0.994	0.995	0.996	0.994	0.991	0.997	0.992
feces6	0.935	0.943	0.943	0.904	0.899	0	0.996	0.998	0.998	0.997	0.998	0.997	0.995	0.996	0.995	0.994	0.994	0.996
plaque1	0.996	0.999	0.998	0.997	0.996	0.996	0	0.760	0.915	0.850	0.871	0.805	0.874	0.840	0.853	0.807	0.910	0.747
plaque2	0.992	0.999	0.993	0.998	0.992	0.998	0.760	0	0.873	0.860	0.745	0.744	0.858	0.862	0.806	0.805	0.969	0.720
plaque3	0.997	0.999	0.997	0.998	0.997	0.998	0.915	0.873	0	0.881	0.880	0.870	0.721	0.869	0.892	0.865	0.962	0.889
plaque4	0.996	0.999	0.997	0.998	0.996	0.997	0.850	0.860	0.881	0	0.812	0.868	0.883	0.659	0.899	0.867	0.962	0.897
plaque5	0.998	0.999	0.999	0.997	0.999	0.998	0.871	0.745	0.880	0.812	0	0.779	0.895	0.839	0.759	0.876	0.987	0.810
plaque6	0.995	0.999	0.995	0.998	0.994	0.997	0.805	0.744	0.870	0.868	0.779	0	0.846	0.797	0.825	0.641	0.933	0.754
saliva1	0.996	0.999	0.997	0.996	0.995	0.995	0.874	0.858	0.721	0.883	0.895	0.846	0	0.779	0.780	0.746	0.839	0.786
saliva2	0.994	0.999	0.997	0.994	0.996	0.996	0.840	0.862	0.869	0.659	0.839	0.797	0.779	0	0.810	0.727	0.871	0.790
saliva3	0.992	0.999	0.996	0.990	0.994	0.995	0.853	0.806	0.892	0.899	0.759	0.825	0.780	0.810	0	0.738	0.836	0.759
saliva4	0.989	0.999	0.993	0.992	0.991	0.994	0.807	0.805	0.865	0.867	0.876	0.641	0.746	0.727	0.738	0	0.805	0.720
saliva5	0.995	0.999	0.999	0.992	0.997	0.994	0.910	0.969	0.962	0.962	0.987	0.933	0.839	0.871	0.836	0.805	0	0.882
saliva6	0.991	0.999	0.994	0.996	0.992	0.996	0.747	0.720	0.889	0.897	0.810	0.754	0.786	0.790	0.759	0.720	0.882	0
