Pathway	feces1	feces2	feces3	feces4	feces5	feces6	plaque1	plaque2	plaque3	plaque4	plaque5	plaque6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6
 aspartate and glutamate metabolism [PATH:ko00250]	21914.840000000004	12061.700000000003	28476.459999999995	13769.100000000002	18330.29	5482.700000000002	36584.21000000001	9695.16	16930.930000000004	10191.06	25047.370000000003	7640.560000000001	17459.399999999998	20066.670000000002	21779.390000000003	27251.09	20476.250000000007	24760.36
 diarylheptanoid and gingerol biosynthesis [PATH:ko00945]	0.0	0.0	0.0	0.0	0.0	0.0	100.91	12.91	92.08	55.41	31.24	5.16	67.08	39.33	67.83	147.82999999999996	64.5	159.07999999999996
 kanamycin and gentamicin biosynthesis [PATH:ko00524]	1171.54	718.16	1575.2500000000002	858.3000000000002	924.22	339.8	2225.04	565.24	1120.35	733.66	1594.92	470.06	1010.81	1184.7599999999998	1300.32	1488.32	1162.0	1368.94
 leucine and isoleucine biosynthesis [PATH:ko00290]	9438.35	5790.899999999999	13110.17	7040.800000000001	8531.140000000001	3041.1500000000005	15620.769999999999	2684.7599999999998	5635.5599999999995	2985.88	9192.650000000001	2940.3799999999997	6831.710000000002	9940.15	9472.139999999998	14299.529999999999	11832.119999999999	12253.849999999999
 leucine and isoleucine degradation [PATH:ko00280]	4301.050000000001	1711.1899999999998	4028.4500000000007	2861.3	3109.28	877.9499999999999	10753.880000000001	2293.64	5590.84	2106.62	7647.96	2063.45	4970.01	5930.78	5631.759999999999	7575.529999999999	6322.320000000001	6399.149999999998
 piperidine and pyridine alkaloid biosynthesis [PATH:ko00960]	2009.92	909.0	2899.41	1246.4	1613.88	472.6	4721.61	776.9000000000001	1754.8600000000004	914.9900000000001	2735.6500000000005	881.55	1849.8700000000006	1413.48	1982.1799999999996	2422.6000000000004	1722.4699999999996	2634.480000000001
 secretion and action [PATH:ko04928]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	6.0	0.0
 serine and threonine metabolism [PATH:ko00260]	19568.399999999998	11269.779999999999	28222.109999999993	13599.499999999996	16796.160000000003	5867.300000000002	41281.350000000006	10807.66	20380.089999999997	10956.15	28997.77000000001	8583.999999999998	19452.83	23975.469999999994	24974.929999999997	31465.439999999988	24334.399999999994	28626.09999999999
 tyrosine and tryptophan biosynthesis [PATH:ko00400]	17111.250000000004	9274.309999999998	25332.72	10885.2	13338.320000000003	5016.6500000000015	33167.64	7671.6799999999985	12235.070000000002	8026.59	20107.260000000002	6573.549999999998	14991.289999999999	19939.420000000002	20439.32	27195.92	21571.88	24705.399999999998
ABC transporters [PATH:ko02010]	34618.0	26178.289999999997	64647.92999999995	33217.59999999999	39016.75999999998	17464.499999999978	85330.84000000008	27063.630000000012	42339.44000000001	24990.07	54297.92000000003	17960.450000000008	43718.67	62930.269999999975	60345.61999999997	86780.95999999999	74247.49000000006	70199.17000000003
AMPK signaling pathway [PATH:ko04152]	2525.66	1527.66	3379.89	1589.3	1938.24	784.9	3679.2799999999993	691.4999999999999	1187.94	725.33	1903.65	628.6400000000001	1413.6599999999999	1764.71	1713.59	2347.79	1771.2600000000002	1982.6699999999994
Acarbose and validamycin biosynthesis [PATH:ko00525]	1829.6599999999999	1091.1	2493.919999999999	1385.1000000000004	1581.1700000000005	495.1	3681.7700000000004	905.31	1742.46	1136.01	2573.92	770.8	1705.3899999999999	1948.0700000000002	2127.2300000000005	2361.38	1687.76	2437.6799999999994
Adipocytokine signaling pathway [PATH:ko04920]	1830.32	726.32	1555.62	804.4	1312.6699999999998	170.0	3895.17	590.85	1988.68	973.48	2715.4600000000005	787.5600000000001	1808.5599999999995	1769.9	1933.0799999999992	2172.040000000001	1173.3	2257.39
African trypanosomiasis [PATH:ko05143]	0.25	25.25	4.75	33.5	95.5	8.75	190.42	13.17	65.75	14.0	69.5	45.58	145.5	119.67	114.33	99.17	96.33	144.49
Alanine	21914.840000000004	12061.700000000003	28476.459999999995	13769.100000000002	18330.29	5482.700000000002	36584.21000000001	9695.16	16930.930000000004	10191.06	25047.370000000003	7640.560000000001	17459.399999999998	20066.670000000002	21779.390000000003	27251.09	20476.250000000007	24760.36
Alzheimer disease [PATH:ko05010]	1010.01	564.2399999999999	1495.67	694.8000000000002	800.71	270.05	2982.0999999999995	752.1699999999997	1353.7700000000002	699.49	2030.1499999999994	586.59	1599.9599999999998	1995.7699999999998	2172.8600000000006	2538.6099999999988	1890.3599999999997	1980.559999999999
Amino acid metabolism	951.01	913.0099999999999	1895.0399999999995	1070.6000000000001	1232.88	481.25	3161.2499999999995	954.1099999999999	1936.9300000000003	1161.7599999999998	2266.4900000000002	734.84	1688.7399999999996	2186.7999999999993	2188.24	4011.4299999999994	3505.9500000000003	3120.66
Amino acid related enzymes [BR:ko01007]	29444.619999999995	16787.419999999995	42080.82999999996	20577.199999999993	24574.78	8205.700000000004	66122.22	17467.02	31877.509999999987	18101.719999999998	45379.250000000015	13209.480000000005	32020.619999999988	38034.769999999975	39658.53	51741.11000000001	38792.38000000003	45045.79000000001
Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	27212.169999999995	14780.819999999994	32721.509999999987	17205.899999999994	23892.410000000003	6311.150000000002	49367.31999999999	15240.46	23113.090000000004	15878.02	33317.87	10340.5	24337.519999999993	36840.29999999998	35746.19999999999	46112.75999999998	36486.740000000005	38157.55999999999
Aminoacyl-tRNA biosynthesis [PATH:ko00970]	21588.859999999993	13511.309999999996	33975.09999999998	16583.599999999995	19228.369999999988	6783.000000000003	54804.46999999998	15583.92	27569.07999999999	15748.829999999998	37982.95000000002	11198.419999999996	26976.169999999995	33407.75	34097.58	44162.28000000002	34278.890000000014	38910.16
Aminobenzoate degradation [PATH:ko00627]	378.5	151.20999999999998	755.68	307.0	287.51000000000005	264.5	2429.11	731.6400000000001	1650.8200000000002	771.91	1871.4299999999998	486.93	1482.8699999999997	1847.7899999999995	1827.0800000000002	2270.9800000000005	1955.8700000000003	1485.98
Amoebiasis [PATH:ko05146]	615.76	438.82	638.0099999999998	373.0	474.59000000000003	172.3	438.18	332.83	171.01999999999998	165.24999999999997	222.68	189.51	313.15999999999997	952.0300000000002	945.6900000000003	1071.19	1034.9	739.8
Amyotrophic lateral sclerosis [PATH:ko05014]	381.5	286.94	697.1200000000001	199.6	155.04	97.3	2357.2	527.0	1053.36	737.6700000000002	1339.15	382.57	1135.71	1773.17	1959.01	2314.77	1440.8400000000001	1749.2699999999993
Antifolate resistance [PATH:ko01523]	4503.8099999999995	2385.3999999999996	6137.429999999999	2606.5	3664.7999999999997	1129.75	9962.03	2725.67	4370.2	2731.41	6574.530000000001	2053.1800000000003	4599.0199999999995	6519.049999999998	6710.239999999999	8517.17	6417.920000000002	7621.679999999998
Antigen processing and presentation [PATH:ko04612]	908.76	528.0899999999998	1368.08	643.3000000000002	689.7900000000002	240.3	1703.61	305.49	887.58	468.91	1241.2400000000002	308.83	789.5800000000003	461.08	598.8299999999998	713.8299999999998	307.75	750.8299999999998
Antimicrobial resistance genes [BR:ko01504]	7455.290000000001	2695.7900000000004	5164.63	3551.4000000000005	5341.3	1031.55	7135.29	4040.51	2998.7	2872.959999999999	4278.5199999999995	1450.3300000000002	3946.3499999999995	7138.030000000001	6749.99	8551.439999999999	7423.309999999999	5979.72
Apoptosis - fly [PATH:ko04214]	470.26	141.28999999999996	549.55	360.5	350.46	139.5	2129.72	545.4200000000002	1116.12	481.33	1546.5700000000004	398.19	999.3099999999997	729.1	782.3699999999999	1138.3100000000004	692.5699999999998	1233.6199999999994
Apoptosis - multiple species [PATH:ko04215]	0.0	0.0	0.0	8.0	1.0	0.0	37.5	2.0	40.0	6.0	34.0	1.0	65.5	1.0	12.5	30.0	39.0	15.5
Apoptosis [PATH:ko04210]	377.4	146.29	654.1100000000001	141.60000000000002	189.13	0.0	1117.4	304.0	448.25	506.0	664.0	222.17	402.0	892.0	982.5	1047.0	354.0	936.0
Arabinogalactan biosynthesis - Mycobacterium [PATH:ko00572]	259.75	73.15	215.09	247.0	302.91999999999996	31.75	1024.3999999999999	269.01	414.79	214.09	568.67	265.03	462.65	497.11	423.70999999999987	608.2399999999998	746.4800000000001	719.28
Arachidonic acid metabolism [PATH:ko00590]	360.12	253.19	683.1200000000001	125.6	105.21	82.5	1783.29	455.67	708.6099999999999	683.6700000000002	946.6500000000002	321.89	790.57	1144.1899999999998	1464.06	1530.8500000000001	1045.13	1586.4699999999993
Arginine and proline metabolism [PATH:ko00330]	7257.210000000001	4013.089999999999	9400.509999999997	5154.500000000001	5997.58	1891.75	15048.059999999998	3236.2700000000004	7261.699999999999	3198.4099999999994	10398.8	3023.27	7418.879999999998	8882.600000000002	9329.069999999998	11934.04	9120.930000000002	9277.84
Arginine biosynthesis [PATH:ko00220]	11523.900000000001	5562.75	14481.78	6852.800000000001	8830.4	3051.6000000000004	17915.399999999998	3868.069999999999	7248.759999999999	3457.420000000001	11013.43	3536.66	7972.669999999999	6871.53	8014.619999999999	10365.250000000005	8662.3	10120.199999999999
Arrhythmogenic right ventricular cardiomyopathy [PATH:ko05412]	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	2.0	5.0	10.0	4.0	6.0	3.0	2.0
Ascorbate and aldarate metabolism [PATH:ko00053]	1507.21	824.52	1581.6499999999999	926.9	1031.22	383.85	2924.18	1599.0800000000002	1279.1499999999999	1240.5	2060.74	627.87	1442.52	1634.69	2131.45	2269.02	2377.49	2911.3399999999997
Atrazine degradation [PATH:ko00791]	3.0	35.01	44.18	165.0	18.509999999999998	3.0	8.0	0.5	2.5	0.5	7.5	9.0	25.5	2.0100000000000002	7.5	6.0	66.0	24.509999999999998
Autophagy - yeast [PATH:ko04138]	57.75	225.75	292.75	238.0	379.0	113.55	212.25	116.01	173.57999999999996	40.84	170.49	68.24	120.16	116.67	103.49	89.33	92.83	137.32000000000002
Axon regeneration [PATH:ko04361]	365.64	254.14	294.2100000000001	298.5	417.96	69.0	682.7399999999999	192.09	203.58	83.34	412.24	128.11	324.52	194.03	255.95999999999995	320.18	179.16	282.17999999999995
Bacterial chemotaxis [PATH:ko02030]	6563.12	2021.06	12392.96	3560.3	3279.16	3826.1	22349.82	1584.5	9492.41	2496.0699999999997	12341.050000000001	3055.74	7462.59	1102.3100000000002	1823.18	2312.39	2215.65	3123.7999999999997
Bacterial invasion of epithelial cells [PATH:ko05100]	0.0	0.97	0.17	0.0	1.42	0.0	94.38	92.34	228.98000000000002	76.34	280.18999999999994	70.06	133.76	378.45	326.14	526.3299999999999	392.59000000000003	251.35000000000002
Bacterial motility proteins [BR:ko02035]	15370.86	4956.42	29488.409999999993	8977.3	7852.15	8406.7	58687.26	4071.51	23533.210000000003	5773.869999999999	32300.300000000003	7670.089999999998	19941.65999999998	5037.06	7741.9299999999985	7788.98	7589.059999999996	8792.370000000004
Bacterial secretion system [PATH:ko03070]	12404.36	7612.58	16211.439999999999	9201.0	10025.810000000001	3026.2	30219.390000000003	7582.07	13480.320000000005	7433.29	19718.489999999998	5655.1399999999985	13974.9	16369.179999999998	16803.390000000003	22769.600000000002	17312.430000000015	19285.019999999986
Bacterial toxins [BR:ko02042]	1839.78	883.19	1919.1000000000001	1036.3	1547.0500000000002	500.1	2952.0099999999998	1183.66	1256.6399999999999	1088.0900000000001	1728.99	630.02	1341.8300000000002	2772.7400000000002	2857.58	3463.0299999999997	2648.1800000000003	2860.32
Basal transcription factors [PATH:ko03022]	0.5	0.0	0.0	0.0	0.0	0.0	99.0	1.0	51.5	7.0	54.0	12.5	66.5	0.5	2.5	0.5	6.5	2.5
Base excision repair [PATH:ko03410]	7382.880000000001	4352.959999999999	11290.24	5826.900000000001	6363.7300000000005	2453.4	18214.449999999997	5466.53	8562.220000000001	5381.219999999999	12158.55	3717.28	8865.76	13149.72	12979.859999999999	16595.28	12753.75	14183.729999999998
Benzoate degradation [PATH:ko00362]	2120.79	1006.25	2941.9400000000005	1508.8	1551.71	453.25	4130.1900000000005	1149.98	2266.5400000000004	982.1399999999999	2559.14	748.8199999999999	1961.2	1981.1799999999998	2104.62	3256.08	3362.0999999999995	2900.62
Betalain biosynthesis [PATH:ko00965]	0.0	3.0	4.0	0.0	1.0	0.0	53.66	23.0	15.0	24.0	21.0	6.2	46.44000000000001	139.77999999999997	87.05000000000003	278.02	176.91	141.60000000000005
Bile secretion [PATH:ko04976]	0.0	0.0	0.0	0.0	0.0	0.0	11.0	1.0	0.0	0.0	1.0	1.0	5.0	3.0	1.0	0.0	0.0	3.0
Biofilm formation - Escherichia coli [PATH:ko02026]	5764.93	3276.74	9156.77	3684.2000000000003	4684.27	1958.75	12252.41	2997.9399999999996	5942.05	3579.9500000000003	8141.86	2407.68	5540.23	7039.440000000002	6803.730000000001	9375.21	6537.6	7028.460000000001
