ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	feces1	feces2	feces3	feces4	feces5	feces6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6
 sorting and degradation	0.03	13.83	0.0649350649350649	0.0964749536178107	NotSig	1.426	1.397	1.456	1.446	1.425	1.422	1.388	1.422	1.443	1.396	1.363	1.386	1.383	1.411
Aging	-0.64	11.867	0.00216450216450216	0.00535971964543393	Depleted	0.211	0.329	0.209	0.195	0.22	0.219	0.216	0.207	0.314	0.374	0.329	0.343	0.318	0.296
Amino acid metabolism	0.212	16.013	0.00216450216450216	0.00535971964543393	Enriched	6.474	5.59	6.611	6.369	6.367	6.541	6.57	6.387	5.701	5.381	5.56	5.521	5.651	5.725
Biosynthesis of other secondary metabolites	0.252	13.896	0.00216450216450216	0.00535971964543393	Enriched	1.466	1.232	1.525	1.468	1.459	1.454	1.48	1.412	1.278	1.181	1.266	1.221	1.177	1.267
Cancer: overview	0.061	12.34	0.393939393939394	0.418058132343847	NotSig	0.475	0.456	0.498	0.492	0.439	0.463	0.519	0.443	0.422	0.491	0.46	0.45	0.464	0.449
Cancer: specific types	-0.088	9.292	1	1	NotSig	0.042	0.045	0.041	0.043	0.047	0.044	0.04	0.038	0.063	0.038	0.044	0.043	0.038	0.045
Carbohydrate metabolism	0.047	16.533	0.17965367965368	0.212317985045258	NotSig	9.005	8.717	9.483	8.951	8.659	8.775	9.311	8.852	8.281	8.924	8.843	8.642	8.879	8.731
Cardiovascular disease	0.587	10.752	0.00216450216450216	0.00535971964543393	Enriched	0.162	0.108	0.168	0.166	0.155	0.173	0.158	0.154	0.124	0.097	0.102	0.102	0.106	0.117
Cell growth and death	-0.073	13.04	0.132034632034632	0.176046176046176	NotSig	0.753	0.792	0.747	0.784	0.792	0.758	0.772	0.664	0.842	0.787	0.802	0.781	0.722	0.816
Cell motility	1.171	13.676	0.025974025974026	0.045021645021645	Enriched	0.731	0.325	0.73	0.374	0.988	0.572	0.413	1.309	0.864	0.156	0.227	0.189	0.223	0.289
Cellular community - eukaryotes	-10.718	1.781	0.00277843011009903	0.00601993190521457	Depleted	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cellular community - prokaryotes	-0.037	14.349	0.17965367965368	0.212317985045258	NotSig	1.843	1.891	1.718	1.763	1.855	1.851	1.785	2.087	1.853	1.858	1.795	1.925	2.018	1.894
Circulatory system	-16.838	7.396	0.00277843011009903	0.00601993190521457	Depleted	0	0.012	0	0	0	0	0	0	0.013	0.013	0.017	0.014	0.009	0.005
Development and regeneration	0.906	7.792	0.00865800865800866	0.0173160173160173	Enriched	0.016	0.009	0.016	0.02	0.009	0.019	0.022	0.011	0.014	0.007	0.009	0.008	0.006	0.008
Digestive system	-0.918	10.858	0.00216450216450216	0.00535971964543393	Depleted	0.091	0.172	0.109	0.098	0.114	0.089	0.077	0.058	0.143	0.182	0.186	0.179	0.168	0.171
Drug resistance: antimicrobial	-0.141	13.354	0.0649350649350649	0.0964749536178107	NotSig	0.912	1.006	0.99	0.896	0.825	0.966	0.975	0.822	0.916	1.04	1.04	1.047	1.031	0.961
Drug resistance: antineoplastic	-0.319	11.402	0.00216450216450216	0.00535971964543393	Depleted	0.212	0.265	0.222	0.214	0.217	0.202	0.219	0.2	0.243	0.269	0.269	0.267	0.269	0.271
