Genus	feces1	feces2	feces3	feces4	feces5	feces6	plaque1	plaque2	plaque3	plaque4	plaque5	plaque6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6	All
Incertae Sedis	18.9	22.9	19.7	7.7	27	4.44	8.07	5.25	0.34	3.86	2.96	4.01	1.39	1.66	1.15	3.38	5.26	1.64	10.7
Catenibacterium	0	2.21	1.36	0	0	22.8	0	0	0	0	0	0	0	0	0	0	0	0	4.7
Fusobacterium	0	0	0	0	0	0	3.69	9.92	12	5.08	11.6	17.7	13.1	16.4	10.9	17.3	4.15	13.9	4.5
Treponema	0	0	0	0	0	0	5.76	6.17	1.91	0.94	4.84	4.91	6.18	3.21	7.04	3.72	0.31	7.2	3.8
Prevotella	0	0.01	0	0	0	0	7.48	9.72	7.96	2.22	1.93	2.62	1.33	3.22	9.37	3.49	7.66	2.87	3.6
Selenomonas	0	0	0	0	0	0	3.03	5.94	2.06	7.66	1.22	0.67	1.23	1.97	1.29	2.07	0.24	3.37	3.4
Bacteroides	5.36	4.32	1	0.54	4.7	0.16	0	0	0	0.01	0	0	0	0	0	0	0	0	2.9
Segatella	0	6.91	17.7	0	0	0	2.19	2.67	11.1	1.46	0.2	0.3	4.15	0.93	1.08	0.33	0.61	1.55	2.7
Porphyromonas	0	0	0	0	0	0	8.76	10.9	6.34	5.53	11.8	15.4	6.43	10.9	10.6	5.72	11.5	13.4	2.4
Streptococcus	1.01	0.15	0.11	2.73	0.33	5.6	4.47	0.94	17.5	10.2	1.25	4.35	17.8	12.3	14.4	14.1	20.3	8.97	2.4
Hoylesella	0	0	0	0	0	0	1.74	3.05	1.09	0.96	0.54	1.97	1.95	1.78	0.7	0.56	1.47	2.01	2.0
Fretibacterium	0	0	0	0	0	0	4.38	4.8	0.09	10.4	10.3	6.34	0.16	3.22	1.57	1.2	0.03	1.99	2.0
Leptotrichia	0	0	0	0	0	0	8.12	4.93	2.98	1.13	0	3.41	1.15	1.03	1.25	2.02	0.98	0.99	2.0
Neisseria	0	0	0.01	0	0	0	0.31	0	0.18	0.73	0.02	0.47	3.53	3.54	1.36	1.83	17.1	3.96	1.6
Roseburia	1.93	2.01	1.3	2.9	1.18	2.23	2.03	0.51	0	0	0	0	0	0	0	0	0.01	0.56	1.5
Capnocytophaga	0	0	0.01	0	0	0	0.38	0.29	0.18	0.42	0.01	1.22	5.79	2.04	1.32	4.61	2.26	1.46	1.5
Christensenellaceae R-7 group	0.91	6.93	0.73	0	2.83	0.05	0	0	0	0	0	0	0	0	0	0	0	0	1.3
Veillonella	0	0	0	0.06	0.02	0	0.52	0.92	2.01	0.19	0.03	1.33	2.5	1.77	4.69	3.46	4.88	0.9	1.3
Faecalibacterium	13.8	4.62	19.7	28.3	6.79	0.18	0	0	0	0	0	0	0	0	0	0	0	0	1.3
Catonella	0	0	0	0	0	0	2.4	1.13	1.48	0.03	0.19	2.13	0.67	0	0.32	0.79	0.13	0.67	1.2
Blautia	7.34	0.34	0.8	5.13	2.57	0.86	0	0	0	0	0	0	0	0	0	0	0	0	1.1
UCG-002	2.96	5.88	5.23	0.28	1.68	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1
Gemella	0.02	0	0.01	0.05	0.02	0.22	1	0.02	0.86	1.21	0.2	0.65	3.04	2.13	2.81	3.31	3.68	1.68	1.1
Lachnospiraceae NK4A136 group	1.66	2.33	3.07	1.14	0.9	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0.9
Ruminococcus	13.2	1.02	2.94	2.69	1.94	1.84	0.01	0	0	0	0	0	0	0	0.01	0	0	0	0.9
Parvimonas	0	0	0	0	0	0	2.05	2.74	6.65	10.5	7.95	1.33	3.44	7.2	2.55	2.04	0.87	0.73	0.9
Alistipes	1.41	0.57	0.05	0	0.38	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0.8
Alloprevotella	0	0	0	0	0	0	0.84	1.9	2.22	0.21	0.02	2.16	0.1	0.44	0.11	0.5	0.84	0.42	0.8
Peptococcus	0	0	0	0.01	0	0	3.01	1.1	2.47	0.99	1.67	0.52	0.1	0.07	0.11	0.02	0	0.05	0.8
Mediterraneibacter	1.92	2.37	0.82	5.55	2.32	2.81	0	0	0	0	0	0	0	0	0	0	0	0	0.7
Phascolarctobacterium	0.73	4.83	0.06	0.87	0	0.02	0.01	0	0	0	0	0	0	0	0	0	0	0	0.7
Johnsonella	0	0	0	0	0	0	1.67	0.15	0.15	0.5	0	0.8	0.09	0.07	0.08	0.22	0.21	0.7	0.7
Tannerella	0	0	0	0	0	0	2.37	2.27	0.81	2.22	3.89	4.85	1.25	5.5	2.46	2.91	0.15	3.28	0.7
Family XIII AD3011 group	0.1	0.03	0.06	0.01	0.2	0.56	0	0	0	0	0	0	0	0	0	0	0	0	0.7
Coprococcus	0.5	0.21	3.61	2.03	0.01	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0.6
Oribacterium	0.01	0	0	0	0	0	0.16	1.14	3.74	0.72	0.01	0.38	0.82	1.09	0.71	0.83	0.58	0.24	0.6
Campylobacter	0	0	0	0	0	0	0.5	1.76	0.84	0.26	0.92	1.66	1.24	0.86	1.33	2.56	0.22	3.04	0.6
Lachnoanaerobaculum	0	0	0	0	0	0	1.15	0.77	0.24	0.23	1.87	0.39	0.08	0.14	0.52	0.29	0.54	0.22	0.5
UCG-005	0.68	1.33	0.85	0.03	0.26	0.06	0	0.01	0	0	0	0	0	0	0	0	0	0	0.5
