OTU ID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6	KEGG_Pathways
1,1,1-Trichloro-2,2-bis(4-chlorophenyl)ethane (DDT) degradation	3072.0	1870.0	2544.0	2830.0	4089.0	2513.0	2218.0	2017.0	2657.0	2936.0	2671.0	2007.0	3329.0	4698.0	3059.0	3224.0	3422.0	2885.0	Metabolism; Xenobiotics Biodegradation and Metabolism; 1,1,1-Trichloro-2,2-bis(4-chlorophenyl)ethane (DDT) degradation
ABC transporters	1924115.0	1941504.0	2189154.0	2137816.0	2426601.0	2175666.0	1789796.0	1745023.0	1804733.0	1773823.0	1930728.0	1793298.0	2033781.0	2253566.0	2028325.0	2075746.0	2248702.0	2024014.0	Environmental Information Processing; Membrane Transport; ABC transporters
Adherens junction	109.0	102.0	51.0	69.0	64.0	80.0	166.0	103.0	112.0	95.0	125.0	135.0	122.0	91.0	133.0	89.0	95.0	122.0	Cellular Processes; Cell Communication; Adherens junction
Adipocytokine signaling pathway	58482.0	63876.0	68028.0	65352.0	68406.0	65154.0	54697.0	55697.0	57932.0	54995.0	59478.0	54929.0	64893.0	68464.0	64288.0	65263.0	69007.0	63777.0	Organismal Systems; Endocrine System; Adipocytokine signaling pathway
African trypanosomiasis	10454.0	9338.0	11824.0	11346.0	13718.0	11772.0	8587.0	9037.0	9548.0	9488.0	9685.0	8458.0	10399.0	12361.0	10336.0	10340.0	10988.0	10480.0	Human Diseases; Infectious Diseases; African trypanosomiasis
Alanine, aspartate and glutamate metabolism	420596.0	425569.0	483668.0	460339.0	510902.0	469679.0	405319.0	399773.0	417127.0	400101.0	432916.0	405978.0	458821.0	507266.0	465852.0	465249.0	495425.0	458696.0	Metabolism; Amino Acid Metabolism; Alanine, aspartate and glutamate metabolism
Aldosterone-regulated sodium reabsorption	88.0	226.0	152.0	99.0	102.0	129.0	46.0	64.0	44.0	89.0	86.0	57.0	114.0	142.0	71.0	171.0	432.0	73.0	Organismal Systems; Excretory System; Aldosterone-regulated sodium reabsorption
Alzheimer's disease	57251.0	47926.0	63692.0	60862.0	75813.0	63033.0	48208.0	45669.0	50753.0	51132.0	53864.0	47829.0	55496.0	67772.0	56630.0	58364.0	61235.0	57499.0	Human Diseases; Neurodegenerative Diseases; Alzheimer's disease
Amino acid metabolism	126216.0	122984.0	142418.0	137051.0	156913.0	136850.0	119530.0	116212.0	123785.0	119871.0	129030.0	120119.0	139996.0	156874.0	138358.0	138538.0	148140.0	133680.0	Unclassified; Metabolism; Amino acid metabolism
Amino acid related enzymes	563654.0	546599.0	631455.0	606040.0	689787.0	620039.0	539208.0	521997.0	556896.0	537287.0	572517.0	537134.0	610824.0	689219.0	619182.0	618700.0	654662.0	609029.0	Metabolism; Amino Acid Metabolism; Amino acid related enzymes
Amino sugar and nucleotide sugar metabolism	391618.0	417307.0	452757.0	433215.0	458782.0	438341.0	401192.0	393025.0	409613.0	383156.0	419378.0	403821.0	445600.0	478727.0	450943.0	448733.0	478057.0	437264.0	Metabolism; Carbohydrate Metabolism; Amino sugar and nucleotide sugar metabolism
Aminoacyl-tRNA biosynthesis	402244.0	406112.0	456338.0	435750.0	484846.0	444599.0	399177.0	384941.0	400762.0	385103.0	417120.0	396761.0	442086.0	487855.0	451611.0	447122.0	473311.0	441497.0	Genetic Information Processing; Translation; Aminoacyl-tRNA biosynthesis
Aminobenzoate degradation	325332.0	345674.0	382494.0	363256.0	393317.0	361195.0	294116.0	288776.0	299853.0	296702.0	318304.0	291910.0	345000.0	367469.0	343915.0	354216.0	377480.0	344908.0	Metabolism; Xenobiotics Biodegradation and Metabolism; Aminobenzoate degradation
Amoebiasis	12722.0	13045.0	13922.0	13839.0	15205.0	14580.0	11801.0	11364.0	12354.0	11972.0	12663.0	11790.0	14112.0	15410.0	13789.0	13562.0	15240.0	13714.0	Human Diseases; Infectious Diseases; Amoebiasis
Amyotrophic lateral sclerosis (ALS)	18583.0	20076.0	23795.0	22064.0	22521.0	22707.0	18832.0	18485.0	18258.0	17700.0	19903.0	18886.0	18555.0	19392.0	20030.0	20488.0	20663.0	20976.0	Human Diseases; Neurodegenerative Diseases; Amyotrophic lateral sclerosis (ALS)
Antigen processing and presentation	10657.0	9791.0	11247.0	11186.0	13226.0	11421.0	9886.0	9490.0	10966.0	10361.0	10815.0	10026.0	11964.0	13579.0	11878.0	11765.0	12903.0	11329.0	Organismal Systems; Immune System; Antigen processing and presentation
Apoptosis	7528.0	7332.0	10052.0	8911.0	10521.0	10000.0	7269.0	6468.0	5748.0	6242.0	7730.0	7066.0	6149.0	7179.0	7043.0	7786.0	7540.0	7452.0	Cellular Processes; Cell Growth and Death; Apoptosis
Arachidonic acid metabolism	46764.0	43083.0	50229.0	49603.0	57594.0	51622.0	42288.0	39325.0	43348.0	42978.0	45245.0	41907.0	48515.0	55594.0	48582.0	48700.0	52289.0	48135.0	Metabolism; Lipid Metabolism; Arachidonic acid metabolism
Arginine and proline metabolism	597033.0	610715.0	688221.0	660499.0	729706.0	668038.0	574715.0	566195.0	587318.0	568557.0	615781.0	578602.0	653110.0	716371.0	657146.0	662484.0	710090.0	649043.0	Metabolism; Amino Acid Metabolism; Arginine and proline metabolism
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	109.0	102.0	51.0	69.0	64.0	80.0	166.0	103.0	112.0	95.0	125.0	135.0	122.0	91.0	133.0	89.0	95.0	122.0	Human Diseases; Cardiovascular Diseases; Arrhythmogenic right ventricular cardiomyopathy (ARVC)
Ascorbate and aldarate metabolism	94003.0	96673.0	109791.0	106202.0	116040.0	105147.0	86038.0	83788.0	89131.0	87305.0	93469.0	86326.0	99847.0	108101.0	99601.0	102697.0	108944.0	99966.0	Metabolism; Carbohydrate Metabolism; Ascorbate and aldarate metabolism
Atrazine degradation	46926.0	43886.0	52505.0	51672.0	61463.0	51314.0	38532.0	38992.0	43356.0	42149.0	44814.0	39444.0	50714.0	57293.0	47998.0	49902.0	55065.0	47258.0	Metabolism; Xenobiotics Biodegradation and Metabolism; Atrazine degradation
Bacterial chemotaxis	358244.0	301760.0	372467.0	385140.0	467638.0	408560.0	306770.0	277233.0	313077.0	316826.0	333679.0	306618.0	348784.0	419698.0	352233.0	354877.0	375774.0	350162.0	Cellular Processes; Cell Motility; Bacterial chemotaxis
Bacterial invasion of epithelial cells	141.0	184.0	156.0	95.0	157.0	190.0	902.0	663.0	540.0	325.0	860.0	966.0	862.0	817.0	694.0	541.0	947.0	382.0	Human Diseases; Infectious Diseases; Bacterial invasion of epithelial cells
Bacterial motility proteins	959003.0	785380.0	991841.0	1019239.0	1263613.0	1078400.0	819073.0	745123.0	847792.0	849023.0	904350.0	828214.0	952864.0	1161330.0	960828.0	970129.0	1030414.0	948404.0	Cellular Processes; Cell Motility; Bacterial motility proteins
Bacterial secretion system	425959.0	368298.0	462797.0	458909.0	555335.0	482846.0	365315.0	336595.0	379011.0	380341.0	401485.0	364390.0	422181.0	502854.0	426929.0	431045.0	457334.0	426662.0	Environmental Information Processing; Membrane Transport; Bacterial secretion system
Bacterial toxins	38270.0	40017.0	43542.0	41779.0	45252.0	42700.0	37059.0	36012.0	38533.0	37027.0	39883.0	37388.0	42257.0	46736.0	42573.0	43609.0	46202.0	41915.0	Environmental Information Processing; Signaling Molecules and Interaction; Bacterial toxins
Basal transcription factors	2978.0	4377.0	3823.0	3754.0	2752.0	3368.0	3085.0	3666.0	3619.0	3085.0	3302.0	3123.0	3935.0	3583.0	3794.0	3783.0	3898.0	3780.0	Genetic Information Processing; Transcription; Basal transcription factors
Base excision repair	218408.0	232549.0	252232.0	240441.0	255479.0	240210.0	210714.0	210691.0	219640.0	208263.0	225419.0	211281.0	242241.0	262358.0	244825.0	244593.0	260456.0	241398.0	Genetic Information Processing; Replication and Repair; Base excision repair
Benzoate degradation	408764.0	415870.0	477608.0	452211.0	513092.0	448982.0	354777.0	356036.0	370684.0	370176.0	393679.0	356185.0	424532.0	466950.0	422591.0	436593.0	467140.0	425395.0	Metabolism; Xenobiotics Biodegradation and Metabolism; Benzoate degradation
Betalain biosynthesis	2235.0	2558.0	2652.0	2590.0	2315.0	2746.0	2219.0	2150.0	2467.0	2281.0	2109.0	2156.0	2572.0	2342.0	2481.0	2502.0	2367.0	2527.0	Metabolism; Biosynthesis of Other Secondary Metabolites; Betalain biosynthesis
Bile secretion	1865.0	3138.0	2685.0	2355.0	1884.0	2072.0	1853.0	2047.0	2019.0	1902.0	2012.0	1913.0	2552.0	2312.0	2295.0	2722.0	3329.0	2439.0	Organismal Systems; Digestive System; Bile secretion
Biosynthesis and biodegradation of secondary metabolites	43612.0	45899.0	50413.0	48716.0	53342.0	49136.0	39201.0	38386.0	41926.0	40850.0	43217.0	40310.0	47527.0	51630.0	45833.0	48544.0	53315.0	45375.0	Unclassified; Metabolism; Biosynthesis and biodegradation of secondary metabolites
Biosynthesis of 12-, 14- and 16-membered macrolides	1597.0	2816.0	2159.0	2390.0	1498.0	1547.0	1604.0	2063.0	2304.0	1773.0	2029.0	1704.0	2578.0	1967.0	2233.0	2444.0	1987.0	2213.0	Metabolism; Metabolism of Terpenoids and Polyketides; Biosynthesis of 12-, 14- and 16-membered macrolides
Biosynthesis of ansamycins	35793.0	34598.0	41480.0	39561.0	45793.0	38916.0	31233.0	30744.0	34463.0	33282.0	34291.0	30893.0	38202.0	42882.0	37070.0	38001.0	41367.0	37406.0	Metabolism; Metabolism of Terpenoids and Polyketides; Biosynthesis of ansamycins
Biosynthesis of siderophore group nonribosomal peptides	27802.0	32563.0	32216.0	30858.0	30370.0	31945.0	28156.0	26885.0	26563.0	26812.0	28407.0	27491.0	31038.0	31149.0	30953.0	31011.0	34605.0	30662.0	Metabolism; Metabolism of Terpenoids and Polyketides; Biosynthesis of siderophore group nonribosomal peptides
Biosynthesis of type II polyketide backbone	2230.0	3829.0	2619.0	2317.0	1453.0	2479.0	1826.0	2686.0	3764.0	2452.0	2478.0	2091.0	3157.0	2636.0	2525.0	3001.0	4673.0	2687.0	Metabolism; Metabolism of Terpenoids and Polyketides; Biosynthesis of type II polyketide backbone
Biosynthesis of type II polyketide products	701.0	1465.0	1245.0	933.0	610.0	854.0	658.0	835.0	867.0	873.0	832.0	719.0	1112.0	963.0	819.0	1204.0	2110.0	1070.0	Metabolism; Metabolism of Terpenoids and Polyketides; Biosynthesis of type II polyketide products
Biosynthesis of unsaturated fatty acids	148352.0	159146.0	172357.0	163739.0	175350.0	166216.0	144738.0	142357.0	147037.0	142080.0	153357.0	145204.0	161978.0	172773.0	164122.0	167323.0	177561.0	162865.0	Metabolism; Lipid Metabolism; Biosynthesis of unsaturated fatty acids
Biosynthesis of vancomycin group antibiotics	20042.0	20950.0	23239.0	22020.0	23347.0	22421.0	21026.0	20173.0	21533.0	19499.0	21714.0	21217.0	23019.0	24898.0	23469.0	22819.0	24241.0	22744.0	Metabolism; Metabolism of Terpenoids and Polyketides; Biosynthesis of vancomycin group antibiotics
Biotin metabolism	62961.0	62571.0	71037.0	68006.0	73781.0	70302.0	63532.0	60424.0	64276.0	61145.0	66027.0	62954.0	70930.0	78737.0	71823.0	71257.0	74824.0	69934.0	Metabolism; Metabolism of Cofactors and Vitamins; Biotin metabolism
Bisphenol degradation	84087.0	100560.0	103347.0	96115.0	92530.0	93945.0	82000.0	81690.0	81343.0	79490.0	86327.0	81268.0	92240.0	90359.0	93789.0	96386.0	100530.0	93361.0	Metabolism; Xenobiotics Biodegradation and Metabolism; Bisphenol degradation
Bladder cancer	4495.0	5772.0	6120.0	5557.0	5272.0	5468.0	4201.0	4869.0	4727.0	4262.0	4977.0	4440.0	5048.0	5012.0	5075.0	5483.0	5793.0	5365.0	Human Diseases; Cancers; Bladder cancer
Butanoate metabolism	646527.0	662960.0	753975.0	713899.0	797345.0	715502.0	584449.0	578462.0	603058.0	593506.0	636206.0	582748.0	679603.0	745977.0	681940.0	698979.0	745039.0	685547.0	Metabolism; Carbohydrate Metabolism; Butanoate metabolism
Butirosin and neomycin biosynthesis	19698.0	23726.0	22775.0	22078.0	21293.0	21459.0	21167.0	21637.0	22079.0	19879.0	22270.0	21516.0	23994.0	24716.0	24105.0	24308.0	25711.0	23147.0	Metabolism; Biosynthesis of Other Secondary Metabolites; Butirosin and neomycin biosynthesis
C5-Branched dibasic acid metabolism	142525.0	141557.0	162041.0	155205.0	175746.0	157919.0	136206.0	131386.0	136072.0	133282.0	143741.0	134818.0	151931.0	168734.0	154764.0	154739.0	164017.0	153586.0	Metabolism; Carbohydrate Metabolism; C5-Branched dibasic acid metabolism
CAM ligands	35.0	53.0	59.0	6.0	11.0	26.0	27.0	31.0	61.0	26.0	15.0	36.0	22.0	13.0	29.0	28.0	33.0	37.0	Environmental Information Processing; Signaling Molecules and Interaction; CAM ligands
Caffeine metabolism	1894.0	2924.0	2946.0	2570.0	2140.0	2260.0	1768.0	2369.0	2276.0	1956.0	2293.0	2013.0	2552.0	2154.0	2368.0	2677.0	2918.0	2492.0	Metabolism; Biosynthesis of Other Secondary Metabolites; Caffeine metabolism
Calcium signaling pathway	43.0	71.0	111.0	32.0	108.0	119.0	665.0	537.0	471.0	237.0	659.0	783.0	775.0	732.0	583.0	423.0	839.0	242.0	Environmental Information Processing; Signal Transduction; Calcium signaling pathway
Caprolactam degradation	174285.0	192064.0	210181.0	195401.0	206285.0	194907.0	162505.0	162466.0	159500.0	159621.0	174372.0	161122.0	183170.0	190959.0	187931.0	190467.0	199427.0	187852.0	Metabolism; Xenobiotics Biodegradation and Metabolism; Caprolactam degradation
Carbohydrate digestion and absorption	2943.0	3489.0	2810.0	3376.0	2626.0	3521.0	3446.0	3383.0	4195.0	3377.0	3568.0	3602.0	4362.0	4215.0	3781.0	3553.0	4183.0	3264.0	Organismal Systems; Digestive System; Carbohydrate digestion and absorption
Carbohydrate metabolism	42263.0	53926.0	51300.0	49160.0	44980.0	48761.0	48729.0	50369.0	50090.0	44387.0	51818.0	51599.0	53862.0	52538.0	53236.0	52867.0	58089.0	49028.0	Unclassified; Metabolism; Carbohydrate metabolism
Carbon fixation in photosynthetic organisms	244377.0	223213.0	272559.0	259810.0	311937.0	262941.0	228463.0	216667.0	235827.0	229577.0	245931.0	226378.0	265524.0	308840.0	263971.0	264478.0	286508.0	258462.0	Metabolism; Energy Metabolism; Carbon fixation in photosynthetic organisms
Carbon fixation pathways in prokaryotes	528029.0	524065.0	602597.0	571103.0	646972.0	578869.0	496885.0	486411.0	509617.0	496576.0	530572.0	494186.0	563402.0	629437.0	572744.0	576510.0	603923.0	566710.0	Metabolism; Energy Metabolism; Carbon fixation pathways in prokaryotes
Cardiac muscle contraction	31315.0	23364.0	32506.0	32487.0	42290.0	33751.0	24094.0	21462.0	25526.0	26579.0	27654.0	23856.0	28789.0	37117.0	29379.0	30601.0	31970.0	29894.0	Organismal Systems; Circulatory System; Cardiac muscle contraction
Carotenoid biosynthesis	22299.0	24847.0	26470.0	23659.0	24821.0	25628.0	27974.0	25165.0	25271.0	23114.0	27013.0	27584.0	29212.0	29832.0	28721.0	27358.0	31287.0	25690.0	Metabolism; Metabolism of Terpenoids and Polyketides; Carotenoid biosynthesis
Cell cycle	1.0	3.0	0.0	0.0	0.0	0.0	3.0	3.0	1.0	0.0	1.0	6.0	3.0	0.0	2.0	3.0	2.0	3.0	Cellular Processes; Cell Growth and Death; Cell cycle
Cell cycle - Caulobacter	228569.0	213058.0	260912.0	246193.0	291992.0	256100.0	216240.0	203344.0	212937.0	210456.0	230232.0	212289.0	236365.0	273983.0	242737.0	243310.0	257885.0	240142.0	Cellular Processes; Cell Growth and Death; Cell cycle - Caulobacter
Cell cycle - yeast	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Cellular Processes; Cell Growth and Death; Cell cycle - yeast
Cell division	42846.0	35515.0	45895.0	44839.0	56265.0	46469.0	36946.0	34038.0	39033.0	39031.0	40733.0	36661.0	43598.0	53353.0	43872.0	44471.0	47633.0	43667.0	Unclassified; Cellular Processes and Signaling; Cell division
Cell motility and secretion	148748.0	121428.0	153561.0	152949.0	192157.0	162387.0	131957.0	117526.0	132883.0	134366.0	141857.0	130298.0	149955.0	181204.0	153699.0	153113.0	160643.0	149490.0	Unclassified; Cellular Processes and Signaling; Cell motility and secretion
Cellular antigens	44719.0	42914.0	50559.0	48411.0	56039.0	50455.0	40268.0	39058.0	42966.0	41527.0	43705.0	40082.0	47186.0	52267.0	46654.0	47380.0	50949.0	47094.0	Environmental Information Processing; Signaling Molecules and Interaction; Cellular antigens
Chagas disease (American trypanosomiasis)	5847.0	6397.0	7515.0	6735.0	7146.0	7418.0	5826.0	6338.0	5877.0	5622.0	6429.0	5829.0	5860.0	6312.0	6483.0	6387.0	6536.0	6760.0	Human Diseases; Infectious Diseases; Chagas disease (American trypanosomiasis)
Chaperones and folding catalysts	456587.0	409573.0	489503.0	481016.0	573226.0	498670.0	420451.0	393227.0	435238.0	426417.0	453576.0	421077.0	485113.0	566999.0	489066.0	489005.0	523527.0	477964.0	Genetic Information Processing; Folding, Sorting and Degradation; Chaperones and folding catalysts
Chloroalkane and chloroalkene degradation	170453.0	173919.0	199571.0	190228.0	211368.0	187556.0	159404.0	152536.0	159199.0	157397.0	171904.0	158469.0	182001.0	198938.0	181448.0	186528.0	198711.0	181869.0	Metabolism; Xenobiotics Biodegradation and Metabolism; Chloroalkane and chloroalkene degradation
Chlorocyclohexane and chlorobenzene degradation	87675.0	83658.0	99459.0	96026.0	114043.0	94123.0	75546.0	71986.0	75898.0	78694.0	85045.0	74132.0	92857.0	106184.0	90202.0	93547.0	102582.0	91219.0	Metabolism; Xenobiotics Biodegradation and Metabolism; Chlorocyclohexane and chlorobenzene degradation
Cholinergic synapse	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	Organismal Systems; Nervous System; Cholinergic synapse
Chromosome	582249.0	530904.0	640427.0	622955.0	736108.0	638478.0	541183.0	510738.0	559364.0	544607.0	582981.0	541870.0	622074.0	722588.0	627262.0	629192.0	672417.0	615792.0	Genetic Information Processing; Replication and Repair; Chromosome
Chronic myeloid leukemia	15.0	23.0	15.0	11.0	11.0	23.0	62.0	36.0	37.0	21.0	30.0	65.0	25.0	24.0	35.0	29.0	17.0	22.0	Human Diseases; Cancers; Chronic myeloid leukemia
Circadian rhythm - plant	3305.0	4530.0	3751.0	3389.0	2338.0	3503.0	4196.0	4147.0	4308.0	3672.0	3712.0	4154.0	3900.0	3697.0	4311.0	4125.0	3974.0	3949.0	Organismal Systems; Environmental Adaptation; Circadian rhythm - plant
Citrate cycle (TCA cycle)	386068.0	395190.0	448000.0	422842.0	469915.0	424913.0	362716.0	361848.0	378878.0	364445.0	389342.0	362984.0	414747.0	457412.0	420482.0	426626.0	447513.0	420252.0	Metabolism; Carbohydrate Metabolism; Citrate cycle (TCA cycle)
