unifrac_binary	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
KO1	0	0.062	0.0942	0.0855	0.125	0.0858	0.0702	0.0821	0.0793	0.0669	0.0689	0.0705	0.0773	0.0782	0.0762	0.068	0.0805	0.0662
KO2	0.062	0	0.0937	0.0872	0.125	0.0891	0.075	0.0727	0.0777	0.071	0.0762	0.0762	0.0764	0.0841	0.0721	0.0701	0.081	0.0675
KO3	0.0942	0.0937	0	0.0838	0.107	0.0851	0.112	0.110	0.108	0.0975	0.101	0.108	0.113	0.09	0.105	0.104	0.101	0.103
KO4	0.0855	0.0872	0.0838	0	0.0931	0.0768	0.103	0.104	0.101	0.0861	0.0942	0.0949	0.108	0.086	0.0951	0.091	0.0936	0.0945
KO5	0.125	0.125	0.107	0.0931	0	0.0993	0.137	0.151	0.136	0.130	0.125	0.142	0.143	0.122	0.140	0.116	0.128	0.125
KO6	0.0858	0.0891	0.0851	0.0768	0.0993	0	0.102	0.107	0.109	0.0892	0.089	0.0978	0.103	0.0916	0.100	0.0935	0.0854	0.0869
OE1	0.0702	0.075	0.112	0.103	0.137	0.102	0	0.0704	0.0676	0.0599	0.0605	0.0594	0.0761	0.0742	0.0588	0.0653	0.072	0.0681
OE2	0.0821	0.0727	0.110	0.104	0.151	0.107	0.0704	0	0.0705	0.0676	0.0718	0.0677	0.0744	0.0866	0.067	0.0813	0.0858	0.0778
OE3	0.0793	0.0777	0.108	0.101	0.136	0.109	0.0676	0.0705	0	0.0556	0.0733	0.0722	0.0649	0.0808	0.0705	0.0688	0.0787	0.0721
OE4	0.0669	0.071	0.0975	0.0861	0.130	0.0892	0.0599	0.0676	0.0556	0	0.0637	0.0673	0.0696	0.0688	0.0656	0.0578	0.0763	0.0607
OE5	0.0689	0.0762	0.101	0.0942	0.125	0.089	0.0605	0.0718	0.0733	0.0637	0	0.0633	0.0776	0.067	0.0687	0.0624	0.0622	0.0625
OE6	0.0705	0.0762	0.108	0.0949	0.142	0.0978	0.0594	0.0677	0.0722	0.0673	0.0633	0	0.0764	0.0766	0.0646	0.0699	0.0761	0.0715
WT1	0.0773	0.0764	0.113	0.108	0.143	0.103	0.0761	0.0744	0.0649	0.0696	0.0776	0.0764	0	0.0739	0.0644	0.0723	0.0754	0.0709
WT2	0.0782	0.0841	0.09	0.086	0.122	0.0916	0.0742	0.0866	0.0808	0.0688	0.067	0.0766	0.0739	0	0.078	0.0685	0.059	0.0715
WT3	0.0762	0.0721	0.105	0.0951	0.140	0.100	0.0588	0.067	0.0705	0.0656	0.0687	0.0646	0.0644	0.078	0	0.0697	0.0763	0.0606
WT4	0.068	0.0701	0.104	0.091	0.116	0.0935	0.0653	0.0813	0.0688	0.0578	0.0624	0.0699	0.0723	0.0685	0.0697	0	0.0675	0.0597
WT5	0.0805	0.081	0.101	0.0936	0.128	0.0854	0.072	0.0858	0.0787	0.0763	0.0622	0.0761	0.0754	0.059	0.0763	0.0675	0	0.0685
WT6	0.0662	0.0675	0.103	0.0945	0.125	0.0869	0.0681	0.0778	0.0721	0.0607	0.0625	0.0715	0.0709	0.0715	0.0606	0.0597	0.0685	0
