jaccard_binary	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
KO1	0	0.262	0.351	0.325	0.383	0.283	0.231	0.234	0.250	0.256	0.248	0.226	0.264	0.314	0.248	0.269	0.307	0.247
KO2	0.262	0	0.354	0.334	0.390	0.296	0.251	0.240	0.261	0.276	0.247	0.230	0.273	0.324	0.249	0.276	0.318	0.253
KO3	0.351	0.354	0	0.370	0.391	0.354	0.363	0.347	0.362	0.368	0.350	0.345	0.365	0.371	0.343	0.350	0.378	0.343
KO4	0.325	0.334	0.370	0	0.386	0.325	0.328	0.324	0.336	0.323	0.327	0.324	0.340	0.348	0.325	0.339	0.350	0.320
KO5	0.383	0.390	0.391	0.386	0	0.369	0.392	0.382	0.390	0.385	0.369	0.390	0.394	0.390	0.377	0.382	0.387	0.366
KO6	0.283	0.296	0.354	0.325	0.369	0	0.286	0.280	0.300	0.298	0.280	0.284	0.307	0.346	0.285	0.294	0.330	0.294
OE1	0.231	0.251	0.363	0.328	0.392	0.286	0	0.189	0.209	0.219	0.195	0.172	0.246	0.297	0.211	0.231	0.284	0.225
OE2	0.234	0.240	0.347	0.324	0.382	0.280	0.189	0	0.225	0.229	0.205	0.189	0.241	0.295	0.211	0.239	0.287	0.219
OE3	0.250	0.261	0.362	0.336	0.390	0.300	0.209	0.225	0	0.242	0.228	0.204	0.252	0.300	0.227	0.254	0.297	0.241
OE4	0.256	0.276	0.368	0.323	0.385	0.298	0.219	0.229	0.242	0	0.237	0.214	0.266	0.303	0.237	0.246	0.296	0.251
OE5	0.248	0.247	0.350	0.327	0.369	0.280	0.195	0.205	0.228	0.237	0	0.195	0.242	0.303	0.214	0.235	0.272	0.226
OE6	0.226	0.230	0.345	0.324	0.390	0.284	0.172	0.189	0.204	0.214	0.195	0	0.236	0.295	0.210	0.227	0.281	0.220
WT1	0.264	0.273	0.365	0.340	0.394	0.307	0.246	0.241	0.252	0.266	0.242	0.236	0	0.294	0.253	0.266	0.297	0.268
WT2	0.314	0.324	0.371	0.348	0.390	0.346	0.297	0.295	0.300	0.303	0.303	0.295	0.294	0	0.295	0.310	0.324	0.308
WT3	0.248	0.249	0.343	0.325	0.377	0.285	0.211	0.211	0.227	0.237	0.214	0.210	0.253	0.295	0	0.242	0.271	0.225
WT4	0.269	0.276	0.350	0.339	0.382	0.294	0.231	0.239	0.254	0.246	0.235	0.227	0.266	0.310	0.242	0	0.288	0.238
WT5	0.307	0.318	0.378	0.350	0.387	0.330	0.284	0.287	0.297	0.296	0.272	0.281	0.297	0.324	0.271	0.288	0	0.281
WT6	0.247	0.253	0.343	0.320	0.366	0.294	0.225	0.219	0.241	0.251	0.226	0.220	0.268	0.308	0.225	0.238	0.281	0
