manhatten	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
KO1	0	702.0	915.0	845.0	986.0	745.0	639.0	642.0	676.0	696.0	677.0	623.0	708.0	828.0	678.0	730.0	819.0	668.0
KO2	702.0	0	915.0	865.0	996.0	775.0	695.0	656.0	704.0	752.0	669.0	631.0	730.0	852.0	674.0	746.0	845.0	680.0
KO3	915.0	915.0	0	896.0	913.0	882.0	996.0	933.0	957.0	981.0	928.0	934.0	947.0	921.0	905.0	911.0	956.0	895.0
KO4	845.0	865.0	896.0	0	911.0	808.0	894.0	869.0	887.0	847.0	868.0	880.0	883.0	865.0	861.0	887.0	882.0	835.0
KO5	986.0	996.0	913.0	911.0	0	897.0	1063.0	1018.0	1018.0	1004.0	961.0	1053.0	1008.0	948.0	986.0	982.0	953.0	940.0
KO6	745.0	775.0	882.0	808.0	897.0	0	786.0	757.0	803.0	799.0	748.0	778.0	809.0	891.0	761.0	775.0	854.0	783.0
OE1	639.0	695.0	996.0	894.0	1063.0	786.0	0	527.0	575.0	609.0	538.0	480.0	679.0	809.0	585.0	639.0	780.0	623.0
OE2	642.0	656.0	933.0	869.0	1018.0	757.0	527.0	0	618.0	634.0	563.0	527.0	658.0	796.0	580.0	656.0	779.0	600.0
OE3	676.0	704.0	957.0	887.0	1018.0	803.0	575.0	618.0	0	658.0	621.0	559.0	676.0	792.0	616.0	688.0	793.0	654.0
OE4	696.0	752.0	981.0	847.0	1004.0	799.0	609.0	634.0	658.0	0	649.0	593.0	720.0	804.0	650.0	666.0	793.0	686.0
OE5	677.0	669.0	928.0	868.0	961.0	748.0	538.0	563.0	621.0	649.0	0	538.0	651.0	811.0	581.0	635.0	724.0	613.0
OE6	623.0	631.0	934.0	880.0	1053.0	778.0	480.0	527.0	559.0	593.0	538.0	0	647.0	803.0	583.0	627.0	768.0	609.0
WT1	708.0	730.0	947.0	883.0	1008.0	809.0	679.0	658.0	676.0	720.0	651.0	647.0	0	758.0	684.0	714.0	777.0	724.0
WT2	828.0	852.0	921.0	865.0	948.0	891.0	809.0	796.0	792.0	804.0	811.0	803.0	758.0	0	784.0	816.0	823.0	814.0
WT3	678.0	674.0	905.0	861.0	986.0	761.0	585.0	580.0	616.0	650.0	581.0	583.0	684.0	784.0	0	656.0	719.0	608.0
WT4	730.0	746.0	911.0	887.0	982.0	775.0	639.0	656.0	688.0	666.0	635.0	627.0	714.0	816.0	656.0	0	759.0	638.0
WT5	819.0	845.0	956.0	882.0	953.0	854.0	780.0	779.0	793.0	793.0	724.0	768.0	777.0	823.0	719.0	759.0	0	741.0
WT6	668.0	680.0	895.0	835.0	940.0	783.0	623.0	600.0	654.0	686.0	613.0	609.0	724.0	814.0	608.0	638.0	741.0	0
