ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	feces1	feces2	feces3	feces4	feces5	feces6	plaque1	plaque2	plaque3	plaque4	plaque5	plaque6
ASV_1	-24.714	16.433	0.0740099699862347	0.363321670841516	NotSig	0	2.751	0	0	0	0	0	0	8.849	1.425	0	0	6.234	0
ASV_2	-25.612	18.015	0.00962171958575914	0.278795191899557	NotSig	0	5.13	0	0	0	0	0	0	0.069	4.038	0.134	26.485	0.052	0
ASV_10	-18.635	10.789	0.175734335644225	0.461885820233052	NotSig	0	0.041	0	0	0	0	0	0	0	0	0.067	0	0	0.177
ASV_3	-24.48	17.099	0.404656761927286	0.560293978053165	NotSig	0	2.34	0	0	0	0	0	0	0	0	0	0	14.039	0
ASV_4	-19.846	12.374	0.175734335644225	0.461885820233052	NotSig	0	0.094	0	0	0	0	0	0	0.035	0	0	0	0	0.531
ASV_5	24.885	17.441	0.0740099699862347	0.363321670841516	NotSig	3.098	0	17.794	0.478	0	0	0.312	0	0	0	0	0	0	0
ASV_7	0	-Inf	NA	NA	NotSig	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8	0	-Inf	NA	NA	NotSig	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_9	-18.17	10.789	0.404656761927286	0.560293978053165	NotSig	0	0.029	0	0	0	0	0	0	0	0	0	0	0	0.177
ASV_6	-24.179	16.794	0.175734335644225	0.461885820233052	NotSig	0	1.9	0	0	0	0	0	0	0.035	0	11.365	0	0	0
ASV_14	-16.814	9.433	0.404656761927286	0.560293978053165	NotSig	0	0.012	0	0	0	0	0	0	0.069	0	0	0	0	0
ASV_22	-0.976	11.224	0.24578548520723	0.560293978053165	NotSig	0.04	0.078	0	0.239	0	0	0	0	0.069	0	0.067	0	0.157	0.177
ASV_13	-24.439	16.518	0.00962171958575914	0.278795191899557	NotSig	0	2.274	0	0	0	0	0	0	0	9.382	0.807	3.122	0.157	0.177
ASV_18	0	-Inf	NA	NA	NotSig	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_19	-23.71	15.836	0.00962171958575914	0.278795191899557	NotSig	0	1.373	0	0	0	0	0	0	0.311	0	5.851	1.511	0.21	0.354
ASV_17	0	-Inf	NA	NA	NotSig	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_23	0	-Inf	NA	NA	NotSig	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_54	6.893	16.714	0.182287175738893	0.478051136374846	NotSig	2.352	0.02	0	3.11	0.252	10.751	0	0	0	0.119	0	0	0	0
ASV_49	0	-Inf	NA	NA	NotSig	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_11	-24.267	16.886	0.404656761927286	0.560293978053165	NotSig	0	2.019	0	0	0	0	0	0	0	12.114	0	0	0	0
ASV_21	24.459	16.909	0.175734335644225	0.461885820233052	NotSig	2.306	0	0	0	0	12.306	0	1.529	0	0	0	0	0	0
ASV_36	-18.17	10.789	0.404656761927286	0.560293978053165	NotSig	0	0.029	0	0	0	0	0	0	0	0	0	0	0	0.177
ASV_12	0	-Inf	NA	NA	NotSig	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_35	-16.774	9.393	0.404656761927286	0.560293978053165	NotSig	0	0.011	0	0	0	0	0	0	0	0	0.067	0	0	0
ASV_15	-22.29	14.909	0.404656761927286	0.560293978053165	NotSig	0	0.513	0	0	0	0	0	0	3.076	0	0	0	0	0
ASV_20	0	-Inf	NA	NA	NotSig	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_24	-22.407	14.111	0.0284406622664748	0.341287947197698	NotSig	0	0.556	0	0	0	0	0	0	0.138	0	0.538	0	0.891	1.77
ASV_16	-22.359	14.978	0.404656761927286	0.560293978053165	NotSig	0	0.538	0	0	0	0	0	0	0	0	3.228	0	0	0
ASV_38	-15.814	8.433	0.404656761927286	0.560293978053165	NotSig	0	0.006	0	0	0	0	0	0	0.035	0	0	0	0	0
ASV_42	-15.814	8.433	0.404656761927286	0.560293978053165	NotSig	0	0.006	0	0	0	0	0	0	0.035	0	0	0	0	0
ASV_53	23.98	16.04	0.0284406622664748	0.341287947197698	NotSig	1.655	0	0.093	1.435	0	6.736	1.667	0	0	0	0	0	0	0
ASV_207	-20.05	10.976	0.0284406622664748	0.341287947197698	NotSig	0	0.109	0	0	0	0	0	0	0.138	0	0.134	0.201	0	0.177
ASV_48	-18.17	10.789	0.404656761927286	0.560293978053165	NotSig	0	0.029	0	0	0	0	0	0	0	0	0	0	0	0.177
ASV_34	-22.649	13.387	0.00277843011009903	0.235769640771261	NotSig	0	0.658	0	0	0	0	0	0	1.072	0.356	1.009	0.101	0.524	0.885
ASV_63	23.831	16.246	0.0284406622664748	0.341287947197698	NotSig	1.492	0	0.463	0	0.404	7.772	0.312	0	0	0	0	0	0	0
ASV_75	-16.814	9.433	0.404656761927286	0.560293978053165	NotSig	0	0.012	0	0	0	0	0	0	0.069	0	0	0	0	0
ASV_30	-0.368	11.789	0.445976175125995	0.616069414011258	NotSig	0.046	0.059	0	0.12	0.05	0	0.104	0	0	0	0	0	0	0.354
ASV_29	-22.751	15.371	0.404656761927286	0.560293978053165	NotSig	0	0.706	0	0	0	0	0	0	0	0	4.237	0	0	0
ASV_44	0	-Inf	NA	NA	NotSig	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_80	22.541	15.108	0.175734335644225	0.461885820233052	NotSig	0.61	0	0	0	3.532	0.13	0	0	0	0	0	0	0	0
ASV_28	5.751	15.965	1	1	NotSig	1.066	0.02	6.395	0	0	0	0	0	0	0.119	0	0	0	0
ASV_55	-22.2	13.791	0.0740099699862347	0.363321670841516	NotSig	0	0.482	0	0	0	0	0	0	1.417	0	0.269	0	1.205	0
ASV_726	0	-Inf	NA	NA	NotSig	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_25	-22.883	15.502	0.404656761927286	0.560293978053165	NotSig	0	0.773	0	0	0	0	0	0	0	0	4.64	0	0	0
ASV_286	23.614	15.617	0.00277843011009903	0.235769640771261	NotSig	1.284	0	0.649	5.024	0.404	0.907	0.417	0.306	0	0	0	0	0	0
ASV_95	0	-Inf	NA	NA	NotSig	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_26	-20.886	13.374	0.175734335644225	0.461885820233052	NotSig	0	0.194	0	0	0	0	0	0	0	0	0	0.101	0	1.062
ASV_77	-23.423	16.042	0.404656761927286	0.560293978053165	NotSig	0	1.125	0	0	0	0	0	0	0	0	0	6.747	0	0
ASV_394	23.499	15.806	0.0740099699862347	0.363321670841516	NotSig	1.186	0	0	0.478	0	0.907	5.729	0	0	0	0	0	0	0
ASV_497	23.41	15.094	0.0740099699862347	0.363321670841516	NotSig	1.115	0	2.688	0	0.505	3.497	0	0	0	0	0	0	0	0
ASV_185	23.754	15.485	0.00277843011009903	0.235769640771261	NotSig	1.414	0	0.371	0.239	1.312	0.518	1.458	4.587	0	0	0	0	0	0
ASV_81	23.409	16.002	0.175734335644225	0.461885820233052	NotSig	1.114	0	0	0.12	0	0	6.562	0	0	0	0	0	0	0
ASV_51	-21.791	14.41	0.404656761927286	0.560293978053165	NotSig	0	0.363	0	0	0	0	0	0	2.178	0	0	0	0	0
ASV_27	-21.768	14.387	0.404656761927286	0.560293978053165	NotSig	0	0.357	0	0	0	0	0	0	2.143	0	0	0	0	0
ASV_32	-23.549	16.168	0.404656761927286	0.560293978053165	NotSig	0	1.227	0	0	0	0	0	0	0	7.363	0	0	0	0
ASV_62	22.314	14.933	0.404656761927286	0.560293978053165	NotSig	0.521	0	0	0	3.128	0	0	0	0	0	0	0	0	0
ASV_392	22.988	14.026	0.00962171958575914	0.278795191899557	NotSig	0.832	0	1.668	0.718	1.362	1.036	0.208	0	0	0	0	0	0	0
ASV_46	-21.895	14.161	0.0740099699862347	0.363321670841516	NotSig	0	0.39	0	0	0	0	0	0	1.832	0	0	0.403	0.105	0
ASV_60	0	-Inf	NA	NA	NotSig	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_98	23.133	15.739	0.175734335644225	0.461885820233052	NotSig	0.92	0	5.468	0	0.05	0	0	0	0	0	0	0	0	0
ASV_143	0	-Inf	NA	NA	NotSig	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_57	-21.72	14.291	0.175734335644225	0.461885820233052	NotSig	0	0.345	0	0	0	0	0	0	2.005	0	0.067	0	0	0
ASV_61	23.123	15.714	0.175734335644225	0.461885820233052	NotSig	0.913	0	5.375	0	0	0	0.104	0	0	0	0	0	0	0
ASV_138	0	-Inf	NA	NA	NotSig	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_263	-17.399	10.018	0.404656761927286	0.560293978053165	NotSig	0	0.017	0	0	0	0	0	0	0.104	0	0	0	0	0
ASV_56	-22.422	13.561	0.00962171958575914	0.278795191899557	NotSig	0	0.562	0	0	0	0	0	0	1.106	0.594	0.202	1.208	0.262	0
ASV_39	0	-Inf	NA	NA	NotSig	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_59	0	-Inf	NA	NA	NotSig	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_67	0	-Inf	NA	NA	NotSig	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1082	-19.926	11.603	0.0284406622664748	0.341287947197698	NotSig	0	0.1	0	0	0	0	0	0	0.311	0.119	0.067	0.101	0	0
ASV_31	-21.618	13.988	0.0740099699862347	0.363321670841516	NotSig	0	0.322	0	0	0	0	0	0	1.625	0	0.202	0	0.105	0
ASV_33	-22.578	14.676	0.0284406622664748	0.341287947197698	NotSig	0	0.626	0	0	0	0	0	0	0.726	0	0.202	2.618	0.21	0
ASV_47	-22.569	15.175	0.175734335644225	0.461885820233052	NotSig	0	0.622	0	0	0	0	0	0	0.035	0	3.699	0	0	0
ASV_488	-18.129	10.033	0.175734335644225	0.461885820233052	NotSig	0	0.029	0	0	0	0	0	0	0	0	0.067	0	0.105	0
ASV_495	23.144	15.026	0.0740099699862347	0.363321670841516	NotSig	0.927	0	3.336	1.914	0	0	0.312	0	0	0	0	0	0	0
ASV_52	-22.809	14.883	0.0740099699862347	0.363321670841516	NotSig	0	0.735	0	0	0	0	0	0	0	0	1.21	3.021	0	0.177
ASV_103	24.714	17.333	0.404656761927286	0.560293978053165	NotSig	2.752	0	0	0	0	0	0	16.514	0	0	0	0	0	0
ASV_64	-22.35	13.673	0.00277843011009903	0.235769640771261	NotSig	0	0.535	0	0	0	0	0	0	1.002	1.306	0.134	0.201	0.21	0.354
ASV_744	23.408	15.224	0.175734335644225	0.461885820233052	NotSig	1.113	0	0	3.828	0	2.85	0	0	0	0	0	0	0	0
ASV_114	0	-Inf	NA	NA	NotSig	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_371	23.666	15.65	0.0740099699862347	0.363321670841516	NotSig	1.331	0	0.093	5.144	0	0	0	2.752	0	0	0	0	0	0
ASV_58	-23.102	15.571	0.0740099699862347	0.363321670841516	NotSig	0	0.9	0	0	0	0	0	0	0	4.869	0.269	0	0.262	0
ASV_117	-20.684	12.681	0.175734335644225	0.461885820233052	NotSig	0	0.168	0	0	0	0	0	0	0.657	0	0	0	0	0.354
ASV_124	0	-Inf	NA	NA	NotSig	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_160	-21.883	13.481	0.0284406622664748	0.341287947197698	NotSig	0	0.387	0	0	0	0	0	0	0.553	0	1.143	0.101	0.524	0
ASV_68	22.95	15.38	0.175734335644225	0.461885820233052	NotSig	0.81	0	4.263	0.598	0	0	0	0	0	0	0	0	0	0
ASV_756	23.099	14.868	0.00962171958575914	0.278795191899557	NotSig	0.898	0	0.185	2.99	0.555	1.554	0.104	0	0	0	0	0	0	0
ASV_236	22.978	15.154	0.0740099699862347	0.363321670841516	NotSig	0.826	0	0	0.957	0.353	0	3.646	0	0	0	0	0	0	0
ASV_208	-16.774	9.393	0.404656761927286	0.560293978053165	NotSig	0	0.011	0	0	0	0	0	0	0	0	0.067	0	0	0
ASV_37	-22.971	15.591	0.404656761927286	0.560293978053165	NotSig	0	0.822	0	0	0	0	0	0	0	0	0	4.935	0	0
ASV_50	24.574	17.193	0.404656761927286	0.560293978053165	NotSig	2.497	0	0	0	0	0	0	14.985	0	0	0	0	0	0
ASV_532	23.031	14.427	0.00277843011009903	0.235769640771261	NotSig	0.857	0	0.093	1.316	0.706	2.202	0.521	0.306	0	0	0	0	0	0
ASV_90	21.974	14.594	0.404656761927286	0.560293978053165	NotSig	0.412	0	0	0	2.472	0	0	0	0	0	0	0	0	0
ASV_129	22.826	15.411	0.175734335644225	0.461885820233052	NotSig	0.743	0	4.356	0	0	0	0.104	0	0	0	0	0	0	0
ASV_147	-18.17	10.789	0.404656761927286	0.560293978053165	NotSig	0	0.029	0	0	0	0	0	0	0	0	0	0	0	0.177
ASV_173	-15.814	8.433	0.404656761927286	0.560293978053165	NotSig	0	0.006	0	0	0	0	0	0	0.035	0	0	0	0	0
ASV_218	0	-Inf	NA	NA	NotSig	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_43	0	-Inf	NA	NA	NotSig	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_800	23.238	14.587	0.00277843011009903	0.235769640771261	NotSig	0.989	0	0.185	1.077	0.252	2.461	1.042	0.917	0	0	0	0	0	0
ASV_85	-23.078	15.462	0.0284406622664748	0.341287947197698	NotSig	0	0.886	0	0	0	0	0	0	0.069	4.513	0	0.201	0	0.531
ASV_1206	-19.257	11.214	0.175734335644225	0.461885820233052	NotSig	0	0.063	0	0	0	0	0	0	0.138	0.238	0	0	0	0
ASV_139	0	-Inf	NA	NA	NotSig	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_169	-16.814	9.433	0.404656761927286	0.560293978053165	NotSig	0	0.012	0	0	0	0	0	0	0.069	0	0	0	0	0
ASV_45	-21.471	13.563	0.00962171958575914	0.278795191899557	NotSig	0	0.291	0	0	0	0	0	0	1.21	0.238	0.067	0	0.052	0.177
ASV_86	-22.866	15.435	0.175734335644225	0.461885820233052	NotSig	0	0.765	0	0	0	0	0	0	0	0	0	4.431	0.157	0
ASV_94	0	-Inf	NA	NA	NotSig	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1120	-18.095	9.976	0.175734335644225	0.461885820233052	NotSig	0	0.028	0	0	0	0	0	0	0	0	0.067	0.101	0	0
ASV_1152	-19.816	11.214	0.0284406622664748	0.341287947197698	NotSig	0	0.092	0	0	0	0	0	0	0.035	0.238	0	0	0.105	0.177
ASV_174	0	-Inf	NA	NA	NotSig	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_243	-18.646	10.789	0.175734335644225	0.461885820233052	NotSig	0	0.041	0	0	0	0	0	0	0.069	0	0	0	0	0.177
ASV_473	0	-Inf	NA	NA	NotSig	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_69	23.243	15.863	0.404656761927286	0.560293978053165	NotSig	0.993	0	0	0	0	5.959	0	0	0	0	0	0	0	0
ASV_73	-19.73	11.789	0.0740099699862347	0.363321670841516	NotSig	0	0.087	0	0	0	0	0	0	0	0	0.067	0.101	0	0.354
ASV_132	-21.77	12.978	0.00962171958575914	0.278795191899557	NotSig	0	0.358	0	0	0	0	0	0	0.795	0.238	0.807	0.201	0.105	0
ASV_136	-21.32	13.826	0.175734335644225	0.461885820233052	NotSig	0	0.262	0	0	0	0	0	0	1.452	0.119	0	0	0	0
ASV_146	0	-Inf	NA	NA	NotSig	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_152	22.897	15.517	0.404656761927286	0.560293978053165	NotSig	0.781	0	0	0	0	0	4.688	0	0	0	0	0	0	0
ASV_168	-19.908	12.298	0.0740099699862347	0.363321670841516	NotSig	0	0.098	0	0	0	0	0	0	0.035	0	0	0.504	0.052	0
ASV_201	-21.565	13.618	0.175734335644225	0.461885820233052	NotSig	0	0.31	0	0	0	0	0	0	0	0	0	0.604	1.257	0
ASV_40	-21.259	13.719	0.175734335644225	0.461885820233052	NotSig	0	0.251	0	0	0	0	0	0	1.348	0	0	0	0.157	0
ASV_121	-21.975	14.3	0.0740099699862347	0.363321670841516	NotSig	0	0.412	0	0	0	0	0	0	0	0	2.017	0.403	0.052	0
ASV_141	0	-Inf	NA	NA	NotSig	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_718	-19.742	11.789	0.0740099699862347	0.363321670841516	NotSig	0	0.088	0	0	0	0	0	0	0	0	0.067	0	0.105	0.354
ASV_76	-22.232	13.374	0.00277843011009903	0.235769640771261	NotSig	0	0.493	0	0	0	0	0	0	0.553	0.119	0.336	0.101	0.786	1.062
ASV_235	22.628	15.025	0.175734335644225	0.461885820233052	NotSig	0.648	0	0	0	0.555	0	3.333	0	0	0	0	0	0	0
ASV_99	21.786	14.405	0.404656761927286	0.560293978053165	NotSig	0.362	0	0	0	2.17	0	0	0	0	0	0	0	0	0
ASV_1115	-19.826	11.789	0.0740099699862347	0.363321670841516	NotSig	0	0.093	0	0	0	0	0	0	0.069	0	0.134	0	0	0.354
ASV_1219	-19.73	11.789	0.0740099699862347	0.363321670841516	NotSig	0	0.087	0	0	0	0	0	0	0	0	0.067	0.101	0	0.354
ASV_144	0	-Inf	NA	NA	NotSig	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_549	5.662	13.932	0.0167114445279955	0.341287947197698	NotSig	0.85	0.017	1.019	0.837	0.151	0	1.562	1.529	0	0	0	0.101	0	0
