genus	family	order	class	phylum	superkingdom	E1.filtered.qc-renamed	E2.filtered.qc-renamed	E3.filtered.qc-renamed	E4.filtered.qc-renamed	E5.filtered.qc-renamed	E6.filtered.qc-renamed	E7.filtered.qc-renamed	N1.filtered.qc-renamed	N2.filtered.qc-renamed	O1.filtered.qc-renamed	O2.filtered.qc-renamed	S1.filtered.qc-renamed
0-14-0-20-44-26	CG03	CG03	CG03	CG03	Bacteria	0.0601171437084863	0.0027855153203345										0.0418103726405409
0-14-0-80-59-12	0-14-0-80-59-12	0-14-0-80-59-12	0-14-0-80-59-12	Bacteroidota_A	Bacteria								0.0083333333333333				
0-14-0-80-60-11	0-14-0-80-60-11	Desulfobaccales	Desulfobaccia	Desulfobacterota	Bacteria									0.0196078431372549			
0-14-3-00-62-12	Ahniellaceae	Xanthomonadales	Gammaproteobacteria	Pseudomonadota	Bacteria						0.0556038543883771			0.0196078431372549			
01-FULL-36-15b	UBA12049	Levybacterales	Microgenomatia	Patescibacteriota	Bacteria											0.0118110236220472	0.0094339622641509
01-FULL-38-12b	Staskawiczbacteraceae	Minisyncoccales	Minisyncoccia	Patescibacteriota	Bacteria											0.0039370078740157	
01-FULL-45-34b	DSPV01	UBA9973	Minisyncoccia	Patescibacteriota	Bacteria											0.0118110236220472	0.0094339622641509
01-FULL-49-22b	UBA10102	Minisyncoccales	Minisyncoccia	Patescibacteriota	Bacteria									0.0196078431372549			
01-FULL-54-110	Peribacteraceae	Peribacterales	Gracilibacteria	Patescibacteriota	Bacteria									0.0196078431372549			
02-FULL-45-11b	UBA6539	Buchananbacterales	Patescibacteriia	Patescibacteriota	Bacteria									0.0196078431372549			
02-FULL-45-17b	2-02-FULL-48-12	Ryanbacterales	Minisyncoccia	Patescibacteriota	Bacteria						0.0556038543883771						
1-14-0-10-36-19	LOWO2-01-FULL-3	UBA1369	Gracilibacteria	Patescibacteriota	Bacteria											0.0039370078740157	
1-14-0-10-43-11	XYC2-FULL-47-12	Patescibacteriales	Patescibacteriia	Patescibacteriota	Bacteria									0.0196078431372549			
1-14-0-10-45-20	UBA2103	UBA9973	Minisyncoccia	Patescibacteriota	Bacteria									0.0196078431372549			
1-14-0-10-45-34	1-14-0-10-45-34	Bdellovibrionales	Bdellovibrionia	Bdellovibrionota	Bacteria											0.0118110236220472	0.0094339622641509
