family	order	class	phylum	superkingdom	E1.filtered.qc-renamed	E2.filtered.qc-renamed	E3.filtered.qc-renamed	E4.filtered.qc-renamed	E5.filtered.qc-renamed	E6.filtered.qc-renamed	E7.filtered.qc-renamed	N1.filtered.qc-renamed	N2.filtered.qc-renamed	O1.filtered.qc-renamed	O2.filtered.qc-renamed	S1.filtered.qc-renamed
0-14-0-10-38-17	0-14-0-10-38-17	Microgenomatia	Patescibacteriota	Bacteria								0.0083333333333333				
0-14-0-20-40-13	0-14-0-20-40-13	WWE3	Patescibacteriota	Bacteria		0.0217996517520355	0.0056411529263612			0.0087443803801607			0.0392156862745098	0.0082064464839714	0.0039370078740157	0.0094339622641509
0-14-0-80-59-12	0-14-0-80-59-12	0-14-0-80-59-12	Bacteroidota_A	Bacteria								0.0083333333333333				
0-14-0-80-60-11	Desulfobaccales	Desulfobaccia	Desulfobacterota	Bacteria		0.0055702105166283	0.0935828877005347	0.0017035775127768	0.0454545454545454	0.0683627929629326			0.0392156862745098	0.0400000000000002	0.02755905511811	0.0094339622641509
02-FULL-45-10c	UBA6257	Minisyncoccia	Patescibacteriota	Bacteria			0.0058162653712135	0.0017035775147826					0.0392156862745098	0.007999999999999799		
1-14-0-10-40-38	UBA6257	Minisyncoccia	Patescibacteriota	Bacteria		0.0217996517520355	0.0056411529263612			0.0087443803801607			0.0392156862745098	0.0082064464839714	0.0039370078740157	0.0094339622641509
1-14-0-10-45-34	Bdellovibrionales	Bdellovibrionia	Bdellovibrionota	Bacteria											0.0118110236220472	0.0094339622641509
1-14-0-20-49-13	GCA-002796325	UBA10199	UBA10199	Bacteria		0.0217996517520355	0.0056411529263612			0.0087443803801607			0.0392156862745098	0.0082064464839714	0.0039370078740157	0.0094339622641509
1-14-2-50-48-13	1-14-2-50-48-13	Gracilibacteria	Patescibacteriota	Bacteria									0.0196078431372549			
16-39-46	16-39-46	Alphaproteobacteria	Pseudomonadota	Bacteria									0.0196078431372549			
1604HC	Rickettsiales	Alphaproteobacteria	Pseudomonadota	Bacteria	0.0131578947368421	0.0501392757660167	0.1042780748663101	0.0085178875728364	0.034090909090909	0.0170575693055834				0.012		
2-01-FULL-39-33	2-01-FULL-39-33	Patescibacteriia	Patescibacteriota	Bacteria		0.0141184181306688	0.0026737967914438	0.0068143100511073		0.0052548610093891	0.0454600816522525	0.0916669953768917	0.0196078431372549	0.0280036665904223	0.0236220472440943	0.0094339622641509
2-01-FULL-43-14	Woykebacterales	Microgenomatia	Patescibacteriota	Bacteria										0.0039999999999988		
2-01-FULL-45-10	2-01-FULL-45-10	Koll11	Omnitrophota	Bacteria		0.0028390298344205	0.024532842911320397	0.0017035775147826					0.0784313725490196	0.0040000001258077	0.0472440944881889	0.0094339622641509
2-01-FULL-45-33	UBA11713	Minisyncoccia	Patescibacteriota	Bacteria	0.0066739690212975	0.0217996517520355	0.013662543300692699	0.0068143100511072		0.0622006299210194			0.1568627450980392	0.0322027808696453	0.023622223758145502	0.0484144458167824
2-01-FULL-47-10	2-01-FULL-47-10	Minisyncoccia	Patescibacteriota	Bacteria										0.0080000000000001		
2-01-FULL-50-11	UBA920	Doudnabacteria	Patescibacteriota	Bacteria				0.0017035775127768				0.0083333333333333		0.004		
2-01-FULL-56-20	UBA6257	Minisyncoccia	Patescibacteriota	Bacteria	0.0066739690212975	0.0028390298344205	0.0218590461198766	0.0051107325403362		0.0106609808102345	0.0227272727272727		0.09803921568627451	0.020000001283314	0.0629923024983031	0.0578484080809333
2-01-FULL-59-12	2-01-FULL-59-12	Elusimicrobia	Elusimicrobiota	Bacteria									0.0196078431372549			
2-01-FULL-66-17	2-01-FULL-66-17	Nitrospiria	Nitrospirota	Bacteria				0.0034071550255536								
2-02-FULL-35-15	2-02-FULL-35-15	Vampirovibrionia	Cyanobacteriota	Bacteria									0.0196078431372549	0.0039999999999988	0.0039370078740157	
2-02-FULL-39-11	2-02-FULL-39-11	Microgenomatia	Patescibacteriota	Bacteria	0.0066739690212975	0.0028390298344205	0.0160427807486631	0.0017035775127768		0.0063965884861407				0.012000000125807701	0.039370255254208696	0.0201093946616221
2-02-FULL-39-32	2-02-FULL-39-32	Elusimicrobia	Elusimicrobiota	Bacteria									0.0392156862745098			
2-02-FULL-40-12	2-02-FULL-40-12	Minisyncoccia	Patescibacteriota	Bacteria		0.0027855153203342										
2-02-FULL-43-11	UBA9973	Minisyncoccia	Patescibacteriota	Bacteria	0.0066739690212975			0.0017035775127768		0.0063965884861407					0.003937184388067	0.0201093946616221
2-02-FULL-44-16	2-02-FULL-44-16	UBA10199	UBA10199	Bacteria						0.0042643923240938			0.0392156862745098	0.0039999988424947		
