Species	E1	E2	E3	E4	E5	E6	E7	N1	N2	O1	O2	S1	All
uncultured bacterium	49.6	51.8	54	7.91	50.4	44.6	46.8	68.3	41.7	31.7	43.9	44.6	39.6
Unassigned	5.76	12.9	5.76	6.47	12.2	16.5	18	7.91	23.7	18	9.35	18.7	15.8
uncultured organism	0.719	2.16	3.6	0	1.44	4.32	1.44	0.719	0.719	8.63	7.91	1.44	3.8
Chaetoceros calcitrans	0	0	0	78.4	0	0	0.719	0	0	0	0	0	3.8
marine metagenome	0.719	5.04	2.16	0	2.88	7.19	0	0	0	5.04	0.719	0	2.9
uncultured marine bacterium	2.88	9.35	4.32	1.44	7.19	1.44	2.88	2.16	0	1.44	1.44	0	2.8
uncultured Bacteroidetes bacterium	0	0	0.719	0	2.88	1.44	0	0.719	0	0.719	0	0	1.6
Picochlorum sp. SENEW3	13.7	0	0	0	0	0	0	0	0	0	0	0	1.0
uncultured gamma proteobacterium	0.719	0.719	2.88	0	0	0.719	2.16	0.719	0	2.16	1.44	0	1.0
metagenome	0	0	0	0	0	0.719	2.88	3.6	2.16	0	0	2.88	0.8
uncultured Flexibacteraceae bacterium	0	1.44	0	0.719	2.16	3.6	0	0	0	0.719	0	0	0.7
Thalassiosira pseudonana	0	0	0.719	0	1.44	0	0	0	0	0	0	6.47	0.7
uncultured beta proteobacterium	0	2.16	0	0	1.44	0	0.719	0.719	2.16	0.719	0	0	0.7
uncultured Rhodobacteraceae bacterium	0.719	0	0.719	0	0	0	0	0	0	1.44	3.6	0	0.6
Lentibacter algarum	0	0	0	0	0	0	0	0	0	2.16	1.44	0	0.6
uncultured Alphaproteobacteria bacterium	0.719	0	0	0	0	0.719	0	0	0	0.719	0	0	0.6
Picochlorum sp. 'soloecismus'	7.91	0	0	0	0	0	0	0	0	0	0	0	0.6
uncultured Sphingobacteriia bacterium	0	0	0.719	0	1.44	2.16	0	0	0	0	0	0	0.6
Roseobacter sp. WM2	0.719	0	0	0.719	0.719	0	0.719	0	0	0.719	0	0	0.5
uncultured gamma proteobacterium CHAB-III-7	0	1.44	1.44	0	0.719	2.16	0	0	0	0	0.719	0	0.5
Marivivens donghaensis	0	0	0	1.44	0	0	0	0	0	0	2.88	0	0.5
uncultured actinobacterium	0.719	0.719	0.719	0	1.44	0	1.44	0.719	0.719	0	0	0	0.5
Seohaeicola saemankumensis	0.719	0.719	0	0	0.719	0	0	0	0	0	1.44	0	0.4
Roseobacter sp. AI-2	0	0	0	0	0	0	0	0	0	2.16	0	0	0.4
uncultured delta proteobacterium	0	0	0	0	0.719	0	0.719	0	0	0.719	0	2.16	0.4
uncultured Alcaligenaceae bacterium	0	0.719	1.44	0	0	0	0	0	0	0	0	0	0.4
Alteromonas macleodii	0	0	0	0	0	2.16	0	0	0	0	0	0	0.4
Roseovarius litoreus	0	0	0.719	0	0	0	0	0	0	1.44	0.719	0	0.4
uncultured Flavobacteriales bacterium	0	0	0	0	0	0	0	0	0	0	1.44	0	0.4
uncultured cyanobacterium	3.6	0	1.44	0.719	0	0	0	0.719	0.719	0	0	0	0.4
uncultured Epsilonproteobacteria bacterium	0	0	0	0	0	0	0.719	0.719	0	2.88	2.88	0	0.3
Idiomarina sp. PL006	0	1.44	0	0	0	0	0	0	0	0	0	0	0.2
Chlorella sorokiniana	0	0	0	0	0	0	0	0	1.44	0	0	0.719	0.2
Thiomicrospira sp. ALE3	0	0	0	0	0	0.719	0	0	0	0	0	0	0.2
