group	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
nitrous_oxide_denitrification	446	386	352	350	190	329	646	454	493	447	529	542	409	500	579	565	381	533
denitrification	446	386	352	350	190	329	646	454	493	447	529	542	409	500	579	565	381	533
chitinolysis	222	197	232	335	236	236	191	228	276	189	322	262	223	224	221	193	351	394
knallgas_bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dark_hydrogen_oxidation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nitrogen_fixation	616	724	629	470	576	648	749	561	458	495	700	667	491	483	584	575	511	613
nitrate_ammonification	0	6	2	0	0	1	1	1	4	0	2	1	2	2	0	1	2	1
nitrite_ammonification	0	6	2	0	0	1	1	1	4	0	2	1	2	2	0	1	2	1
nitrite_respiration	477	419	386	378	236	359	773	571	561	875	622	891	432	516	599	593	462	573
cellulolysis	135	36	42	42	52	38	144	140	254	199	68	222	124	43	86	54	27	67
xylanolysis	54	17	29	530	25	25	103	188	72	66	67	151	53	41	92	50	35	40
dark_sulfide_oxidation	0	2	0	0	0	0	5	0	0	2	0	0	1	0	2	0	0	4
dark_sulfur_oxidation	0	2	0	0	0	0	5	0	0	2	0	0	1	0	2	0	0	4
dark_thiosulfate_oxidation	0	2	0	0	0	0	5	0	0	2	0	0	1	0	2	0	0	4
dark_oxidation_of_sulfur_compounds	106	97	242	313	188	124	88	164	52	72	144	78	118	80	84	134	186	134
manganese_oxidation	32	57	31	37	17	24	65	23	37	42	36	39	32	26	30	18	22	40
manganese_respiration	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ligninolysis	0	6	2	0	0	1	1	1	4	0	2	1	2	2	0	1	2	1
fermentation	129	87	83	50	47	69	310	119	150	189	148	364	142	64	163	99	65	114
aerobic_chemoheterotrophy	7611	8602	10860	9809	8077	8196	8114	10845	10185	9295	8806	8797	8124	7383	7882	8620	8741	9052
invertebrate_parasites	53	46	40	32	57	41	170	140	95	489	107	455	26	18	29	41	82	55
human_pathogens_septicemia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
human_pathogens_pneumonia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
human_pathogens_nosocomia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
human_pathogens_meningitis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
human_pathogens_gastroenteritis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
human_pathogens_diarrhea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
human_pathogens_all	1	1	1	0	1	1	5	0	5	4	2	2	1	3	3	1	1	1
fish_parasites	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
human_gut	0	0	1	0	0	0	4	0	0	27	0	9	0	0	0	0	1	1
mammal_gut	0	0	1	0	0	0	4	0	0	27	0	9	0	0	0	0	1	1
animal_parasites_or_symbionts	54	47	42	32	58	42	179	140	100	520	109	466	27	21	32	42	84	57
plant_pathogen	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
oil_bioremediation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aromatic_hydrocarbon_degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aromatic_compound_degradation	511	711	726	582	485	643	499	836	558	465	688	590	468	411	578	590	533	495
aliphatic_non_methane_hydrocarbon_degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hydrocarbon_degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dark_iron_oxidation	35	27	26	15	31	32	29	23	24	24	26	36	39	31	51	63	25	24
iron_respiration	36	25	34	26	13	33	68	34	42	34	47	46	36	42	43	30	26	40
nitrate_respiration	525	450	434	396	277	396	826	630	593	992	655	974	475	550	662	675	488	608
nitrate_reduction	1171	1115	1200	1563	930	1160	1668	1622	1351	1815	1406	2074	984	1081	1274	1289	1159	1175
nitrogen_respiration	525	450	434	396	277	396	826	630	593	992	655	974	475	550	662	675	488	608
fumarate_respiration	4	3	13	3	2	4	11	2	2	5	0	2	1	0	7	9	0	4
intracellular_parasites	10	4	17	8	1	12	20	19	21	27	8	14	9	10	43	12	2	31
chlorate_reducers	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
predatory_or_exoparasitic	56	44	47	110	127	98	108	81	86	86	79	66	70	80	75	88	52	76
chloroplasts	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cyanobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
anoxygenic_photoautotrophy_H2_oxidizing	1	2	0	1	0	8	6	4	2	1	4	3	5	6	2	4	1	3
anoxygenic_photoautotrophy_S_oxidizing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
anoxygenic_photoautotrophy_Fe_oxidizing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
anoxygenic_photoautotrophy	1	2	0	1	0	8	6	4	2	1	4	3	5	6	2	4	1	3
oxygenic_photoautotrophy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
photoautotrophy	1	2	0	1	0	8	6	4	2	1	4	3	5	6	2	4	1	3
aerobic_anoxygenic_phototrophy	1	2	0	1	0	8	6	4	2	1	4	3	5	6	2	4	1	3
photoheterotrophy	9	7	28	1	0	8	8	4	3	1	5	5	7	9	2	5	8	3
phototrophy	9	7	28	1	0	8	8	4	3	1	5	5	7	9	2	5	8	3
plastic_degradation	31	27	32	28	46	29	126	116	64	428	91	348	21	14	20	27	79	39
ureolysis	2200	1195	1482	1749	2272	1437	1424	1288	1605	1889	1769	1343	2214	3026	1769	1909	2305	1732
reductive_acetogenesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chemoheterotrophy	8031	8957	11216	10246	8504	8646	8628	11357	10817	9810	9334	9453	8578	7806	8405	9006	9236	9618
